Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Living in a principal city:,Margin of Error; Living in a principal city:,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence:,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence:,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area:,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area:,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area:,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area:,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Estimate; Living in a principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Margin of Error; Living in a principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Estimate; Living outside any principal city:,Margin of Error; Living outside any principal city:,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence:,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence:,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area:,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area:,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area:,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area:,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Margin of Error; Living outside any principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area
0500000US06001,6001,"Alameda County, California",2005,651547,9583,431315,11333,380051,10962,299963,10357,80088,5099,50557,3870,44023,3648,6534,1485,280,318,49,82,231,306,427,217,220232,9687,196627,9803,110703,7273,85924,5886,23358,2231,19039,1832,4319,1055,131,149,0,293,131,149,116,139
0500000US06007,6007,"Butte County, California",2005,88511,2757,32952,3276,29788,3449,25574,3391,4214,1084,985,534,769,471,216,181,1095,639,624,562,471,291,1084,761,55559,3426,48639,3244,18270,2353,30369,3084,5014,1174,2090,773,2924,917,524,409,382,376,142,131,1382,591
0500000US06013,6013,"Contra Costa County, California",2005,458117,8221,29066,3390,27613,3332,17272,2382,10341,2232,1453,552,1029,481,424,257,0,293,0,293,0,293,0,293,429051,8096,399077,9135,157885,7138,241192,8589,29368,4195,18535,3005,10833,2753,0,293,0,293,0,293,606,352
0500000US06019,6019,"Fresno County, California",2005,343903,7688,185725,9489,173541,9252,139637,7889,33904,4491,11973,2246,5272,1715,6701,1469,0,293,0,293,0,293,211,217,158178,7969,144122,7928,64267,4804,79855,6175,13861,2249,4828,1209,9033,1774,68,86,0,293,68,86,127,154
0500000US06025,6025,"Imperial County, California",2005,50810,2454,14937,1906,14308,1948,9885,1739,4423,1111,629,448,352,345,277,302,0,293,0,293,0,293,0,293,35873,2571,31642,2626,6391,1240,25251,2973,3419,932,952,471,2467,751,0,293,0,293,0,293,812,509
0500000US06029,6029,"Kern County, California",2005,285994,5997,118384,7344,113362,7454,78502,5098,34860,5038,4733,1442,2307,945,2426,1183,0,293,0,293,0,293,289,222,167610,7166,155328,7220,50721,4708,104607,6311,11803,1861,4856,1201,6947,1356,288,310,70,114,218,288,191,234
0500000US06031,6031,"Kings County, California",2005,43954,2552,20603,2228,16983,2072,9902,1597,7081,1282,3620,920,1679,728,1941,765,0,293,0,293,0,293,0,293,23351,2473,18192,2334,4410,1109,13782,2145,5041,1219,1818,602,3223,1010,0,293,0,293,0,293,118,142
0500000US06037,6037,"Los Angeles County, California",2005,4246088,22515,2467598,27269,2386861,27177,1883980,25786,502881,15205,77440,6463,39120,3675,38320,4983,924,459,201,187,723,410,2373,721,1778490,26553,1703674,24190,746182,17894,957492,18110,72994,5970,36750,4351,36244,4326,168,161,61,102,107,124,1654,760
0500000US06039,6039,"Madera County, California",2005,52980,2718,21211,2693,15391,2334,8734,2070,6657,1505,5820,1641,2953,980,2867,1256,0,293,0,293,0,293,0,293,31769,2864,20272,2352,4666,1314,15606,1905,11211,2000,6365,1510,4846,1478,0,293,0,293,0,293,286,340
0500000US06041,6041,"Marin County, California",2005,114736,3314,22975,2601,21694,2433,13658,2167,8036,1726,1236,526,881,498,355,328,45,75,0,293,45,75,0,293,91761,3897,87148,3913,38927,2807,48221,3593,4556,1084,2873,889,1683,648,0,293,0,293,0,293,57,92
0500000US06047,6047,"Merced County, California",2005,89696,3901,24553,2835,21708,2705,15991,2309,5717,1328,2789,843,1369,665,1420,644,56,100,0,293,56,100,0,293,65143,3745,43550,3595,10660,1805,32890,3802,21593,3107,8254,1786,13339,2479,0,293,0,293,0,293,0,293
0500000US06053,6053,"Monterey County, California",2005,169766,4677,63139,3700,57523,3668,36033,3369,21490,2925,5560,1218,3011,1004,2549,1027,56,95,0,293,56,95,0,293,106627,5953,92863,4988,14663,2098,78200,4642,13628,2645,9616,2521,4012,830,0,293,0,293,0,293,136,159
