Id,Id2,Geography,,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US06001,6001,"Alameda County, California",2006,705160,12140,571713,12252,496587,11955,75126,6045,58565,5292,10845,2117,3375,936,1204,834,1137,437,51212,4252,25610,3142,310,308,22580,2672,2575,856,137,227,380,393,1360,552,11725,2164,24652,3041,8890,2444,35228,3034
0500000US06007,6007,"Butte County, California",2006,89362,4110,77713,4256,68745,3682,8968,1588,6899,1452,1559,859,349,215,83,137,78,97,1788,780,1788,780,0,265,0,265,0,265,0,265,0,265,175,223,1521,591,3250,1064,414,321,4501,1188
0500000US06013,6013,"Contra Costa County, California",2006,386342,9106,334968,9210,293803,7827,41165,3977,30290,3438,7704,1974,1319,587,844,615,1008,559,12618,2051,8411,1523,70,116,3777,1437,360,295,0,265,180,219,1207,435,1861,704,7686,1729,2558,852,25264,2746
0500000US06017,6017,"El Dorado County, California",2006,57729,3788,49620,3382,42657,3365,6963,1434,5172,1174,504,298,488,461,643,754,156,247,402,367,402,367,0,265,0,265,0,265,0,265,0,265,214,214,501,378,1125,549,40,66,5827,1168
0500000US06019,6019,"Fresno County, California",2006,360549,8245,326089,8033,274273,7671,51816,5677,35675,3786,8085,2013,4260,1698,2140,1034,1656,839,5170,1293,4861,1234,235,278,0,265,74,123,0,265,0,265,816,365,2587,1255,7028,1367,7140,2042,11719,1721
0500000US06023,6023,"Humboldt County, California",2006,59335,2335,50683,2217,43753,2456,6930,1542,4453,898,1766,1157,271,219,282,387,158,184,246,224,246,224,0,265,0,265,0,265,0,265,0,265,55,97,722,362,3382,1006,474,300,3773,735
0500000US06029,6029,"Kern County, California",2006,302947,7391,278648,7120,220781,5971,57867,4691,36731,3662,9047,2022,6482,2138,3163,1062,2444,1080,3383,1099,2803,1050,165,203,0,265,415,470,0,265,313,505,1039,565,987,686,4089,1348,5943,1645,8545,1518
0500000US06031,6031,"Kings County, California",2006,55040,3299,49590,3680,40132,3234,9458,1839,5072,1117,2340,1081,1417,981,392,320,237,196,972,515,972,515,0,265,0,265,0,265,0,265,0,265,467,289,60,77,1244,555,690,441,2017,666
0500000US06037,6037,"Los Angeles County, California",2006,4533604,33986,3817032,32795,3268357,30063,548675,14052,423485,11310,75082,5041,25495,3246,12099,2685,12514,1507,315969,12151,287322,11518,2384,928,11092,1828,14674,1826,497,469,2805,813,10321,1857,25320,3568,123886,7204,52306,4401,185965,7289
0500000US06039,6039,"Madera County, California",2006,47245,3637,43909,3662,35765,3009,8144,1974,3789,1322,1431,843,1750,1398,558,443,616,483,139,239,139,239,0,265,0,265,0,265,0,265,0,265,0,265,49,84,580,522,359,311,2209,813
