Id,Id2,Geography,Year,Estimate; Median household income in the past 12 months,Margin of Error; Median household income in the past 12 months
0500000US06001,6001,"Alameda County, California",2013,72399,1724
0500000US06007,6007,"Butte County, California",2013,42752,2438
0500000US06013,6013,"Contra Costa County, California",2013,79100,3132
0500000US06017,6017,"El Dorado County, California",2013,61365,4625
0500000US06019,6019,"Fresno County, California",2013,43925,1374
0500000US06023,6023,"Humboldt County, California",2013,42092,4572
0500000US06025,6025,"Imperial County, California",2013,43310,4644
0500000US06029,6029,"Kern County, California",2013,46879,2311
0500000US06031,6031,"Kings County, California",2013,45774,3036
0500000US06033,6033,"Lake County, California",2013,37079,12116
0500000US06037,6037,"Los Angeles County, California",2013,54529,645
0500000US06039,6039,"Madera County, California",2013,39758,3435
0500000US06041,6041,"Marin County, California",2013,96580,5921
0500000US06045,6045,"Mendocino County, California",2013,42042,4562
0500000US06047,6047,"Merced County, California",2013,40687,2019
0500000US06053,6053,"Monterey County, California",2013,57052,3890
0500000US06055,6055,"Napa County, California",2013,70914,4646
0500000US06057,6057,"Nevada County, California",2013,54851,5124
0500000US06059,6059,"Orange County, California",2013,74163,1461
0500000US06061,6061,"Placer County, California",2013,73328,2659
0500000US06065,6065,"Riverside County, California",2013,54095,1252
0500000US06067,6067,"Sacramento County, California",2013,52936,1408
0500000US06071,6071,"San Bernardino County, California",2013,52323,1172
0500000US06073,6073,"San Diego County, California",2013,61426,812
0500000US06075,6075,"San Francisco County, California",2013,77485,2315
0500000US06077,6077,"San Joaquin County, California",2013,51432,1301
0500000US06079,6079,"San Luis Obispo County, California",2013,58158,2686
0500000US06081,6081,"San Mateo County, California",2013,91322,1774
0500000US06083,6083,"Santa Barbara County, California",2013,62421,3413
0500000US06085,6085,"Santa Clara County, California",2013,92014,1523
0500000US06087,6087,"Santa Cruz County, California",2013,68438,5190
0500000US06089,6089,"Shasta County, California",2013,40332,3172
0500000US06095,6095,"Solano County, California",2013,63520,3371
0500000US06097,6097,"Sonoma County, California",2013,61029,1565
0500000US06099,6099,"Stanislaus County, California",2013,47962,2536
0500000US06101,6101,"Sutter County, California",2013,49139,4861
0500000US06107,6107,"Tulare County, California",2013,39422,2284
0500000US06111,6111,"Ventura County, California",2013,77363,2133
0500000US06113,6113,"Yolo County, California",2013,54898,5475
0500000US06115,6115,"Yuba County, California",2013,43801,5685
0500000US06001,6001,"Alameda County, California",2012,70500,1475
0500000US06007,6007,"Butte County, California",2012,40960,1995
0500000US06013,6013,"Contra Costa County, California",2012,74177,1723
0500000US06017,6017,"El Dorado County, California",2012,69973,3983
0500000US06019,6019,"Fresno County, California",2012,41627,1128
0500000US06023,6023,"Humboldt County, California",2012,40682,2944
0500000US06025,6025,"Imperial County, California",2012,40200,5198
0500000US06029,6029,"Kern County, California",2012,45910,2002
0500000US06031,6031,"Kings County, California",2012,45935,3484
0500000US06033,6033,"Lake County, California",2012,33219,6837
0500000US06037,6037,"Los Angeles County, California",2012,53001,580
0500000US06039,6039,"Madera County, California",2012,42039,3213
0500000US06041,6041,"Marin County, California",2012,90535,5672
0500000US06045,6045,"Mendocino County, California",2012,41369,5525
0500000US06047,6047,"Merced County, California",2012,43597,3789
0500000US06053,6053,"Monterey County, California",2012,58109,3535
0500000US06055,6055,"Napa County, California",2012,68553,5436
0500000US06057,6057,"Nevada County, California",2012,53768,6326
0500000US06059,6059,"Orange County, California",2012,71983,839
0500000US06061,6061,"Placer County, California",2012,69086,2336
0500000US06065,6065,"Riverside County, California",2012,52621,1282
0500000US06067,6067,"Sacramento County, California",2012,52667,1225
0500000US06071,6071,"San Bernardino County, California",2012,50770,1014
0500000US06073,6073,"San Diego County, California",2012,60330,911
0500000US06075,6075,"San Francisco County, California",2012,73012,2985
0500000US06077,6077,"San Joaquin County, California",2012,50722,1357
0500000US06079,6079,"San Luis Obispo County, California",2012,60264,3482
0500000US06081,6081,"San Mateo County, California",2012,81609,1759
0500000US06083,6083,"Santa Barbara County, California",2012,61890,2475
0500000US06085,6085,"Santa Clara County, California",2012,91425,1402
0500000US06087,6087,"Santa Cruz County, California",2012,67769,3229
0500000US06089,6089,"Shasta County, California",2012,45442,2644
0500000US06095,6095,"Solano County, California",2012,62066,1784
0500000US06097,6097,"Sonoma County, California",2012,59941,2090
0500000US06099,6099,"Stanislaus County, California",2012,46405,2000
0500000US06101,6101,"Sutter County, California",2012,47081,4068
0500000US06107,6107,"Tulare County, California",2012,40302,1650
0500000US06111,6111,"Ventura County, California",2012,71517,1851
0500000US06113,6113,"Yolo County, California",2012,50594,2881
0500000US06115,6115,"Yuba County, California",2012,43545,4066
0500000US06001,6001,"Alameda County, California",2011,67558,1670
0500000US06007,6007,"Butte County, California",2011,39179,1891
0500000US06013,6013,"Contra Costa County, California",2011,74353,2713
0500000US06017,6017,"El Dorado County, California",2011,61084,5063
0500000US06019,6019,"Fresno County, California",2011,42807,1370
0500000US06023,6023,"Humboldt County, California",2011,41187,4266
0500000US06025,6025,"Imperial County, California",2011,37843,4938
0500000US06029,6029,"Kern County, California",2011,45224,1820
0500000US06031,6031,"Kings County, California",2011,50345,3197
0500000US06033,6033,"Lake County, California",2011,35991,3867
0500000US06037,6037,"Los Angeles County, California",2011,52280,462
0500000US06039,6039,"Madera County, California",2011,46570,3164
0500000US06041,6041,"Marin County, California",2011,77168,4762
0500000US06045,6045,"Mendocino County, California",2011,42431,5133
0500000US06047,6047,"Merced County, California",2011,40055,2768
0500000US06053,6053,"Monterey County, California",2011,53179,2316
0500000US06055,6055,"Napa County, California",2011,61460,3903
0500000US06057,6057,"Nevada County, California",2011,54080,4321
0500000US06059,6059,"Orange County, California",2011,72293,1199
0500000US06061,6061,"Placer County, California",2011,68959,4414
0500000US06065,6065,"Riverside County, California",2011,52883,1624
0500000US06067,6067,"Sacramento County, California",2011,52314,1362
0500000US06071,6071,"San Bernardino County, California",2011,51247,1126
0500000US06073,6073,"San Diego County, California",2011,59477,1346
0500000US06075,6075,"San Francisco County, California",2011,69894,2466
0500000US06077,6077,"San Joaquin County, California",2011,50853,1692
0500000US06079,6079,"San Luis Obispo County, California",2011,54195,2655
0500000US06081,6081,"San Mateo County, California",2011,81657,3170
0500000US06083,6083,"Santa Barbara County, California",2011,60505,2471
0500000US06085,6085,"Santa Clara County, California",2011,84895,1426
0500000US06087,6087,"Santa Cruz County, California",2011,62513,3507
0500000US06089,6089,"Shasta County, California",2011,42062,3142
0500000US06095,6095,"Solano County, California",2011,63795,3368
0500000US06097,6097,"Sonoma County, California",2011,61020,1839
0500000US06099,6099,"Stanislaus County, California",2011,44076,2394
0500000US06101,6101,"Sutter County, California",2011,49533,2495
0500000US06107,6107,"Tulare County, California",2011,41167,2260
0500000US06111,6111,"Ventura County, California",2011,74623,1761
0500000US06113,6113,"Yolo County, California",2011,49594,2959
0500000US06115,6115,"Yuba County, California",2011,43961,1793
0500000US06001,6001,"Alameda County, California",2010,67169,1470
0500000US06007,6007,"Butte County, California",2010,41657,2238
0500000US06013,6013,"Contra Costa County, California",2010,73721,1862
0500000US06017,6017,"El Dorado County, California",2010,66129,4118
0500000US06019,6019,"Fresno County, California",2010,45221,1197
0500000US06023,6023,"Humboldt County, California",2010,38492,2268
0500000US06025,6025,"Imperial County, California",2010,41802,3590
0500000US06029,6029,"Kern County, California",2010,45524,2036
0500000US06031,6031,"Kings County, California",2010,44609,4060
0500000US06033,6033,"Lake County, California",2010,34910,4701
0500000US06037,6037,"Los Angeles County, California",2010,52684,621
0500000US06039,6039,"Madera County, California",2010,48268,6554
0500000US06041,6041,"Marin County, California",2010,83867,7055
0500000US06045,6045,"Mendocino County, California",2010,40536,4722
0500000US06047,6047,"Merced County, California",2010,42449,2915
0500000US06053,6053,"Monterey County, California",2010,54534,2569
0500000US06055,6055,"Napa County, California",2010,64401,4324
0500000US06057,6057,"Nevada County, California",2010,54456,3199
0500000US06059,6059,"Orange County, California",2010,70880,901
0500000US06061,6061,"Placer County, California",2010,67884,3724
0500000US06065,6065,"Riverside County, California",2010,54296,1237
0500000US06067,6067,"Sacramento County, California",2010,52709,1245
0500000US06071,6071,"San Bernardino County, California",2010,52607,1237
0500000US06073,6073,"San Diego County, California",2010,59923,1075
0500000US06075,6075,"San Francisco County, California",2010,71745,2387
0500000US06077,6077,"San Joaquin County, California",2010,50011,1507
0500000US06079,6079,"San Luis Obispo County, California",2010,53978,2745
0500000US06081,6081,"San Mateo County, California",2010,82748,2239
0500000US06083,6083,"Santa Barbara County, California",2010,56767,2371
0500000US06085,6085,"Santa Clara County, California",2010,85002,1760
0500000US06087,6087,"Santa Cruz County, California",2010,61071,2767
0500000US06089,6089,"Shasta County, California",2010,41023,1839
0500000US06095,6095,"Solano County, California",2010,63384,3021
0500000US06097,6097,"Sonoma County, California",2010,59055,3310
0500000US06099,6099,"Stanislaus County, California",2010,48044,2608
0500000US06101,6101,"Sutter County, California",2010,46521,3281
0500000US06107,6107,"Tulare County, California",2010,43397,2142
0500000US06111,6111,"Ventura County, California",2010,71864,1550
0500000US06113,6113,"Yolo County, California",2010,55798,4338
0500000US06115,6115,"Yuba County, California",2010,45755,7473
0500000US06001,6001,"Alameda County, California",2009,68405,1283
0500000US06007,6007,"Butte County, California",2009,41786,2372
0500000US06013,6013,"Contra Costa County, California",2009,75139,2604
0500000US06017,6017,"El Dorado County, California",2009,70449,4218
