Year,Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
2013,0500000US06001,6001,"Alameda County, California",13979,597,41373,1013,72803,1597,117062,2344,250207,5188,416628,17234
2012,0500000US06001,6001,"Alameda County, California",13390,568,39450,961,70704,1565,113640,1890,239961,6531,400667,21099
2011,0500000US06001,6001,"Alameda County, California",13670,595,38708,1312,68268,1629,109032,1820,230274,6987,384472,23089
2010,0500000US06001,6001,"Alameda County, California",13517,608,38455,1108,67394,1442,107381,2031,216548,5026,342817,14861
2009,0500000US06001,6001,"Alameda County, California",14571,690,40651,1214,68714,1526,108337,1959,214534,5300,345291,17863
2008,0500000US06001,6001,"Alameda County, California",14483,634,40775,1136,70436,1578,110208,2069,223360,6132,364131,19672
2007,0500000US06001,6001,"Alameda County, California",13478,656,39243,1316,68874,1943,107858,2356,218405,5437,355119,15933
2006,0500000US06001,6001,"Alameda County, California",13101,536,37043,1029,64760,1281,100959,1822,198944,5479,320172,18468
2013,0500000US06007,6007,"Butte County, California",9446,883,24555,1550,42769,2414,69756,2905,151086,11374,250645,32292
2012,0500000US06007,6007,"Butte County, California",9975,906,25369,1146,41694,2436,66428,3070,143899,10089,242312,31161
2011,0500000US06007,6007,"Butte County, California",9620,838,22710,1457,40031,2167,66407,3760,132315,8962,210525,24367
2010,0500000US06007,6007,"Butte County, California",11078,1031,25484,1371,41951,2291,66038,3221,131525,9625,210425,28869
2009,0500000US06007,6007,"Butte County, California",9807,1174,25151,1767,42007,2255,63982,2632,133211,16965,225609,59651
2008,0500000US06007,6007,"Butte County, California",9539,958,24267,1677,40088,1796,62685,3372,139628,11105,243421,36763
2007,0500000US06007,6007,"Butte County, California",9744,1221,23013,1736,38950,2877,62814,3497,133908,9733,221650,28318
2006,0500000US06007,6007,"Butte County, California",10236,859,23711,1537,41370,2330,66793,2700,126709,5872,200679,17432
2013,0500000US06013,6013,"Contra Costa County, California",17306,812,45924,1536,79465,2480,124814,3023,269621,10825,461536,34279
2012,0500000US06013,6013,"Contra Costa County, California",17278,908,45156,1312,74855,1661,119735,2361,253071,8566,430468,26504
2011,0500000US06013,6013,"Contra Costa County, California",16195,1012,43010,1617,74770,2483,118158,3329,253116,11405,442853,34255
2010,0500000US06013,6013,"Contra Costa County, California",17793,796,45212,1234,74400,1821,116939,2426,236274,7797,380250,23545
2009,0500000US06013,6013,"Contra Costa County, California",17737,793,45025,1517,75193,1833,116074,2491,246264,11381,429843,39414
2008,0500000US06013,6013,"Contra Costa County, California",16798,940,46570,1490,78846,2052,119826,2220,251710,9749,436497,32521
2007,0500000US06013,6013,"Contra Costa County, California",17864,1005,46328,1444,76691,2044,116637,2658,245177,9097,418001,28641
2006,0500000US06013,6013,"Contra Costa County, California",17802,836,45642,1470,74413,1802,111599,2417,241701,10267,421464,30154
2013,0500000US06017,6017,"El Dorado County, California",12360,1998,33628,2873,62387,4322,104792,6080,222672,21990,377546,60066
2012,0500000US06017,6017,"El Dorado County, California",18820,1966,43016,2807,69576,3817,107379,5827,207841,16848,327131,50363
2011,0500000US06017,6017,"El Dorado County, California",15493,1773,37463,2708,61951,4465,98917,6276,201361,15150,319554,38346
2010,0500000US06017,6017,"El Dorado County, California",15452,1908,40219,3377,66430,4159,102139,5001,206869,16077,330559,41313
2009,0500000US06017,6017,"El Dorado County, California",20032,2087,44970,3184,70682,3782,105001,4847,193082,12025,287678,33807
2008,0500000US06017,6017,"El Dorado County, California",19218,2436,44831,3400,68151,3477,100508,5192,191101,14507,300367,38761
2007,0500000US06017,6017,"El Dorado County, California",18212,2130,42487,2699,65339,3748,101694,4670,202381,16359,327344,46760
2006,0500000US06017,6017,"El Dorado County, California",17805,2002,42543,3637,70516,4203,103475,5012,200248,15964,329641,47685
2013,0500000US06019,6019,"Fresno County, California",9731,657,25276,898,43968,1330,71426,1757,155636,5340,265137,16413
2012,0500000US06019,6019,"Fresno County, California",9564,555,24253,854,41959,1285,69138,1822,151656,5468,257281,17427
2011,0500000US06019,6019,"Fresno County, California",10536,563,25664,872,43380,1322,70117,1843,149403,6301,248094,20989
2010,0500000US06019,6019,"Fresno County, California",9669,580,25157,950,45073,1232,72437,1781,147484,5684,242188,17739
2009,0500000US06019,6019,"Fresno County, California",10898,612,26985,1074,45923,1420,72041,2081,151339,5717,252481,18561
2008,0500000US06019,6019,"Fresno County, California",11179,741,26745,1031,44282,1537,73378,2178,158938,9287,274441,34565
2007,0500000US06019,6019,"Fresno County, California",11094,641,27407,1175,47260,1608,73984,1933,153601,7671,260793,24974
2006,0500000US06019,6019,"Fresno County, California",9862,552,25476,873,43050,1126,68629,1610,138987,6325,226759,21735
2013,0500000US06023,6023,"Humboldt County, California",10578,1298,25329,2400,42468,3537,65040,4349,124699,8927,200392,20992
2012,0500000US06023,6023,"Humboldt County, California",8368,1126,23191,1970,41137,2592,65348,4053,131498,11297,215629,35117
2011,0500000US06023,6023,"Humboldt County, California",8696,1514,24022,2188,40910,3053,62135,3893,131971,9640,222574,28942
2010,0500000US06023,6023,"Humboldt County, California",9088,1144,23966,1711,38616,2557,61716,3447,137520,15815,244579,54473
2009,0500000US06023,6023,"Humboldt County, California",9044,1267,21428,1957,35688,2177,57764,3506,122552,13752,207074,45703
2008,0500000US06023,6023,"Humboldt County, California",9004,1121,22515,2138,39672,2235,62503,2812,135701,16563,244192,53520
2007,0500000US06023,6023,"Humboldt County, California",9619,1367,23006,1899,37519,2656,62819,3797,137487,22330,250499,81612
2006,0500000US06023,6023,"Humboldt County, California",9962,1274,23597,2176,40643,3085,60723,3293,124867,13064,208923,41736
2013,0500000US06025,6025,"Imperial County, California",10048,1358,25334,2550,44545,4726,71122,4493,135101,11468,208632,31784
2012,0500000US06025,6025,"Imperial County, California",8205,1070,20618,2029,38338,2734,62503,4447,129235,10553,191957,22225
2011,0500000US06025,6025,"Imperial County, California",8239,1039,21376,2038,38235,3788,66933,4245,140692,11909,227630,31005
2010,0500000US06025,6025,"Imperial County, California",10865,968,23130,2002,41901,2802,66099,4503,129986,8565,196019,17630
2009,0500000US06025,6025,"Imperial County, California",8484,812,20031,2081,39336,3168,66910,5696,145717,16792,247182,53070
2008,0500000US06025,6025,"Imperial County, California",9511,1321,21437,2052,38212,3774,62971,4773,128963,17107,215248,57695
2007,0500000US06025,6025,"Imperial County, California",8022,1152,18924,2107,33302,3043,57706,3959,121962,12496,202264,38816
2006,0500000US06025,6025,"Imperial County, California",11215,1158,23936,1849,38280,2698,60508,5063,127371,15175,215571,49486
2013,0500000US06029,6029,"Kern County, California",10997,655,27518,1065,47228,2087,76358,2229,154827,5952,254904,16370
2012,0500000US06029,6029,"Kern County, California",11524,549,27045,1175,46342,1648,74499,1760,156043,7316,254793,21478
2011,0500000US06029,6029,"Kern County, California",10018,719,26178,1153,45387,1600,72552,2027,148044,6408,236923,20075
2010,0500000US06029,6029,"Kern County, California",10609,687,27245,1061,45838,1622,72946,2281,147460,5539,234868,16938
2009,0500000US06029,6029,"Kern County, California",11202,691,27146,1079,46971,1450,74742,2287,148781,6306,243552,21251
2008,0500000US06029,6029,"Kern County, California",10769,693,26756,1016,45039,1591,73416,2567,152907,6464,252697,22997
2007,0500000US06029,6029,"Kern County, California",11504,829,28767,1147,47568,1651,72350,2169,150818,8129,259266,25633
2006,0500000US06029,6029,"Kern County, California",10823,610,26459,1006,43563,1350,69228,2187,143291,5906,241160,16275
2013,0500000US06031,6031,"Kings County, California",10443,1538,28427,2521,45870,3456,71538,5564,148602,14185,243364,33883
2012,0500000US06031,6031,"Kings County, California",11821,2027,28770,2671,46007,3272,71101,4763,158324,22457,273386,82725
2011,0500000US06031,6031,"Kings County, California",10467,1998,28927,2481,48892,3876,75783,4711,151400,14000,237058,31758
2010,0500000US06031,6031,"Kings County, California",11731,1944,27549,2584,45262,3759,71087,5358,142462,11301,213263,25900
2009,0500000US06031,6031,"Kings County, California",11654,1677,27904,2330,44121,3067,63738,4175,131740,11673,207801,25273
2008,0500000US06031,6031,"Kings County, California",14458,1644,33576,2555,51098,3410,77942,6337,142873,15499,225781,56518
2007,0500000US06031,6031,"Kings County, California",12592,1747,29153,3074,47425,4221,73249,4895,126633,8351,190491,26427
2006,0500000US06031,6031,"Kings County, California",14187,1256,27035,1712,43559,3564,67812,4332,125795,9157,187015,21283
2013,0500000US06033,6033,"Lake County, California",9770,1628,20765,2834,37826,6927,64731,6124,120935,14428,188727,40563
2012,0500000US06033,6033,"Lake County, California",7010,1446,17839,3103,33295,4788,55546,5919,113071,15489,184144,44630
2011,0500000US06033,6033,"Lake County, California",11982,1878,24588,2100,37020,3587,58147,6189,123215,13688,184382,37102
2010,0500000US06033,6033,"Lake County, California",9912,1592,19934,2690,34919,4099,54067,5930,119610,17790,191293,42302
2009,0500000US06033,6033,"Lake County, California",8511,1887,20932,3917,40264,6344,65314,8291,140817,14875,219382,33298
2008,0500000US06033,6033,"Lake County, California",10211,2643,25073,3602,40852,4432,61525,6196,121340,13514,192562,33092
2007,0500000US06033,6033,"Lake County, California",10486,2692,25907,4717,41740,5608,65505,7987,132411,17794,211189,41647
2006,0500000US06033,6033,"Lake County, California",10930,1815,22168,3639,37478,4231,54979,4266,95034,8976,141468,22019
2013,0500000US06037,6037,"Los Angeles County, California",11412,193,30939,373,54926,540,89982,745,216149,3339,399500,11677
2012,0500000US06037,6037,"Los Angeles County, California",11123,208,30642,284,53588,485,87824,695,204729,2965,367778,10091
2011,0500000US06037,6037,"Los Angeles County, California",11369,167,30173,327,52927,520,86334,768,206920,3437,387769,11743
2010,0500000US06037,6037,"Los Angeles County, California",11516,213,30891,348,53282,545,85711,825,198513,3350,360133,11200
2009,0500000US06037,6037,"Los Angeles County, California",12075,206,32155,393,54893,565,87315,752,201843,3508,369250,12039
2008,0500000US06037,6037,"Los Angeles County, California",12461,221,32280,363,55880,519,89645,803,215579,4402,407445,15186
2007,0500000US06037,6037,"Los Angeles County, California",12165,207,31699,373,54085,516,86236,762,205693,3240,386667,11218
