Id,Id2,Geography,Year,Estimate; Gini Index,Margin of Error; Gini Index
0500000US06001,6001,"Alameda County, California",2013,0.4755,0.0055
0500000US06007,6007,"Butte County, California",2013,0.475,0.0177
0500000US06013,6013,"Contra Costa County, California",2013,0.4687,0.0102
0500000US06017,6017,"El Dorado County, California",2013,0.4855,0.0214
0500000US06019,6019,"Fresno County, California",2013,0.4762,0.0085
0500000US06023,6023,"Humboldt County, California",2013,0.4292,0.0197
0500000US06025,6025,"Imperial County, California",2013,0.4419,0.0238
0500000US06029,6029,"Kern County, California",2013,0.4562,0.0084
0500000US06031,6031,"Kings County, California",2013,0.4505,0.0263
0500000US06033,6033,"Lake County, California",2013,0.4479,0.0321
0500000US06037,6037,"Los Angeles County, California",2013,0.5047,0.0041
0500000US06039,6039,"Madera County, California",2013,0.4516,0.0254
0500000US06041,6041,"Marin County, California",2013,0.5244,0.021
0500000US06045,6045,"Mendocino County, California",2013,0.5189,0.0658
0500000US06047,6047,"Merced County, California",2013,0.4452,0.0172
0500000US06053,6053,"Monterey County, California",2013,0.4628,0.0183
0500000US06055,6055,"Napa County, California",2013,0.4593,0.0217
0500000US06057,6057,"Nevada County, California",2013,0.4458,0.0338
0500000US06059,6059,"Orange County, California",2013,0.4717,0.0085
0500000US06061,6061,"Placer County, California",2013,0.4428,0.0193
0500000US06065,6065,"Riverside County, California",2013,0.4497,0.0067
0500000US06067,6067,"Sacramento County, California",2013,0.4602,0.0082
0500000US06071,6071,"San Bernardino County, California",2013,0.4461,0.008
0500000US06073,6073,"San Diego County, California",2013,0.4789,0.0071
0500000US06075,6075,"San Francisco County, California",2013,0.5283,0.0121
0500000US06077,6077,"San Joaquin County, California",2013,0.4416,0.0116
0500000US06079,6079,"San Luis Obispo County, California",2013,0.449,0.0157
0500000US06081,6081,"San Mateo County, California",2013,0.482,0.0112
0500000US06083,6083,"Santa Barbara County, California",2013,0.5038,0.0182
0500000US06085,6085,"Santa Clara County, California",2013,0.4705,0.0066
0500000US06087,6087,"Santa Cruz County, California",2013,0.4581,0.0148
0500000US06089,6089,"Shasta County, California",2013,0.4545,0.0187
0500000US06095,6095,"Solano County, California",2013,0.4267,0.0136
0500000US06097,6097,"Sonoma County, California",2013,0.4645,0.0163
0500000US06099,6099,"Stanislaus County, California",2013,0.4786,0.0389
0500000US06101,6101,"Sutter County, California",2013,0.4646,0.0338
0500000US06107,6107,"Tulare County, California",2013,0.4679,0.016
0500000US06111,6111,"Ventura County, California",2013,0.4459,0.0124
0500000US06113,6113,"Yolo County, California",2013,0.4787,0.0193
0500000US06115,6115,"Yuba County, California",2013,0.3916,0.0241
0500000US06001,6001,"Alameda County, California",2012,0.4753,0.0074
0500000US06007,6007,"Butte County, California",2012,0.4635,0.0178
0500000US06013,6013,"Contra Costa County, California",2012,0.4617,0.0092
0500000US06017,6017,"El Dorado County, California",2012,0.4248,0.0214
0500000US06019,6019,"Fresno County, California",2012,0.4782,0.0093
0500000US06023,6023,"Humboldt County, California",2012,0.4586,0.021
0500000US06025,6025,"Imperial County, California",2012,0.4673,0.0188
0500000US06029,6029,"Kern County, California",2012,0.4585,0.0111
0500000US06031,6031,"Kings County, California",2012,0.4595,0.0398
0500000US06033,6033,"Lake County, California",2012,0.4725,0.04
0500000US06037,6037,"Los Angeles County, California",2012,0.4965,0.0032
0500000US06039,6039,"Madera County, California",2012,0.473,0.0294
0500000US06041,6041,"Marin County, California",2012,0.5173,0.0187
0500000US06045,6045,"Mendocino County, California",2012,0.4327,0.0176
0500000US06047,6047,"Merced County, California",2012,0.4518,0.0192
0500000US06053,6053,"Monterey County, California",2012,0.439,0.0146
0500000US06055,6055,"Napa County, California",2012,0.45,0.0216
0500000US06057,6057,"Nevada County, California",2012,0.4299,0.0383
0500000US06059,6059,"Orange County, California",2012,0.4643,0.0064
0500000US06061,6061,"Placer County, California",2012,0.4322,0.0158
0500000US06065,6065,"Riverside County, California",2012,0.4404,0.0055
0500000US06067,6067,"Sacramento County, California",2012,0.4561,0.0069
0500000US06071,6071,"San Bernardino County, California",2012,0.439,0.0077
0500000US06073,6073,"San Diego County, California",2012,0.4665,0.006
0500000US06075,6075,"San Francisco County, California",2012,0.5225,0.0104
0500000US06077,6077,"San Joaquin County, California",2012,0.4564,0.0125
0500000US06079,6079,"San Luis Obispo County, California",2012,0.4437,0.0172
0500000US06081,6081,"San Mateo County, California",2012,0.4849,0.0128
0500000US06083,6083,"Santa Barbara County, California",2012,0.4698,0.0151
0500000US06085,6085,"Santa Clara County, California",2012,0.4663,0.0085
0500000US06087,6087,"Santa Cruz County, California",2012,0.4615,0.0183
0500000US06089,6089,"Shasta County, California",2012,0.4358,0.015
0500000US06095,6095,"Solano County, California",2012,0.4312,0.013
0500000US06097,6097,"Sonoma County, California",2012,0.4552,0.0147
0500000US06099,6099,"Stanislaus County, California",2012,0.4455,0.012
0500000US06101,6101,"Sutter County, California",2012,0.4756,0.0466
0500000US06107,6107,"Tulare County, California",2012,0.4594,0.0158
0500000US06111,6111,"Ventura County, California",2012,0.4431,0.0116
0500000US06113,6113,"Yolo County, California",2012,0.4796,0.0211
0500000US06115,6115,"Yuba County, California",2012,0.4136,0.0278
0500000US06001,6001,"Alameda County, California",2011,0.4708,0.0078
0500000US06007,6007,"Butte County, California",2011,0.457,0.0175
0500000US06013,6013,"Contra Costa County, California",2011,0.4695,0.0116
0500000US06017,6017,"El Dorado County, California",2011,0.4469,0.018
0500000US06019,6019,"Fresno County, California",2011,0.4635,0.0111
0500000US06023,6023,"Humboldt County, California",2011,0.4582,0.021
0500000US06025,6025,"Imperial County, California",2011,0.4821,0.0252
0500000US06029,6029,"Kern County, California",2011,0.4574,0.012
0500000US06031,6031,"Kings County, California",2011,0.4457,0.0245
0500000US06033,6033,"Lake County, California",2011,0.4289,0.0272
0500000US06037,6037,"Los Angeles County, California",2011,0.5021,0.0044
0500000US06039,6039,"Madera County, California",2011,0.4145,0.0264
0500000US06041,6041,"Marin County, California",2011,0.5235,0.0161
0500000US06045,6045,"Mendocino County, California",2011,0.468,0.0427
0500000US06047,6047,"Merced County, California",2011,0.4579,0.0225
0500000US06053,6053,"Monterey County, California",2011,0.4635,0.0153
0500000US06055,6055,"Napa County, California",2011,0.4808,0.0326
0500000US06057,6057,"Nevada County, California",2011,0.4509,0.0248
0500000US06059,6059,"Orange County, California",2011,0.4589,0.0062
0500000US06061,6061,"Placer County, California",2011,0.4304,0.0151
0500000US06065,6065,"Riverside County, California",2011,0.4434,0.0079
0500000US06067,6067,"Sacramento County, California",2011,0.4435,0.0095
0500000US06071,6071,"San Bernardino County, California",2011,0.4369,0.009
0500000US06073,6073,"San Diego County, California",2011,0.4616,0.0054
0500000US06075,6075,"San Francisco County, California",2011,0.5148,0.0152
0500000US06077,6077,"San Joaquin County, California",2011,0.438,0.0129
0500000US06079,6079,"San Luis Obispo County, California",2011,0.4604,0.0176
0500000US06081,6081,"San Mateo County, California",2011,0.4928,0.0151
0500000US06083,6083,"Santa Barbara County, California",2011,0.4693,0.0144
0500000US06085,6085,"Santa Clara County, California",2011,0.4666,0.0065
0500000US06087,6087,"Santa Cruz County, California",2011,0.4638,0.0176
0500000US06089,6089,"Shasta County, California",2011,0.446,0.0134
0500000US06095,6095,"Solano County, California",2011,0.4242,0.0141
0500000US06097,6097,"Sonoma County, California",2011,0.4418,0.0133
0500000US06099,6099,"Stanislaus County, California",2011,0.4444,0.0152
0500000US06101,6101,"Sutter County, California",2011,0.4292,0.0294
0500000US06107,6107,"Tulare County, California",2011,0.4458,0.0129
0500000US06111,6111,"Ventura County, California",2011,0.4364,0.0095
0500000US06113,6113,"Yolo County, California",2011,0.4906,0.0244
0500000US06115,6115,"Yuba County, California",2011,0.3936,0.032
0500000US06001,6001,"Alameda County, California",2010,0.459,0.006
0500000US06007,6007,"Butte County, California",2010,0.437,0.018
0500000US06013,6013,"Contra Costa County, California",2010,0.445,0.009
0500000US06017,6017,"El Dorado County, California",2010,0.442,0.021
0500000US06019,6019,"Fresno County, California",2010,0.462,0.01
0500000US06023,6023,"Humboldt County, California",2010,0.471,0.028
0500000US06025,6025,"Imperial County, California",2010,0.441,0.02
0500000US06029,6029,"Kern County, California",2010,0.45,0.009
0500000US06031,6031,"Kings County, California",2010,0.437,0.023
0500000US06033,6033,"Lake County, California",2010,0.456,0.035
0500000US06037,6037,"Los Angeles County, California",2010,0.49,0.004
0500000US06039,6039,"Madera County, California",2010,0.444,0.031
0500000US06041,6041,"Marin County, California",2010,0.512,0.017
0500000US06045,6045,"Mendocino County, California",2010,0.416,0.025
0500000US06047,6047,"Merced County, California",2010,0.489,0.03
0500000US06053,6053,"Monterey County, California",2010,0.452,0.015
0500000US06055,6055,"Napa County, California",2010,0.47,0.034
0500000US06057,6057,"Nevada County, California",2010,0.426,0.024
0500000US06059,6059,"Orange County, California",2010,0.453,0.008
0500000US06061,6061,"Placer County, California",2010,0.425,0.014
0500000US06065,6065,"Riverside County, California",2010,0.44,0.008
0500000US06067,6067,"Sacramento County, California",2010,0.434,0.009
0500000US06071,6071,"San Bernardino County, California",2010,0.425,0.007
0500000US06073,6073,"San Diego County, California",2010,0.458,0.007
0500000US06075,6075,"San Francisco County, California",2010,0.507,0.012
0500000US06077,6077,"San Joaquin County, California",2010,0.436,0.015
0500000US06079,6079,"San Luis Obispo County, California",2010,0.462,0.022
0500000US06081,6081,"San Mateo County, California",2010,0.453,0.012
0500000US06083,6083,"Santa Barbara County, California",2010,0.503,0.022
0500000US06085,6085,"Santa Clara County, California",2010,0.452,0.007
0500000US06087,6087,"Santa Cruz County, California",2010,0.46,0.017
0500000US06089,6089,"Shasta County, California",2010,0.441,0.021
0500000US06095,6095,"Solano County, California",2010,0.405,0.015
0500000US06097,6097,"Sonoma County, California",2010,0.438,0.014
0500000US06099,6099,"Stanislaus County, California",2010,0.458,0.017
0500000US06101,6101,"Sutter County, California",2010,0.427,0.023
0500000US06107,6107,"Tulare County, California",2010,0.451,0.015
0500000US06111,6111,"Ventura County, California",2010,0.441,0.012
0500000US06113,6113,"Yolo County, California",2010,0.464,0.023
0500000US06115,6115,"Yuba County, California",2010,0.408,0.034
0500000US06001,6001,"Alameda County, California",2009,0.449,0.007
0500000US06007,6007,"Butte County, California",2009,0.449,0.033
0500000US06013,6013,"Contra Costa County, California",2009,0.456,0.013
0500000US06017,6017,"El Dorado County, California",2009,0.4,0.021
0500000US06019,6019,"Fresno County, California",2009,0.457,0.011
0500000US06023,6023,"Humboldt County, California",2009,0.461,0.028
0500000US06025,6025,"Imperial County, California",2009,0.493,0.024
0500000US06029,6029,"Kern County, California",2009,0.449,0.011
0500000US06031,6031,"Kings County, California",2009,0.424,0.021
0500000US06033,6033,"Lake County, California",2009,0.478,0.031
0500000US06037,6037,"Los Angeles County, California",2009,0.486,0.004
0500000US06039,6039,"Madera County, California",2009,0.434,0.025
0500000US06041,6041,"Marin County, California",2009,0.495,0.017
0500000US06045,6045,"Mendocino County, California",2009,0.435,0.025
0500000US06047,6047,"Merced County, California",2009,0.46,0.032
0500000US06053,6053,"Monterey County, California",2009,0.443,0.015
0500000US06055,6055,"Napa County, California",2009,0.453,0.026
0500000US06057,6057,"Nevada County, California",2009,0.44,0.031
0500000US06059,6059,"Orange County, California",2009,0.45,0.007
0500000US06061,6061,"Placer County, California",2009,0.418,0.015
0500000US06065,6065,"Riverside County, California",2009,0.433,0.008
0500000US06067,6067,"Sacramento County, California",2009,0.438,0.008
0500000US06071,6071,"San Bernardino County, California",2009,0.437,0.012
0500000US06073,6073,"San Diego County, California",2009,0.45,0.007
0500000US06075,6075,"San Francisco County, California",2009,0.507,0.011
0500000US06077,6077,"San Joaquin County, California",2009,0.436,0.013
0500000US06079,6079,"San Luis Obispo County, California",2009,0.434,0.014
0500000US06081,6081,"San Mateo County, California",2009,0.465,0.013
0500000US06083,6083,"Santa Barbara County, California",2009,0.458,0.016
0500000US06085,6085,"Santa Clara County, California",2009,0.446,0.008
0500000US06087,6087,"Santa Cruz County, California",2009,0.463,0.017
0500000US06089,6089,"Shasta County, California",2009,0.453,0.024
0500000US06095,6095,"Solano County, California",2009,0.408,0.012
0500000US06097,6097,"Sonoma County, California",2009,0.43,0.015
0500000US06099,6099,"Stanislaus County, California",2009,0.425,0.014
0500000US06101,6101,"Sutter County, California",2009,0.407,0.037
0500000US06107,6107,"Tulare County, California",2009,0.451,0.014
0500000US06111,6111,"Ventura County, California",2009,0.433,0.01
0500000US06113,6113,"Yolo County, California",2009,0.445,0.02
0500000US06115,6115,"Yuba County, California",2009,0.426,0.034
0500000US06001,6001,"Alameda County, California",2008,0.455,0.008
0500000US06007,6007,"Butte County, California",2008,0.467,0.021
0500000US06013,6013,"Contra Costa County, California",2008,0.456,0.011
0500000US06017,6017,"El Dorado County, California",2008,0.404,0.023
0500000US06019,6019,"Fresno County, California",2008,0.47,0.015
0500000US06023,6023,"Humboldt County, California",2008,0.471,0.031
0500000US06025,6025,"Imperial County, California",2008,0.462,0.036
0500000US06029,6029,"Kern County, California",2008,0.461,0.012
0500000US06031,6031,"Kings County, California",2008,0.404,0.029
0500000US06033,6033,"Lake County, California",2008,0.428,0.033
0500000US06037,6037,"Los Angeles County, California",2008,0.498,0.005
0500000US06039,6039,"Madera County, California",2008,0.456,0.037
0500000US06041,6041,"Marin County, California",2008,0.485,0.019
0500000US06045,6045,"Mendocino County, California",2008,0.489,0.057
0500000US06047,6047,"Merced County, California",2008,0.459,0.02
0500000US06053,6053,"Monterey County, California",2008,0.433,0.017
0500000US06055,6055,"Napa County, California",2008,0.465,0.027
0500000US06057,6057,"Nevada County, California",2008,0.419,0.032
0500000US06059,6059,"Orange County, California",2008,0.46,0.008
0500000US06061,6061,"Placer County, California",2008,0.419,0.017
0500000US06065,6065,"Riverside County, California",2008,0.434,0.008
0500000US06067,6067,"Sacramento County, California",2008,0.417,0.007
0500000US06071,6071,"San Bernardino County, California",2008,0.431,0.012
0500000US06073,6073,"San Diego County, California",2008,0.455,0.006
0500000US06075,6075,"San Francisco County, California",2008,0.514,0.012
0500000US06077,6077,"San Joaquin County, California",2008,0.434,0.013
0500000US06079,6079,"San Luis Obispo County, California",2008,0.436,0.02
0500000US06081,6081,"San Mateo County, California",2008,0.479,0.013
0500000US06083,6083,"Santa Barbara County, California",2008,0.459,0.017
0500000US06085,6085,"Santa Clara County, California",2008,0.446,0.008
0500000US06087,6087,"Santa Cruz County, California",2008,0.467,0.018
0500000US06089,6089,"Shasta County, California",2008,0.453,0.019
0500000US06095,6095,"Solano County, California",2008,0.396,0.014
0500000US06097,6097,"Sonoma County, California",2008,0.456,0.017
0500000US06099,6099,"Stanislaus County, California",2008,0.442,0.019
0500000US06101,6101,"Sutter County, California",2008,0.446,0.035
0500000US06107,6107,"Tulare County, California",2008,0.427,0.014
0500000US06111,6111,"Ventura County, California",2008,0.434,0.012
0500000US06113,6113,"Yolo County, California",2008,0.446,0.019
0500000US06115,6115,"Yuba County, California",2008,0.421,0.033
0500000US06001,6001,"Alameda County, California",2007,0.458,0.008
0500000US06007,6007,"Butte County, California",2007,0.463,0.018
0500000US06013,6013,"Contra Costa County, California",2007,0.451,0.01
0500000US06017,6017,"El Dorado County, California",2007,0.428,0.021
0500000US06019,6019,"Fresno County, California",2007,0.456,0.013
0500000US06023,6023,"Humboldt County, California",2007,0.475,0.044
0500000US06025,6025,"Imperial County, California",2007,0.478,0.029
0500000US06029,6029,"Kern County, California",2007,0.448,0.014
0500000US06031,6031,"Kings County, California",2007,0.402,0.023
0500000US06033,6033,"Lake County, California",2007,0.44,0.041
0500000US06037,6037,"Los Angeles County, California",2007,0.493,0.004
0500000US06039,6039,"Madera County, California",2007,0.455,0.029
0500000US06041,6041,"Marin County, California",2007,0.497,0.022
0500000US06045,6045,"Mendocino County, California",2007,0.428,0.022
0500000US06047,6047,"Merced County, California",2007,0.463,0.022
0500000US06053,6053,"Monterey County, California",2007,0.454,0.02
0500000US06055,6055,"Napa County, California",2007,0.462,0.033
0500000US06057,6057,"Nevada County, California",2007,0.405,0.032
0500000US06059,6059,"Orange County, California",2007,0.457,0.007
0500000US06061,6061,"Placer County, California",2007,0.417,0.014
0500000US06065,6065,"Riverside County, California",2007,0.441,0.009
0500000US06067,6067,"Sacramento County, California",2007,0.421,0.009
0500000US06071,6071,"San Bernardino County, California",2007,0.406,0.008
0500000US06073,6073,"San Diego County, California",2007,0.451,0.006
0500000US06075,6075,"San Francisco County, California",2007,0.519,0.012
0500000US06077,6077,"San Joaquin County, California",2007,0.436,0.014
0500000US06079,6079,"San Luis Obispo County, California",2007,0.468,0.017
0500000US06081,6081,"San Mateo County, California",2007,0.47,0.012
0500000US06083,6083,"Santa Barbara County, California",2007,0.469,0.016
0500000US06085,6085,"Santa Clara County, California",2007,0.452,0.008
0500000US06087,6087,"Santa Cruz County, California",2007,0.463,0.018
0500000US06089,6089,"Shasta County, California",2007,0.448,0.022
0500000US06095,6095,"Solano County, California",2007,0.399,0.013
0500000US06097,6097,"Sonoma County, California",2007,0.438,0.014
0500000US06099,6099,"Stanislaus County, California",2007,0.424,0.017
0500000US06101,6101,"Sutter County, California",2007,0.42,0.022
