Id,Id2,Geography,Year,Estimate; Total,Margin of Error; Total
0500000US06001,6001,"Alameda County, California",2005,556474,
0500000US06007,6007,"Butte County, California",2005,92187,
0500000US06013,6013,"Contra Costa County, California",2005,383328,
0500000US06017,6017,"El Dorado County, California",2005,80279,
0500000US06019,6019,"Fresno County, California",2005,292733,
0500000US06023,6023,"Humboldt County, California",2005,58160,
0500000US06025,6025,"Imperial County, California",2005,49491,
0500000US06029,6029,"Kern County, California",2005,254226,
0500000US06031,6031,"Kings County, California",2005,40021,
0500000US06033,6033,"Lake County, California",2005,34031,
0500000US06037,6037,"Los Angeles County, California",2005,3339763,
0500000US06039,6039,"Madera County, California",2005,45498,
0500000US06041,6041,"Marin County, California",2005,107423,
0500000US06045,6045,"Mendocino County, California",2005,38418,
0500000US06047,6047,"Merced County, California",2005,77571,
0500000US06053,6053,"Monterey County, California",2005,137533,
0500000US06055,6055,"Napa County, California",2005,52167,
0500000US06057,6057,"Nevada County, California",2005,48499,
0500000US06059,6059,"Orange County, California",2005,1017219,
0500000US06061,6061,"Placer County, California",2005,137086,
0500000US06065,6065,"Riverside County, California",2005,699474,
0500000US06067,6067,"Sacramento County, California",2005,528035,
0500000US06071,6071,"San Bernardino County, California",2005,652802,
0500000US06073,6073,"San Diego County, California",2005,1113207,
0500000US06075,6075,"San Francisco County, California",2005,354963,
0500000US06077,6077,"San Joaquin County, California",2005,217991,
0500000US06079,6079,"San Luis Obispo County, California",2005,112099,
0500000US06081,6081,"San Mateo County, California",2005,266154,
0500000US06083,6083,"Santa Barbara County, California",2005,150053,
0500000US06085,6085,"Santa Clara County, California",2005,605121,
0500000US06087,6087,"Santa Cruz County, California",2005,101686,
0500000US06089,6089,"Shasta County, California",2005,74219,
0500000US06095,6095,"Solano County, California",2005,146724,
0500000US06097,6097,"Sonoma County, California",2005,193353,
0500000US06099,6099,"Stanislaus County, California",2005,167079,
0500000US06101,6101,"Sutter County, California",2005,31733,
0500000US06107,6107,"Tulare County, California",2005,129128,
0500000US06111,6111,"Ventura County, California",2005,266554,
0500000US06113,6113,"Yolo County, California",2005,69106,
0500000US06115,6115,"Yuba County, California",2005,25437,
0500000US06001,6001,"Alameda County, California",2006,559704,386
0500000US06007,6007,"Butte County, California",2006,93748,164
0500000US06013,6013,"Contra Costa County, California",2006,389134,203
0500000US06017,6017,"El Dorado County, California",2006,81772,56
0500000US06019,6019,"Fresno County, California",2006,299578,327
0500000US06023,6023,"Humboldt County, California",2006,58552,174
0500000US06025,6025,"Imperial County, California",2006,51590,112
0500000US06029,6029,"Kern County, California",2006,262651,275
0500000US06031,6031,"Kings County, California",2006,41053,197
0500000US06033,6033,"Lake County, California",2006,34517,47
0500000US06037,6037,"Los Angeles County, California",2006,3356418,900
0500000US06039,6039,"Madera County, California",2006,47671,98
0500000US06041,6041,"Marin County, California",2006,107993,172
0500000US06045,6045,"Mendocino County, California",2006,38668,95
0500000US06047,6047,"Merced County, California",2006,81058,168
0500000US06053,6053,"Monterey County, California",2006,138740,243
0500000US06055,6055,"Napa County, California",2006,52768,295
0500000US06057,6057,"Nevada County, California",2006,49265,88
0500000US06059,6059,"Orange County, California",2006,1023053,594
0500000US06061,6061,"Placer County, California",2006,142176,150
0500000US06065,6065,"Riverside County, California",2006,732433,262
0500000US06067,6067,"Sacramento County, California",2006,542527,379
0500000US06071,6071,"San Bernardino County, California",2006,668378,386
0500000US06073,6073,"San Diego County, California",2006,1125820,673
0500000US06075,6075,"San Francisco County, California",2006,356486,415
0500000US06077,6077,"San Joaquin County, California",2006,223471,219
0500000US06079,6079,"San Luis Obispo County, California",2006,114213,251
0500000US06081,6081,"San Mateo County, California",2006,266392,224
0500000US06083,6083,"Santa Barbara County, California",2006,150880,390
