Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06001,6001,"Alameda County, California",2005,222606,6934,215706,7014,1575,930,1648,670,2710,758,3762,1194,1614,644,2407,1234,1441,513,3549,949,2964,823,3794,934,5121,1223,5627,1697,7018,1354,8358,1950,9089,1678,25262,4096,25165,2707,49215,4127,25295,2496,21919,2330,8173,1782,6900,1569
0500000US06007,6007,"Butte County, California",2005,35629,2310,33940,2271,996,1170,482,399,411,268,987,487,682,531,596,373,1036,697,1101,547,1801,811,2539,912,2691,741,2831,1015,4016,1159,3025,1159,1329,566,3043,856,2268,869,2568,735,1135,550,124,145,279,230,1689,691
0500000US06013,6013,"Contra Costa County, California",2005,105897,5176,102158,5096,803,518,506,418,2347,874,1625,850,598,364,1232,746,1102,843,1088,522,851,473,1743,828,1171,612,1259,546,1452,605,2938,1092,4894,1667,12002,1841,10609,1999,25993,3152,12014,1980,13919,2433,4012,1311,3739,1332
0500000US06017,6017,"El Dorado County, California",2005,16914,1994,16356,1988,0,293,66,108,0,293,510,397,0,293,0,293,142,172,766,783,867,903,474,257,352,278,498,399,325,260,1687,744,665,437,3373,1247,1181,616,2458,922,1474,781,1236,710,282,317,558,422
0500000US06019,6019,"Fresno County, California",2005,116340,4515,109776,4548,1095,607,1421,675,2250,810,2637,743,2332,772,3910,1107,5083,1179,6325,1411,8279,1452,11465,2276,9783,1953,9674,1913,10385,2287,6806,1645,4729,1294,9149,1612,5345,1541,5735,1683,1983,835,582,449,808,390,6564,1448
0500000US06023,6023,"Humboldt County, California",2005,22499,1453,21500,1503,44,74,39,50,151,176,633,373,578,345,509,401,514,309,2466,760,2051,772,3353,1099,1818,665,1604,611,2085,869,940,559,448,293,1482,519,876,571,939,569,679,500,291,296,0,293,999,416
0500000US06025,6025,"Imperial County, California",2005,18943,1820,17877,1722,204,180,507,401,1784,699,1348,610,888,484,658,399,829,467,1996,813,1465,696,1396,546,1222,644,1351,661,804,450,410,360,454,373,983,612,426,377,793,572,80,146,279,335,0,293,1066,523
0500000US06029,6029,"Kern County, California",2005,86245,4612,80588,4481,263,209,125,123,1385,869,1721,1040,2615,1203,3318,1410,5031,1310,7946,1540,8497,2210,8660,1845,7493,1871,5992,1459,5630,1673,4864,1135,2185,1089,5409,1558,2790,900,3611,979,2263,976,502,354,288,225,5657,1262
0500000US06031,6031,"Kings County, California",2005,16777,1419,14590,1461,367,361,429,383,398,369,382,282,384,302,905,524,434,385,1249,492,805,588,1617,615,1145,619,1691,752,862,502,959,528,416,274,985,532,372,295,600,379,246,286,344,323,0,293,2187,688
0500000US06037,6037,"Los Angeles County, California",2005,1621543,17621,1579038,17741,6300,1755,6331,1379,16146,2725,27590,3540,11622,1764,17677,2669,20191,2684,33379,3627,35975,4339,67628,5809,65755,5645,89267,7488,89900,6274,95748,4339,97464,6233,209901,9616,156017,8331,250812,9917,121708,6741,109300,6557,50327,3951,42505,3514
