Id,Id2,Geography,Year,Estimate; Median gross rent,Margin of Error; Median gross rent
0500000US06001,6001,"Alameda County, California",2005,1063,20
0500000US06007,6007,"Butte County, California",2005,751,29
0500000US06013,6013,"Contra Costa County, California",2005,1121,28
0500000US06017,6017,"El Dorado County, California",2005,1001,74
0500000US06019,6019,"Fresno County, California",2005,710,14
0500000US06023,6023,"Humboldt County, California",2005,647,36
0500000US06025,6025,"Imperial County, California",2005,578,57
0500000US06029,6029,"Kern County, California",2005,663,23
0500000US06031,6031,"Kings County, California",2005,687,33
0500000US06033,6033,"Lake County, California",2005,683,113
0500000US06037,6037,"Los Angeles County, California",2005,918,7
0500000US06039,6039,"Madera County, California",2005,661,27
0500000US06041,6041,"Marin County, California",2005,1394,67
0500000US06045,6045,"Mendocino County, California",2005,757,49
0500000US06047,6047,"Merced County, California",2005,744,45
0500000US06053,6053,"Monterey County, California",2005,1008,46
0500000US06055,6055,"Napa County, California",2005,1077,102
0500000US06057,6057,"Nevada County, California",2005,999,97
0500000US06059,6059,"Orange County, California",2005,1232,13
0500000US06061,6061,"Placer County, California",2005,1041,54
0500000US06065,6065,"Riverside County, California",2005,927,22
0500000US06067,6067,"Sacramento County, California",2005,866,12
0500000US06071,6071,"San Bernardino County, California",2005,899,19
0500000US06073,6073,"San Diego County, California",2005,1072,15
0500000US06075,6075,"San Francisco County, California",2005,1118,20
0500000US06077,6077,"San Joaquin County, California",2005,853,20
0500000US06079,6079,"San Luis Obispo County, California",2005,1003,56
0500000US06081,6081,"San Mateo County, California",2005,1274,36
0500000US06083,6083,"Santa Barbara County, California",2005,1121,59
0500000US06085,6085,"Santa Clara County, California",2005,1209,22
0500000US06087,6087,"Santa Cruz County, California",2005,1202,65
0500000US06089,6089,"Shasta County, California",2005,761,39
0500000US06095,6095,"Solano County, California",2005,1096,34
0500000US06097,6097,"Sonoma County, California",2005,1080,41
0500000US06099,6099,"Stanislaus County, California",2005,811,33
0500000US06101,6101,"Sutter County, California",2005,731,74
0500000US06107,6107,"Tulare County, California",2005,607,22
0500000US06111,6111,"Ventura County, California",2005,1181,36
0500000US06113,6113,"Yolo County, California",2005,941,29
0500000US06115,6115,"Yuba County, California",2005,664,65
0500000US06001,6001,"Alameda County, California",2006,1095,17
0500000US06007,6007,"Butte County, California",2006,783,35
