Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US06001,6001,"Alameda County, California",2013,267492,5563,7616,1365,20346,2285,29750,2857,32100,2839,29767,2746,26206,2440,16067,2173,23787,2605,69856,4333,11997,1510
0500000US06007,6007,"Butte County, California",2013,36197,2468,1232,761,2553,729,2844,707,3171,957,3086,954,3412,1151,2482,976,3682,1058,11120,1636,2615,947
0500000US06013,6013,"Contra Costa County, California",2013,135067,4372,2931,777,8345,1819,14979,2448,16593,2269,16056,2044,12298,1834,9669,1731,13489,2046,35489,3135,5218,1084
0500000US06017,6017,"El Dorado County, California",2013,18002,2125,577,600,829,482,1127,462,2996,1119,1629,711,1200,609,1178,588,1775,848,4167,1258,2524,912
0500000US06019,6019,"Fresno County, California",2013,140751,4010,4292,971,10038,1757,12163,2022,14356,1961,13772,1947,11255,1703,8881,1463,15135,2017,41890,2841,8969,1807
0500000US06023,6023,"Humboldt County, California",2013,24241,1688,897,680,1535,537,2296,838,2766,952,1664,677,1704,649,861,396,2858,958,7494,1401,2166,863
0500000US06025,6025,"Imperial County, California",2013,21786,1814,945,485,1282,636,2871,785,3032,936,1862,685,1715,708,1751,672,1684,670,5320,1258,1324,612
0500000US06029,6029,"Kern County, California",2013,119672,4683,3632,1112,8818,1329,12790,2128,11915,1801,12966,2056,10005,1683,8977,1938,10988,1650,32622,3101,6959,1522
0500000US06031,6031,"Kings County, California",2013,20723,1555,507,353,902,522,2961,1012,2819,917,2409,741,1776,633,1739,731,1864,772,4275,1061,1471,596
0500000US06033,6033,"Lake County, California",2013,9599,1401,6,12,351,324,541,359,778,440,984,601,541,332,812,459,1205,652,3520,1031,861,446
