Id,Id2,Geography,Year,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US06001,6001,"Alameda County, California",2005,597700,7544
0500000US06007,6007,"Butte County, California",2005,262300,16157
0500000US06013,6013,"Contra Costa County, California",2005,590200,8987
0500000US06017,6017,"El Dorado County, California",2005,497800,19846
0500000US06019,6019,"Fresno County, California",2005,251000,7384
0500000US06023,6023,"Humboldt County, California",2005,300700,16054
0500000US06025,6025,"Imperial County, California",2005,182000,13600
0500000US06029,6029,"Kern County, California",2005,210700,6453
0500000US06031,6031,"Kings County, California",2005,188800,8155
0500000US06033,6033,"Lake County, California",2005,255300,44508
0500000US06037,6037,"Los Angeles County, California",2005,480300,2790
0500000US06039,6039,"Madera County, California",2005,308400,17902
0500000US06041,6041,"Marin County, California",2005,868200,19748
0500000US06045,6045,"Mendocino County, California",2005,385000,30071
0500000US06047,6047,"Merced County, California",2005,305300,14925
0500000US06053,6053,"Monterey County, California",2005,645700,16643
0500000US06055,6055,"Napa County, California",2005,603900,21637
0500000US06057,6057,"Nevada County, California",2005,440100,16460
0500000US06059,6059,"Orange County, California",2005,623600,4025
0500000US06061,6061,"Placer County, California",2005,492000,11390
0500000US06065,6065,"Riverside County, California",2005,371600,5027
0500000US06067,6067,"Sacramento County, California",2005,365500,3404
0500000US06071,6071,"San Bernardino County, California",2005,322400,4878
0500000US06073,6073,"San Diego County, California",2005,552000,5619
0500000US06075,6075,"San Francisco County, California",2005,726700,13760
0500000US06077,6077,"San Joaquin County, California",2005,379600,6545
0500000US06079,6079,"San Luis Obispo County, California",2005,529500,20524
0500000US06081,6081,"San Mateo County, California",2005,763100,17416
0500000US06083,6083,"Santa Barbara County, California",2005,646300,22060
0500000US06085,6085,"Santa Clara County, California",2005,681700,6995
0500000US06087,6087,"Santa Cruz County, California",2005,694100,21154
0500000US06089,6089,"Shasta County, California",2005,240200,8082
0500000US06095,6095,"Solano County, California",2005,454600,6842
0500000US06097,6097,"Sonoma County, California",2005,601700,10526
0500000US06099,6099,"Stanislaus County, California",2005,347100,5077
0500000US06101,6101,"Sutter County, California",2005,286600,19244
0500000US06107,6107,"Tulare County, California",2005,202400,7687
0500000US06111,6111,"Ventura County, California",2005,602700,7417
0500000US06113,6113,"Yolo County, California",2005,434900,12825
0500000US06115,6115,"Yuba County, California",2005,247000,16797
0500000US06001,6001,"Alameda County, California",2006,646800,5277
0500000US06007,6007,"Butte County, California",2006,273700,12040
0500000US06013,6013,"Contra Costa County, California",2006,641900,6695
0500000US06017,6017,"El Dorado County, California",2006,515100,22758
0500000US06019,6019,"Fresno County, California",2006,301400,6522
0500000US06023,6023,"Humboldt County, California",2006,336000,8262
0500000US06025,6025,"Imperial County, California",2006,245100,12467
0500000US06029,6029,"Kern County, California",2006,255100,6313
0500000US06031,6031,"Kings County, California",2006,228000,12180
0500000US06033,6033,"Lake County, California",2006,317800,26216
0500000US06037,6037,"Los Angeles County, California",2006,574100,2897
0500000US06039,6039,"Madera County, California",2006,336500,15567
0500000US06041,6041,"Marin County, California",2006,901900,16081
0500000US06045,6045,"Mendocino County, California",2006,457400,25933
0500000US06047,6047,"Merced County, California",2006,359300,9036
0500000US06053,6053,"Monterey County, California",2006,685100,16288
0500000US06055,6055,"Napa County, California",2006,657300,17557
0500000US06057,6057,"Nevada County, California",2006,478400,16491
0500000US06059,6059,"Orange County, California",2006,676000,4493
0500000US06061,6061,"Placer County, California",2006,507900,18417
0500000US06065,6065,"Riverside County, California",2006,414000,4274
0500000US06067,6067,"Sacramento County, California",2006,389200,3323
0500000US06071,6071,"San Bernardino County, California",2006,378100,3670
0500000US06073,6073,"San Diego County, California",2006,572000,4093
0500000US06075,6075,"San Francisco County, California",2006,806700,14966
0500000US06077,6077,"San Joaquin County, California",2006,427000,7456
0500000US06079,6079,"San Luis Obispo County, California",2006,581000,17537
0500000US06081,6081,"San Mateo County, California",2006,814700,11103
0500000US06083,6083,"Santa Barbara County, California",2006,685700,28193
0500000US06085,6085,"Santa Clara County, California",2006,743000,7385
