Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US06001,6001,"Alameda County, California",2005,298774,6294,233793,5811,9415,1842,17121,2075,30029,2921,31037,2593,28898,3208,26963,3212,20509,2338,24399,2325,43782,3764,1640,1090,64981,3550,30557,2697,10611,1391,7189,1599,4451,1015,3353,811,2091,558,1600,537,1481,575,3075,710,573,385
0500000US06007,6007,"Butte County, California",2005,47434,2224,30634,2022,1039,544,3065,681,5823,1031,4233,984,3856,887,3997,1055,2000,493,2337,610,4275,892,9,15,16800,1439,6087,981,3844,754,2238,609,1098,430,348,252,807,476,657,367,634,487,944,380,143,144
0500000US06013,6013,"Contra Costa County, California",2005,256205,5089,203039,5033,7160,1293,14376,1944,23193,2511,28751,2472,28550,2664,25530,2593,17924,2144,21649,2210,34882,2662,1024,410,53166,2614,22901,1908,10504,1584,5099,943,3585,915,2775,969,1564,673,758,412,1857,599,3485,1011,638,325
0500000US06017,6017,"El Dorado County, California",2005,47998,2135,35737,1876,1368,530,3121,822,5942,1127,5633,1002,3575,776,4328,936,2989,802,3762,906,4896,1108,123,156,12261,1554,4862,1364,2452,764,1381,490,593,290,535,295,801,391,143,141,713,422,726,366,55,91
0500000US06019,6019,"Fresno County, California",2005,157789,4439,115773,4375,5438,1368,12331,1902,19147,2460,18393,2073,15238,2086,10666,1583,7648,1304,8500,1300,18086,2372,326,277,42016,2940,18199,1838,7391,1150,5220,1318,2760,660,1758,472,2283,1144,693,358,606,323,2710,903,396,289
0500000US06023,6023,"Humboldt County, California",2005,29520,1528,17660,1381,1248,570,1640,634,2692,651,2678,753,2731,680,1519,493,927,321,1430,390,2751,716,44,72,11860,1154,5718,983,2015,527,1258,427,1097,410,445,316,358,255,171,119,114,102,659,368,25,44
0500000US06025,6025,"Imperial County, California",2005,26044,1778,17252,1457,783,468,1524,556,2624,774,2915,882,1909,724,2094,649,1144,553,1511,699,2615,761,133,215,8792,1159,4301,1017,1364,540,1448,543,694,365,261,208,80,95,37,66,424,286,134,161,49,61
0500000US06029,6029,"Kern County, California",2005,145321,4991,106031,4141,6024,1333,11930,1493,16339,1846,16865,1713,12897,1817,9320,1371,7501,1369,8726,1717,15932,1941,497,443,39290,2831,14601,1612,7499,1667,5654,1717,4497,1971,1481,544,1594,602,644,322,691,262,1980,549,649,419
0500000US06031,6031,"Kings County, California",2005,21101,1317,14741,1504,553,393,970,481,2449,700,2581,765,2397,813,1954,722,1085,424,947,499,1785,623,20,34,6360,878,3245,636,1196,492,541,302,527,351,217,192,90,115,13,22,0,293,496,341,35,58
0500000US06033,6033,"Lake County, California",2005,19164,1732,11467,1618,416,439,1207,558,892,425,1977,919,1528,695,531,358,1370,746,1232,665,2314,920,0,293,7697,1367,2676,756,1603,724,1138,607,271,234,904,659,411,333,292,256,103,125,299,363,0,293
0500000US06037,6037,"Los Angeles County, California",2005,1562853,17727,1208550,16837,46967,3910,97776,5223,145945,7177,156745,6262,148997,7699,117468,6038,93748,5319,125307,7218,268885,9402,6712,1658,354303,8676,156627,6087,66084,3622,36271,3127,22916,2521,16369,1871,8978,1506,6011,992,10348,2203,26365,2855,4334,1416
0500000US06039,6039,"Madera County, California",2005,28120,1934,19777,1852,1391,657,2030,685,2468,661,3332,993,3428,830,2153,743,884,476,1455,591,2498,834,138,168,8343,996,3218,898,2096,555,960,388,773,427,311,263,167,169,172,192,115,136,435,343,96,162
0500000US06041,6041,"Marin County, California",2005,67253,2696,49829,2500,2073,601,4397,963,7113,1189,4997,941,5712,1084,4724,940,3912,767,5755,1601,10752,1625,394,275,17424,1862,8788,1450,2660,692,1702,586,742,346,353,269,283,180,193,207,366,328,2171,1247,166,170
0500000US06045,6045,"Mendocino County, California",2005,21238,1711,11933,1406,306,314,1125,547,1566,686,1416,597,1404,610,1637,593,880,447,968,544,2631,918,0,293,9305,1196,4166,953,1224,519,1176,500,605,333,575,334,431,511,29,49,289,243,706,348,104,155
0500000US06047,6047,"Merced County, California",2005,42329,2309,30228,2123,1278,613,2254,556,3546,890,4159,1036,4257,863,2965,674,2962,993,3355,905,5261,1107,191,255,12101,1222,5504,881,2440,617,982,422,711,302,489,310,227,172,277,214,214,212,1158,525,99,116
0500000US06053,6053,"Monterey County, California",2005,68664,2945,50422,2852,1694,555,4088,928,4444,982,5408,944,6874,1262,4383,1025,5700,1083,6767,1547,10895,1779,169,150,18242,1488,9423,1375,3231,732,1641,556,1217,505,666,379,177,173,327,216,512,269,692,358,356,255
0500000US06055,6055,"Napa County, California",2005,32323,1865,22802,1753,937,616,2676,839,1910,589,3156,933,2681,801,3006,1157,1994,755,2269,647,4002,909,171,184,9521,1164,2862,607,1752,744,1108,421,1085,409,133,133,491,437,390,311,340,235,1279,581,81,101
0500000US06057,6057,"Nevada County, California",2005,28888,1824,19332,1609,344,216,1781,561,2125,680,2663,845,3043,760,2449,770,1094,484,1782,573,3997,867,54,95,9556,1250,3233,811,2376,752,1103,511,754,440,289,223,87,101,423,306,416,275,675,422,200,321
0500000US06059,6059,"Orange County, California",2005,601038,8161,470919,7972,19367,2121,38290,3055,62327,4051,68113,3527,61178,4437,50001,3935,36831,3104,46474,3836,85577,4236,2761,849,130119,4367,65935,3619,20479,1822,11451,1518,7954,1499,5012,1092,3077,799,2945,928,3448,1195,8775,1608,1043,953
0500000US06061,6061,"Placer County, California",2005,85499,3359,65895,3447,1207,493,4499,1072,9097,1165,11529,1421,8141,1308,8087,1400,5153,975,6301,1594,11557,2046,324,297,19604,1714,6866,1069,4297,1125,2784,603,1708,688,1041,413,472,257,453,251,415,252,1522,525,46,78
0500000US06065,6065,"Riverside County, California",2005,434872,8719,333623,8818,10256,1542,21664,2389,42422,3662,48641,4128,44339,3474,37122,3754,28954,2913,36658,3552,61857,3590,1710,948,101249,3844,40705,2941,18916,1887,11054,1653,7606,1169,6320,1267,3007,709,2441,616,3185,780,6856,1660,1159,481
0500000US06067,6067,"Sacramento County, California",2005,300975,6108,233524,5941,8105,1751,19338,1995,30299,3289,37733,2924,36332,2651,23346,2105,19906,2208,24232,2465,33670,2729,563,340,67451,3333,31295,2567,13001,1726,6265,1160,4753,1266,3244,663,1549,571,1264,476,1414,509,3909,1068,757,472
0500000US06071,6071,"San Bernardino County, California",2005,383061,8033,301738,7455,10440,1545,27505,3029,42469,3460,44748,3743,43070,3708,29500,3157,23557,3100,26158,3129,52246,4152,2045,981,81323,3896,32574,2379,13411,1583,8040,1469,6982,2028,4423,1014,2825,1468,2522,693,3409,1279,5246,1160,1891,808
0500000US06073,6073,"San Diego County, California",2005,605855,9464,463882,9150,16908,2222,35428,2873,58151,3453,63755,4312,58792,4487,51364,4392,40631,3343,48087,4387,88993,5327,1773,755,141973,4737,62665,3468,28504,2624,13937,1410,7901,1327,6291,1400,4254,978,3732,1661,3842,1008,9459,1537,1388,617
0500000US06075,6075,"San Francisco County, California",2005,122603,4341,85560,3739,3745,944,6220,1343,10056,1568,11192,1541,10495,1909,8611,1323,7708,1495,8391,1226,18993,1830,149,152,37043,2675,16772,1710,6305,1405,4141,982,2683,894,1129,606,498,303,495,275,1251,566,3095,787,674,374
0500000US06077,6077,"San Joaquin County, California",2005,129522,3815,101175,3727,3228,785,8356,1625,12868,1787,14939,1666,13050,1900,10337,1999,8507,1386,10259,1699,19191,2228,440,420,28347,2069,11610,1436,5914,875,4528,966,1762,603,1195,547,547,309,588,272,503,225,1445,538,255,241
0500000US06079,6079,"San Luis Obispo County, California",2005,64077,2752,45652,2747,1572,640,2914,850,5224,962,6238,989,6295,1226,4136,1093,4029,875,4407,1008,10499,2020,338,365,18425,1919,7748,1298,3963,897,1848,592,1003,418,616,299,482,259,491,246,295,226,1765,1158,214,244
0500000US06081,6081,"San Mateo County, California",2005,158672,4079,117527,4386,5871,1475,10385,1523,13258,1522,13916,1768,13487,1553,12989,1872,9808,1456,11576,1469,25853,2709,384,313,41145,2394,18317,1916,8212,1611,4616,977,2718,922,1574,457,995,491,612,353,1087,422,2695,628,319,290
