Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06001,6001,"Alameda County, California",2005,298774,6294,233793,5811,2309,766,3635,802,1350,507,1920,929,6784,1365,57909,4685,159886,5059,64981,3550,1835,530,2884,569,1068,493,1628,639,3973,1135,17008,2017,36585,2710
0500000US06007,6007,"Butte County, California",2005,47434,2224,30634,2022,636,373,798,434,1813,536,3975,839,8202,1500,11368,1386,3842,735,16800,1439,1579,441,1820,592,1546,447,2581,651,4262,908,3356,767,1656,634
0500000US06013,6013,"Contra Costa County, California",2005,256205,5089,203039,5033,1291,561,1812,614,1385,502,2157,653,7684,1535,56222,3753,132488,5037,53166,2614,2360,580,2219,716,1127,438,1276,527,3461,807,14795,2114,27928,2194
0500000US06017,6017,"El Dorado County, California",2005,47998,2135,35737,1876,234,201,169,168,408,253,275,239,2300,599,12298,1390,20053,1459,12261,1554,1172,549,756,344,349,233,259,222,1544,513,4386,969,3795,1060
0500000US06019,6019,"Fresno County, California",2005,157789,4439,115773,4375,1347,497,5381,1396,9378,1457,15403,1932,33584,3311,37660,2588,13020,1871,42016,2940,4231,1044,5450,1438,4566,1170,6360,1482,10297,1253,8017,1530,3095,644
0500000US06023,6023,"Humboldt County, California",2005,29520,1528,17660,1381,293,340,438,190,647,378,1122,379,4753,950,6765,934,3642,844,11860,1154,1766,607,1206,556,529,279,1079,476,2881,698,2951,860,1448,416
0500000US06025,6025,"Imperial County, California",2005,26044,1778,17252,1457,488,361,972,349,2402,605,4263,964,5740,1110,3124,810,263,212,8792,1159,1970,627,1723,608,1208,501,1605,615,1598,564,514,269,174,167
0500000US06029,6029,"Kern County, California",2005,145321,4991,106031,4141,2348,884,8130,1525,16340,2337,15675,1546,30210,2510,25391,2221,7937,1270,39290,2831,6145,1014,7115,1507,6189,1863,5591,1079,6787,1327,5908,1544,1555,579
0500000US06031,6031,"Kings County, California",2005,21101,1317,14741,1504,678,468,1308,561,2213,646,3047,707,4658,880,2523,703,314,175,6360,878,741,456,1165,456,1423,489,1088,484,1150,409,615,294,178,171
0500000US06033,6033,"Lake County, California",2005,19164,1732,11467,1618,310,273,1129,830,1273,744,1265,659,2005,700,4151,1149,1334,598,7697,1367,1915,725,393,326,658,390,348,259,1319,555,1640,771,1424,652
