Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06001,6001,"Alameda County, California",2005,298774,6294,233793,5811,9464,1355,13680,2153,24480,2692,184529,5101,1640,1090,64981,3550,3789,876,3089,720,3552,1144,53978,3246,573,385
0500000US06007,6007,"Butte County, California",2005,47434,2224,30634,2022,2353,788,4463,1145,4762,932,19047,1837,9,15,16800,1439,2480,626,1658,613,1275,480,11244,1339,143,144
0500000US06013,6013,"Contra Costa County, California",2005,256205,5089,203039,5033,6943,1277,10775,1627,21854,2381,162443,4932,1024,410,53166,2614,3863,786,2250,610,3426,884,42989,2317,638,325
0500000US06017,6017,"El Dorado County, California",2005,47998,2135,35737,1876,1138,452,2691,703,4915,1005,26870,1970,123,156,12261,1554,1339,599,395,267,606,306,9866,1384,55,91
0500000US06019,6019,"Fresno County, California",2005,157789,4439,115773,4375,10429,2107,19213,1992,22322,2525,63483,3601,326,277,42016,2940,7297,1442,5231,1028,5974,1445,23118,2219,396,289
0500000US06023,6023,"Humboldt County, California",2005,29520,1528,17660,1381,1350,530,1855,551,2956,783,11455,1232,44,72,11860,1154,2358,657,953,417,1066,487,7458,923,25,44
0500000US06025,6025,"Imperial County, California",2005,26044,1778,17252,1457,3187,897,2900,752,3550,889,7482,1344,133,215,8792,1159,3356,751,1212,511,933,441,3242,670,49,61
0500000US06025,6029,"Kern County, California",2005,145321,4991,106031,4141,17518,2038,19504,1880,18242,2554,50270,3444,497,443,39290,2831,8740,1293,5285,1185,4216,1119,20400,2033,649,419
0500000US06031,6031,"Kings County, California",2005,21101,1317,14741,1504,2783,775,2610,699,2774,716,6554,1221,20,34,6360,878,1523,500,1303,547,1171,487,2328,613,35,58
0500000US06033,6033,"Lake County, California",2005,19164,1732,11467,1618,1189,734,1424,685,1798,891,7056,1515,0,293,7697,1367,2153,742,606,442,613,298,4325,1185,0,293
