Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $20,000:","Margin of Error; With a mortgage: - Less than $20,000:","Estimate; With a mortgage: - Less than $20,000: - Less than 20 percent","Margin of Error; With a mortgage: - Less than $20,000: - Less than 20 percent","Estimate; With a mortgage: - Less than $20,000: - 20 to 29 percent","Margin of Error; With a mortgage: - Less than $20,000: - 20 to 29 percent","Estimate; With a mortgage: - Less than $20,000: - 30 percent or more","Margin of Error; With a mortgage: - Less than $20,000: - 30 percent or more","Estimate; With a mortgage: - $20,000 to $34,999:","Margin of Error; With a mortgage: - $20,000 to $34,999:","Estimate; With a mortgage: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; With a mortgage: - $20,000 to $34,999: - Less than 20 percent","Estimate; With a mortgage: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; With a mortgage: - $20,000 to $34,999: - 20 to 29 percent","Estimate; With a mortgage: - $20,000 to $34,999: - 30 percent or more","Margin of Error; With a mortgage: - $20,000 to $34,999: - 30 percent or more","Estimate; With a mortgage: - $35,000 to $49,999:","Margin of Error; With a mortgage: - $35,000 to $49,999:","Estimate; With a mortgage: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; With a mortgage: - $35,000 to $49,999: - Less than 20 percent","Estimate; With a mortgage: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; With a mortgage: - $35,000 to $49,999: - 20 to 29 percent","Estimate; With a mortgage: - $35,000 to $49,999: - 30 percent or more","Margin of Error; With a mortgage: - $35,000 to $49,999: - 30 percent or more","Estimate; With a mortgage: - $50,000 to $74,999:","Margin of Error; With a mortgage: - $50,000 to $74,999:","Estimate; With a mortgage: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; With a mortgage: - $50,000 to $74,999: - Less than 20 percent","Estimate; With a mortgage: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; With a mortgage: - $50,000 to $74,999: - 20 to 29 percent","Estimate; With a mortgage: - $50,000 to $74,999: - 30 percent or more","Margin of Error; With a mortgage: - $50,000 to $74,999: - 30 percent or more","Estimate; With a mortgage: - $75,000 or more:","Margin of Error; With a mortgage: - $75,000 or more:","Estimate; With a mortgage: - $75,000 or more: - Less than 20 percent","Margin of Error; With a mortgage: - $75,000 or more: - Less than 20 percent","Estimate; With a mortgage: - $75,000 or more: - 20 to 29 percent","Margin of Error; With a mortgage: - $75,000 or more: - 20 to 29 percent","Estimate; With a mortgage: - $75,000 or more: - 30 percent or more","Margin of Error; With a mortgage: - $75,000 or more: - 30 percent or more",Estimate; With a mortgage: - Zero or negative income,Margin of Error; With a mortgage: - Zero or negative income,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $20,000:","Margin of Error; Not mortgaged: - Less than $20,000:","Estimate; Not mortgaged: - Less than $20,000: - Less than 20 percent","Margin of Error; Not mortgaged: - Less than $20,000: - Less than 20 percent","Estimate; Not mortgaged: - Less than $20,000: - 20 to 29 percent","Margin of Error; Not mortgaged: - Less than $20,000: - 20 to 29 percent","Estimate; Not mortgaged: - Less than $20,000: - 30 percent or more","Margin of Error; Not mortgaged: - Less than $20,000: - 30 percent or more","Estimate; Not mortgaged: - $20,000 to $34,999:","Margin of Error; Not mortgaged: - $20,000 to $34,999:","Estimate; Not mortgaged: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; Not mortgaged: - $20,000 to $34,999: - Less than 20 percent","Estimate; Not mortgaged: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; Not mortgaged: - $20,000 to $34,999: - 20 to 29 percent","Estimate; Not mortgaged: - $20,000 to $34,999: - 30 percent or more","Margin of Error; Not mortgaged: - $20,000 to $34,999: - 30 percent or more","Estimate; Not mortgaged: - $35,000 to $49,999:","Margin of Error; Not mortgaged: - $35,000 to $49,999:","Estimate; Not mortgaged: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; Not mortgaged: - $35,000 to $49,999: - Less than 20 percent","Estimate; Not mortgaged: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; Not mortgaged: - $35,000 to $49,999: - 20 to 29 percent","Estimate; Not mortgaged: - $35,000 to $49,999: - 30 percent or more","Margin of Error; Not mortgaged: - $35,000 to $49,999: - 30 percent or more","Estimate; Not mortgaged: - $50,000 to $74,999:","Margin of Error; Not mortgaged: - $50,000 to $74,999:","Estimate; Not mortgaged: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; Not mortgaged: - $50,000 to $74,999: - Less than 20 percent","Estimate; Not mortgaged: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; Not mortgaged: - $50,000 to $74,999: - 20 to 29 percent","Estimate; Not mortgaged: - $50,000 to $74,999: - 30 percent or more","Margin of Error; Not mortgaged: - $50,000 to $74,999: - 30 percent or more","Estimate; Not mortgaged: - $75,000 or more:","Margin of Error; Not mortgaged: - $75,000 or more:","Estimate; Not mortgaged: - $75,000 or more: - Less than 20 percent","Margin of Error; Not mortgaged: - $75,000 or more: - Less than 20 percent","Estimate; Not mortgaged: - $75,000 or more: - 20 to 29 percent","Margin of Error; Not mortgaged: - $75,000 or more: - 20 to 29 percent","Estimate; Not mortgaged: - $75,000 or more: - 30 percent or more","Margin of Error; Not mortgaged: - $75,000 or more: - 30 percent or more",Estimate; Not mortgaged: - Zero or negative income,Margin of Error; Not mortgaged: - Zero or negative income
0500000US06001,6001,"Alameda County, California",2005,298774,6294,233793,5811,11943,2024,0,293,45,74,11898,2011,13701,2146,154,146,623,478,12924,2167,22311,3074,854,379,2899,937,18558,2999,37796,3314,2150,612,6343,1365,29303,2575,146402,5746,53407,3900,50025,3764,42970,3274,1640,1090,64981,3550,11035,1460,2415,563,2460,684,6160,1130,11506,1440,6054,1042,3662,910,1790,649,9314,1532,8171,1386,894,453,249,186,9918,1521,9411,1434,459,340,48,78,22635,2123,22306,2102,329,245,0,293,573,385
0500000US06007,6007,"Butte County, California",2005,47434,2224,30634,2022,2289,648,0,293,0,293,2289,648,3765,910,343,347,280,214,3142,798,3877,972,526,349,1279,424,2072,701,8099,1069,1893,558,3268,754,2938,607,12595,1542,7165,1052,3262,872,2168,954,9,15,16800,1439,4610,867,1506,413,649,346,2455,651,4124,855,3103,673,659,386,362,269,2465,580,2365,564,100,123,0,293,2422,734,2159,693,38,64,225,376,3036,798,3036,798,0,293,0,293,143,144
0500000US06013,6013,"Contra Costa County, California",2005,256205,5089,203039,5033,5439,1079,0,293,143,172,5296,1062,14215,1870,674,312,548,321,12993,1821,14090,1763,701,330,1134,413,12255,1745,37674,3103,2553,771,7911,1444,27210,2539,130597,4314,40801,3157,47565,3276,42231,3469,1024,410,53166,2614,9308,1570,2042,617,1888,620,5378,1303,9897,1633,5166,1397,2652,925,2079,746,6601,960,5314,885,1180,463,107,127,10021,1475,9409,1460,512,388,100,118,16701,1545,16573,1564,128,152,0,293,638,325
0500000US06017,6017,"El Dorado County, California",2005,47998,2135,35737,1876,1470,648,0,293,55,93,1415,626,2016,642,50,81,0,293,1966,640,3456,871,111,124,305,263,3040,869,7828,1233,945,464,2026,623,4857,1049,20844,1673,9325,1367,6822,914,4697,862,123,156,12261,1554,2793,1092,641,541,320,209,1832,774,2287,567,1445,545,468,271,374,250,1678,603,1217,503,284,212,177,241,2973,932,2917,929,56,91,0,293,2475,1104,2475,1104,0,293,0,293,55,91
0500000US06019,6019,"Fresno County, California",2005,157789,4439,115773,4375,8939,1244,48,79,349,305,8542,1226,16195,2053,558,384,2428,568,13209,2136,16227,2129,1291,541,5725,1484,9211,1334,26867,2882,7810,1676,10022,1874,9035,1370,47219,3053,27209,2753,15107,1842,4903,1085,326,277,42016,2940,11055,1660,3136,850,2252,572,5667,1446,8947,1671,6538,1521,1784,605,625,346,5225,939,4786,910,439,278,0,293,6268,1147,6225,1142,43,71,0,293,10125,1411,10125,1411,0,293,0,293,396,289
0500000US06023,6023,"Humboldt County, California",2005,29520,1528,17660,1381,1097,452,0,293,20,33,1077,453,2876,682,63,82,459,309,2354,663,2423,707,266,229,1145,493,1012,468,3577,768,779,380,1297,517,1501,520,7643,1038,4472,887,2488,679,683,252,44,72,11860,1154,3509,787,1262,570,956,419,1291,443,2996,698,2429,586,556,296,11,19,1621,590,1591,569,30,50,0,293,1812,543,1812,543,0,293,0,293,1897,543,1897,543,0,293,0,293,25,44
0500000US06025,6025,"Imperial County, California",2005,26044,1778,17252,1457,1544,627,0,293,0,293,1544,627,2448,621,157,156,213,179,2078,601,2566,832,206,172,344,204,2016,775,4965,1117,1189,578,2582,847,1194,578,5596,1173,3379,926,1685,662,532,419,133,215,8792,1159,2302,647,1045,480,733,371,524,330,2115,754,1742,681,222,194,151,182,1405,446,1405,446,0,293,0,293,1201,506,1201,506,0,293,0,293,1720,530,1720,530,0,293,0,293,49,61
0500000US06029,6029,"Kern County, California",2005,145321,4991,106031,4141,9749,1424,71,123,224,179,9454,1419,15174,2227,399,305,2274,730,12501,2100,16287,2028,1363,482,7122,1345,7802,1592,23150,2673,6320,1180,9122,1745,7708,1396,41174,2677,26140,2398,11020,1352,4014,1005,497,443,39290,2831,10090,1560,2993,687,2853,1429,4244,859,11776,2200,8241,1800,2870,1445,665,358,6301,1459,6046,1407,255,328,0,293,4505,790,4505,790,0,293,0,293,5969,1093,5969,1093,0,293,0,293,649,419
0500000US06031,6031,"Kings County, California",2005,21101,1317,14741,1504,936,490,0,293,0,293,936,490,2602,782,175,228,707,365,1720,637,2802,979,267,250,1072,590,1463,641,3266,873,785,390,1211,594,1270,592,5115,1058,2745,754,1988,652,382,208,20,34,6360,878,1079,453,303,273,214,173,562,363,1602,578,1107,446,458,345,37,66,1280,473,1208,443,72,121,0,293,740,292,740,292,0,293,0,293,1624,527,1624,527,0,293,0,293,35,58
0500000US06033,6033,"Lake County, California",2005,19164,1732,11467,1618,1509,721,0,293,0,293,1509,721,1489,891,79,132,202,343,1208,770,2017,847,139,228,492,474,1386,684,2822,927,689,382,974,645,1159,637,3630,1054,1608,731,1837,937,185,227,0,293,7697,1367,2648,919,1245,647,554,550,849,478,2253,691,1548,599,621,415,84,134,947,539,775,498,0,293,172,264,875,472,875,472,0,293,0,293,974,466,974,466,0,293,0,293,0,293
0500000US06037,6037,"Los Angeles County, California",2005,1562853,17727,1208550,16837,69197,4518,0,293,288,234,68909,4533,115535,6585,2178,1110,4883,1004,108474,6335,135060,6332,5624,1828,15361,2100,114075,5866,247853,8653,24409,2798,63254,4035,160190,7567,634193,12236,258477,8175,221956,8011,153760,6244,6712,1658,354303,8676,72819,4745,16692,2012,16186,1860,39941,3723,70091,3931,45864,2917,14774,1909,9453,1806,51135,3311,45196,3231,4895,1033,1044,504,62501,4063,58723,3682,3002,1132,776,435,93423,4599,92507,4528,428,289,488,454,4334,1416
