Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Less than $100,Margin of Error; Less than $100,Estimate; $100 to $199,Margin of Error; $100 to $199,Estimate; $200 to $299,Margin of Error; $200 to $299,Estimate; $300 to $399,Margin of Error; $300 to $399,Estimate; $400 to $499,Margin of Error; $400 to $499,Estimate; $500 to $599,Margin of Error; $500 to $599,Estimate; $600 to $699,Margin of Error; $600 to $699,Estimate; $700 to $799,Margin of Error; $700 to $799,Estimate; $800 to $899,Margin of Error; $800 to $899,Estimate; $900 to $999,Margin of Error; $900 to $999,"Estimate; $1,000 to $1,499","Margin of Error; $1,000 to $1,499","Estimate; $1,500 to $1,999","Margin of Error; $1,500 to $1,999","Estimate; $2,000 or more","Margin of Error; $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06001,6001,"Alameda County, California",2005,521380,3520,1373,512,4963,1138,18911,1947,18055,1957,19876,2259,16116,2269,18595,2865,19231,2712,29027,3435,27385,2911,118320,4735,72013,4185,150615,5644,6900,1569
0500000US06007,6007,"Butte County, California",2005,83063,2232,353,228,3356,1314,5573,988,5379,1045,6488,1101,4661,1083,7081,1223,7492,1492,6023,1136,5614,1417,15727,1718,8292,1366,5335,1003,1689,691
0500000US06013,6013,"Contra Costa County, California",2005,362102,3086,1080,504,4860,1176,11132,1942,13249,2007,11108,1324,9797,1613,9214,1378,10083,1528,13944,2165,15859,2250,67594,3743,57264,4244,133179,4088,3739,1332
0500000US06017,6017,"El Dorado County, California",2005,64912,1675,495,485,629,372,2492,999,3534,890,2702,704,3434,1017,2377,1201,2015,745,2191,666,3304,1092,12367,1834,11334,1706,17480,1551,558,422
0500000US06019,6019,"Fresno County, California",2005,274129,2627,1283,531,5831,1193,16353,2088,16008,2051,17772,1945,20670,2442,25957,3190,24609,3319,19032,2305,18446,2616,51142,3454,28290,3252,22172,2307,6564,1448
0500000US06023,6023,"Humboldt County, California",2005,52019,1113,743,461,2465,627,3977,725,3924,924,4459,889,5737,1270,4343,752,4642,1258,2255,739,2895,782,9028,1363,3305,800,3247,698,999,416
0500000US06025,6025,"Imperial County, California",2005,44987,1105,813,454,1736,610,3876,941,3990,1018,3489,862,4189,1129,3493,1097,3245,981,2496,801,2106,665,8943,1129,3956,920,1589,598,1066,523
0500000US06029,6029,"Kern County, California",2005,231566,3346,1588,587,6094,1233,12391,2174,16797,2539,17157,2364,20875,3012,18187,2318,17677,2468,16202,2322,14753,2149,47071,3144,20932,2226,16185,1724,5657,1262
0500000US06031,6031,"Kings County, California",2005,37878,919,212,233,1053,509,2394,724,2749,682,2671,855,2992,845,3564,873,3101,804,2991,869,1852,782,6910,1135,2911,704,2291,683,2187,688
0500000US06033,6033,"Lake County, California",2005,25760,1164,706,533,877,421,1912,717,2041,813,1614,831,2436,934,2012,839,2142,946,684,391,1335,742,5524,1409,2349,891,1527,675,601,430
0500000US06037,6037,"Los Angeles County, California",2005,3184396,8882,9620,1900,44054,3197,117021,5042,100889,5059,114133,6249,150214,7285,181353,8341,210837,8947,233346,10078,212726,9526,703033,16468,437413,10216,627252,10500,42505,3514
0500000US06039,6039,"Madera County, California",2005,41337,1367,108,134,1248,527,2572,657,1692,637,3481,1092,2859,915,5041,1199,2605,815,2667,879,2813,915,7186,1255,3359,850,4508,1041,1198,608
0500000US06041,6041,"Marin County, California",2005,102393,1198,445,340,702,392,1899,759,3433,924,3982,1002,2560,855,2330,1023,2141,633,3205,1354,3332,970,17521,1932,15579,2227,44085,2439,1179,586
0500000US06045,6045,"Mendocino County, California",2005,34297,1015,530,317,2090,735,2356,619,1842,581,2253,679,1851,625,2240,850,2962,1111,1913,870,1657,580,6465,1297,3174,816,3621,923,1343,660
0500000US06047,6047,"Merced County, California",2005,71613,1242,0,293,2050,728,4674,1018,3730,981,5519,1263,5627,1186,4290,999,4821,1048,3877,862,4556,990,16124,1901,6678,1158,7140,973,2527,824
0500000US06053,6053,"Monterey County, California",2005,123630,2044,440,282,2893,832,5162,1104,4967,1193,4634,998,3655,978,5129,1335,6052,1549,7086,1224,7470,1635,24707,2329,17881,2352,31097,2459,2457,812
0500000US06055,6055,"Napa County, California",2005,48202,932,0,293,372,235,1629,574,1920,579,1793,626,2520,783,2505,789,2176,889,1578,669,3927,1159,8193,1503,6200,1205,14988,1389,401,271
0500000US06057,6057,"Nevada County, California",2005,39402,1354,75,126,1443,594,1812,588,2191,674,1751,646,1561,573,2499,869,1757,747,1806,705,1743,810,9460,1596,4889,1114,8092,1380,323,205
0500000US06059,6059,"Orange County, California",2005,969916,4402,2762,600,11193,1471,33133,2176,29325,2430,24541,2423,21347,2173,22737,2419,25040,2955,34941,3727,46019,3465,242797,8492,169599,7872,295175,7269,11307,1997
0500000US06061,6061,"Placer County, California",2005,119221,2303,214,183,1184,693,3576,928,3792,844,4093,782,4324,897,5402,1298,4444,1124,5928,1505,6220,1573,23032,2028,19704,2262,36225,2875,1083,412
0500000US06065,6065,"Riverside County, California",2005,623711,4668,4130,1315,13433,1684,25636,2478,24503,2255,24848,3139,24413,2273,30086,3268,29780,3163,37135,4019,32607,2780,134914,4881,97713,5104,136076,6448,8437,1870
