County,Affordability,Income,Median House Price,Median Rent
Alameda,0.23,64510.00,808844.00,3630.00
Contra Costa,0.21,96693.00,846572.00,4556.00
Fresno,0.51,38802.00,652128.00,2363.00
Kings,0.62,52535.00,551146.00,2048.00
Marin,0.19,90978.00,635555.00,3884.00
Merced,0.60,24143.00,649650.00,2401.00
Monterey,0.29,83724.00,418253.00,3736.00
Napa,0.34,55989.00,479178.00,4046.00
Sacramento,0.49,80964.00,698818.00,3534.00
San Francisco,0.12,67125.00,730830.00,4489.00
San Joaquin,0.39,61697.00,538268.00,3012.00
San Mateo,0.14,83170.00,667088.00,5423.00
Santa Clara,0.22,48668.00,441807.00,4352.00
Santa Cruz,0.22,84162.00,910161.00,4796.00
Solano,0.48,27924.00,314340.00,2582.00
Sonoma,0.31,61132.00,755535.00,3395.00
Stanislaus,0.43,63911.00,790859.00,3971.00
