GroupID,VariableID,VariableName,LogicalCategory,VariableDescription,FormatString
B19081,Quintile Means: - Lowest Quintile,Lowest Quintile Income,Income,The mean household income ($) of the lowest quintile (lowest 20%),.0g
B19081,Quintile Means: - Second Quintile,Second Quintile Income,Income,The mean household income ($) of the second quintile (20-40%),.0g
B19081,Quintile Means: - Third Quintile,Third Quintile Income,Income,The mean household income ($) of the third quintile ((40-60%),.0g
B19081,Quintile Means: - Fourth Quintile,Fourth Quintile Income,Income,The mean household income ($) of the fourth quintile (60-80%),.0g
B19081,Quintile Means: - Highest Quintile,Highest Quintile Income,Income,The mean household income ($) of the highest quintile (80-100%),.0g
B19081,Top 5 Percent,Top 5 Percent Income,Income,The mean household income ($) of the top 5 %,.0g
B07001_percent,Same house 1 year ago:,Same House as 1 Year Ago,Mobility,Percentage of residents living the same house as one year ago,.0g
B07001_percent,Moved within same county:,Moved Within Same County,Mobility,Percentage of residents who moved within the county in the past year,.0g
B07001_percent,Moved from different county within same state:,Moved From a Different County Within California,Mobility,Percentage of residents who moved from a different California county in the past year,.0g
B07001_percent,Moved from different state:,Moved From Out of State,Mobility,Percentage of residents who moved from out of state in the past year,.0g
B07007_percent,Native,Native,Demographic,Percentage of residents that are native to the United States,.0g
B07007_percent,Foreign born:,Foreign Born,Demographic,Percentage of residents who are foreign born,.0g
B07007_percent,Foreign born: - Naturalized U.S. citizen,Foreing Born Naturalized,Demographic,Percentage of residents who are foreign born and naturalized,.0g
B07007_percent,Foreign born: - Not a U.S. citizen,Foreign Born Not a US Citizen,Demographic,Percentage of residents who are foreign born and are not US citizens,.0g
B07009_percent,Less than high school graduate,Education Less than High School,Demographic,Percentage of residents with an education below high school level,.0g
B07009_percent,High school graduate (includes equivalency),High School Graduate (or Equivalency),Demographic,Percentage of residents with just a High School diploma,.0g
B07009_percent,Some college or associate's degree,Some College or Associate's Degree,Demographic,Percentage of residents with just some college education,.0g
B07009_percent,Bachelor's degree,Bachelor's Degree,Demographic,Percentage of residents with just a Bachelor's degree,.0g
B07009_percent,Graduate or professional degree,Graduate or Professional Degree,Demographic,Percentage of residents with a graduate or professional degree,.0g
B07010_percent,No income,No Income,Income,Percentage of residents with no income,.0g
B08130_percent,Worked in state of residence: - Worked outside county of residence,Worked Outside of County of Residence,Mobility,Percentage of residents who work outside  the county,.0g
B08130_percent,"Car, truck, or van - drove alone:",Drove to Work Alone,Mobility,Percentage of residents who commute by car alone (no carpool),.0g
B08130_percent,"Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence",Worked Outside of County of Residence and Drove to Work Alone,Mobility,Percentage of residents who work outside the county and commute by car alone (no carpool),.0g
B08130_percent,"Car, truck, or van - carpooled:",Carpooled,Mobility,Percentage of residents who carpool,.0g
B08130_percent,"Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence",Worked Outside of County of Residence and Carpooled,Mobility,Percentage of residents who worked outside the count and carpooled,.0g
B08130_percent,Public transportation (excluding taxicab):,Public Transportation,Mobility,Percentage of residents who took public transportation,.0g
B08130_percent,Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Worked Outisde of County and Took Public Transportation,Mobility,Percentage of residents who worked outside the county and took public transportation,.0g
B08130_percent,Walked:,Walked to Work,Mobility,Percentage of residents who walked to work,.0g
B08130_percent,Worked at home,Worked at Home,Mobility,Percentage of residents who worked at home,.0g
B19013,Median household income in the past 12 months,Median Income,Income,Median household income ($) in the past 12 months,.0g
B19083,Gini Index,Gini Index,Income,"The Gini Index is a measure of statistical dispersion intended to represent the income distribution of a nation's residents, and is the most commonly used measure of inequality. Zero indicates perfect equality and one indicates perfect inequality (one person has all the income).",.0g
