GroupID,GroupName,VariableID,VariableName,VariableDescription
CARS,California Association of Realtors,Affordability,CARS Affordability Index,C.A.R.'s Traditional Housing Affordability Index (HAI) measures the percentage of households that can afford to purchase the median priced home in the state and regions of California based on traditional assumptions. C.A.R. also reports its traditional and first-time buyer indexes for regions and select counties within the state. The HAI is the most fundamental measure of housing well-being for buyers in the state.
B19001,Houshold Income,Estimate; Total:,Estimate; Total:,The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $10,000 to $14,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $100,000 to $124,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $125,000 to $149,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $15,000 to $19,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $150,000 to $199,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $20,000 to $24,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $200,000 or more","Estimate; Total: - $200,000 or more",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $25,000 to $29,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $30,000 to $34,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $35,000 to $39,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $40,000 to $44,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $45,000 to $49,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $50,000 to $59,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $60,000 to $74,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $75,000 to $99,999",The count of house holds in each income bracket.
B19001,Houshold Income,"Estimate; Total: - Less than $10,000","Estimate; Total: - Less than $10,000",The count of house holds in each income bracket.
B19083,Gini Index,Estimate; Gini Index,Estimate; Gini Index,"The Gini Index is a measure of statistical dispersion intended to represent the income distribution of a nation's residents, and is the most commonly used measure of inequality. Zero indicates perfect equality and one indicates perfect inequality (one person has all the income)."
B25001,Housing Units,Estimate; Total,Estimate; Total,The count of housing units in specified geo location
B25001,Housing Units,Estimate; Total - Margin of Error; Total,Estimate; Total - Margin of Error; Total,The margin of Error
B25009,Pop in Occupied Housing by Tenure,Estimate; Total:,Estimate; Total:,The count of all occupied housing
B25009,Pop in Occupied Housing by Tenure,Margin of Error; Total:,Margin of Error; Total:,The margin of Error
B25009,Pop in Occupied Housing by Tenure,Estimate; Owner occupied,Estimate; Owner occupied,The count of houses that are owner occupied
B25009,Pop in Occupied Housing by Tenure,Margin of Error; Owner occupied,Margin of Error; Owner occupied,Margin of Error - The count of houses that are owner occupied
B25009,Pop in Occupied Housing by Tenure,Estimate; Renter occupied,Estimate; Renter occupied,The count of houses that are renter occupied
B25009,Pop in Occupied Housing by Tenure,Margin of Error; Renter occupied,Margin of Error; Renter occupied,Margin of Error - The count of houses that are renter occupied
B25056,Contract Rent,Estimate; Total:,Estimate; Total:,The count of contract rent sample
B25056,Contract Rent,Margin of Error; Total:,Margin of Error; Total:,The margin of Error
B25056,Contract Rent,Estimate; With cash rent:,Estimate; With cash rent:,The count of contract rent with cash rent
B25056,Contract Rent,Margin of Error; With cash rent:,Margin of Error; With cash rent:,Margin of Error - The count of contract rent with cash rent
B25056,Contract Rent,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - Less than $100,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $100 to $149,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $150 to $199,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $200 to $249,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $250 to $299,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $300 to $349,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $350 to $399,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $400 to $449,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $450 to $499,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $500 to $549,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $550 to $599,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $600 to $649,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $650 to $699,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $700 to $749,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $750 to $799,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $800 to $899,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; With cash rent: - $900 to $999,Estimate; With cash rent: - $900 to $999,The count of contract rent in rent bracket
B25056,Contract Rent,Margin of Error; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,000 to $1,249",The count of contract rent in rent bracket
B25056,Contract Rent,"Margin of Error; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249",Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,"Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,250 to $1,499",The count of contract rent in rent bracket
B25056,Contract Rent,"Margin of Error; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499",Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,"Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $1,500 to $1,999",The count of contract rent in rent bracket
B25056,Contract Rent,"Margin of Error; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999",Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,"Estimate; With cash rent: - $2,000 or more","Estimate; With cash rent: - $2,000 or more",The count of contract rent in rent bracket
B25056,Contract Rent,"Margin of Error; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Margin of Error - The count of contract rent in rent bracket
B25056,Contract Rent,Estimate; No cash rent,Estimate; No cash rent,The count of contract rent with no cash rent
B25056,Contract Rent,Margin of Error; No cash rent,Margin of Error; No cash rent,Margin of Error - The count of contract rent with no cash rent
B25058,Median Contract Rent,Estimate; Median contract rent,Estimate; Median contract rent,The median of contract rent in dollars
