GeoID,Date,1 to 4 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Same house 1 year ago:,Same house 1 year ago: - 1 to 4 years,Same house 1 year ago: - 5 to 9 years,Same house 1 year ago: - 10 to 14 years,Same house 1 year ago: - 15 to 17 years,Same house 1 year ago: - 18 and 19 years,Same house 1 year ago: - 20 to 24 years,Same house 1 year ago: - 25 to 29 years,Same house 1 year ago: - 30 to 34 years,Same house 1 year ago: - 35 to 39 years,Same house 1 year ago: - 40 to 44 years,Same house 1 year ago: - 45 to 49 years,Same house 1 year ago: - 50 to 54 years,Same house 1 year ago: - 55 to 59 years,Same house 1 year ago: - 60 and 61 years,Same house 1 year ago: - 62 to 64 years,Same house 1 year ago: - 65 to 69 years,Same house 1 year ago: - 70 to 74 years,Same house 1 year ago: - 75 to 79 years,Same house 1 year ago: - 80 to 84 years,Same house 1 year ago: - 85 years and over,Moved within same county:,Moved within same county: - 1 to 4 years,Moved within same county: - 5 to 9 years,Moved within same county: - 10 to 14 years,Moved within same county: - 15 to 17 years,Moved within same county: - 18 and 19 years,Moved within same county: - 20 to 24 years,Moved within same county: - 25 to 29 years,Moved within same county: - 30 to 34 years,Moved within same county: - 35 to 39 years,Moved within same county: - 40 to 44 years,Moved within same county: - 45 to 49 years,Moved within same county: - 50 to 54 years,Moved within same county: - 55 to 59 years,Moved within same county: - 60 and 61 years,Moved within same county: - 62 to 64 years,Moved within same county: - 65 to 69 years,Moved within same county: - 70 to 74 years,Moved within same county: - 75 to 79 years,Moved within same county: - 80 to 84 years,Moved within same county: - 85 years and over,Moved from different county within same state:,Moved from different county within same state: - 1 to 4 years,Moved from different county within same state: - 5 to 9 years,Moved from different county within same state: - 10 to 14 years,Moved from different county within same state: - 15 to 17 years,Moved from different county within same state: - 18 and 19 years,Moved from different county within same state: - 20 to 24 years,Moved from different county within same state: - 25 to 29 years,Moved from different county within same state: - 30 to 34 years,Moved from different county within same state: - 35 to 39 years,Moved from different county within same state: - 40 to 44 years,Moved from different county within same state: - 45 to 49 years,Moved from different county within same state: - 50 to 54 years,Moved from different county within same state: - 55 to 59 years,Moved from different county within same state: - 60 and 61 years,Moved from different county within same state: - 62 to 64 years,Moved from different county within same state: - 65 to 69 years,Moved from different county within same state: - 70 to 74 years,Moved from different county within same state: - 75 to 79 years,Moved from different county within same state: - 80 to 84 years,Moved from different county within same state: - 85 years and over,Moved from different state:,Moved from different state: - 1 to 4 years,Moved from different state: - 5 to 9 years,Moved from different state: - 10 to 14 years,Moved from different state: - 15 to 17 years,Moved from different state: - 18 and 19 years,Moved from different state: - 20 to 24 years,Moved from different state: - 25 to 29 years,Moved from different state: - 30 to 34 years,Moved from different state: - 35 to 39 years,Moved from different state: - 40 to 44 years,Moved from different state: - 45 to 49 years,Moved from different state: - 50 to 54 years,Moved from different state: - 55 to 59 years,Moved from different state: - 60 and 61 years,Moved from different state: - 62 to 64 years,Moved from different state: - 65 to 69 years,Moved from different state: - 70 to 74 years,Moved from different state: - 75 to 79 years,Moved from different state: - 80 to 84 years,Moved from different state: - 85 years and over,Moved from abroad:,Moved from abroad: - 1 to 4 years,Moved from abroad: - 5 to 9 years,Moved from abroad: - 10 to 14 years,Moved from abroad: - 15 to 17 years,Moved from abroad: - 18 and 19 years,Moved from abroad: - 20 to 24 years,Moved from abroad: - 25 to 29 years,Moved from abroad: - 30 to 34 years,Moved from abroad: - 35 to 39 years,Moved from abroad: - 40 to 44 years,Moved from abroad: - 45 to 49 years,Moved from abroad: - 50 to 54 years,Moved from abroad: - 55 to 59 years,Moved from abroad: - 60 and 61 years,Moved from abroad: - 62 to 64 years,Moved from abroad: - 65 to 69 years,Moved from abroad: - 70 to 74 years,Moved from abroad: - 75 to 79 years,Moved from abroad: - 80 to 84 years,Moved from abroad: - 85 years and over
6001,12/31/06,0.059,0.1743,0.0267,0.0665,0.0632,0.0764,0.0812,0.0847,0.081,0.0721,0.062,0.045,0.0287,0.0264,0.0528,0.8283,0.0461,0.1508,0.0168,0.0412,0.0413,0.0575,0.0656,0.0714,0.0715,0.0652,0.0575,0.0419,0.0268,0.0255,0.0492,0.1046,0.0085,0.0172,0.0034,0.016,0.0122,0.0101,0.0098,0.0097,0.0061,0.0043,0.0022,0.0011,0.0008,0.0006,0.0025,0.0402,0.0023,0.003,0.005,0.0054,0.0056,0.0052,0.0032,0.0021,0.0018,0.0022,0.0017,0.0011,0.0006,0.0002,0.0005,0.0149,0.0014,0.0016,0.0006,0.0019,0.0025,0.0022,0.0016,0.0009,0.0008,0.0003,0.0003,0.0002,0.0001,0,0.0005,0.0121,0.0007,0.0017,0.0009,0.0019,0.0017,0.0014,0.0009,0.0005,0.0008,0.0001,0.0003,0.0007,0.0004,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,12/31/06,0.0426,0.1616,0.0485,0.112,0.0746,0.058,0.0548,0.0618,0.0667,0.0659,0.0616,0.0411,0.0365,0.0325,0.082,0.7583,0.0299,0.1255,0.0211,0.0564,0.0455,0.0418,0.041,0.046,0.0579,0.0561,0.0569,0.0383,0.0349,0.0291,0.0778,0.1559,0.0092,0.0249,0.0119,0.0393,0.0202,0.0097,0.0058,0.0091,0.0067,0.0089,0.0026,0.0014,0.0007,0.0023,0.0033,0.0666,0.0015,0.0094,0.0153,0.0098,0.0067,0.0047,0.0072,0.0062,0.0018,0.0006,0.0017,0.0011,0,0.0004,0.0002,0.0163,0.0016,0.0019,0.0003,0.0046,0.0016,0.0018,0.0009,0.0005,0.0003,0.0002,0.0004,0.0002,0.0008,0.0006,0.0007,0.0029,0.0004,0,0,0.0019,0.0006,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6013,12/31/06,0.0523,0.1871,0.0263,0.0654,0.0622,0.0632,0.0736,0.0797,0.0828,0.0748,0.0657,0.05,0.0334,0.0271,0.0565,0.8412,0.041,0.1652,0.0208,0.0443,0.0385,0.0461,0.059,0.0702,0.0737,0.0678,0.0601,0.046,0.0306,0.0255,0.0524,0.0992,0.0072,0.0151,0.0035,0.0137,0.0153,0.009,0.0083,0.0061,0.006,0.0049,0.0039,0.0024,0.0013,0.0009,0.0018,0.0397,0.0029,0.0046,0.0011,0.0044,0.0051,0.0058,0.0048,0.0021,0.0021,0.0018,0.001,0.0009,0.0007,0.0006,0.0018,0.0098,0.0007,0.0011,0.0006,0.0018,0.0008,0.0012,0.0006,0.0008,0.0004,0.0003,0.0005,0.0002,0.0001,0.0001,0.0005,0.0102,0.0005,0.0012,0.0003,0.0013,0.0024,0.0011,0.0008,0.0005,0.0006,0.0001,0.0003,0.0005,0.0006,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017,12/31/06,0.0412,0.1707,0.0321,0.0723,0.0675,0.0577,0.0575,0.0819,0.0946,0.0838,0.0742,0.0514,0.0322,0.0315,0.0514,0.8343,0.0315,0.154,0.0247,0.0407,0.0436,0.0413,0.0502,0.0713,0.0847,0.0762,0.066,0.0462,0.0303,0.0283,0.0455,0.0785,0.0075,0.0132,0.0074,0.0104,0.0065,0.0077,0.0022,0.007,0.0063,0.0037,0.0025,0.001,0,0.0009,0.0023,0.0474,0.0017,0.0012,0,0.0101,0.0082,0.0032,0.0026,0.0037,0.0025,0.0012,0.0054,0.0023,0.0002,0.0023,0.0028,0.0322,0.0005,0.0016,0,0.0106,0.0087,0.0022,0.0022,0,0.0011,0.0027,0,0.0016,0,0,0.0009,0.0076,0,0.0007,0,0.0005,0.0006,0.0033,0.0003,0,0,0,0.0002,0.0002,0.0016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6019,12/31/06,0.0702,0.219,0.0336,0.0854,0.0822,0.0679,0.0652,0.0706,0.0655,0.0582,0.045,0.0388,0.0265,0.0232,0.0485,0.8226,0.055,0.1848,0.0253,0.0597,0.0572,0.0515,0.056,0.0592,0.0567,0.0509,0.0416,0.0354,0.0239,0.0208,0.0445,0.1374,0.0138,0.0294,0.0045,0.0188,0.02,0.0131,0.0065,0.0083,0.0065,0.006,0.0026,0.0025,0.0016,0.002,0.002,0.026,0.0004,0.0035,0.0029,0.0047,0.0029,0.0021,0.002,0.0021,0.0015,0.0009,0.0005,0.0006,0.0005,0.0003,0.0011,0.0085,0.0009,0.0005,0.0006,0.0013,0.0015,0.0008,0.0004,0.0007,0.0002,0.0002,0.0002,0.0003,0.0001,0,0.0008,0.0055,0.0002,0.0009,0.0003,0.0009,0.0007,0.0004,0.0003,0.0003,0.0006,0.0002,0.0001,0.0001,0.0004,0.0001,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6023,12/31/06,0.0439,0.1521,0.0366,0.1009,0.0884,0.0534,0.0673,0.0628,0.0717,0.0803,0.0646,0.0512,0.0342,0.0297,0.063,0.8028,0.0354,0.1273,0.0242,0.0572,0.0541,0.0423,0.0527,0.0517,0.061,0.0761,0.0591,0.0446,0.0313,0.0276,0.0582,0.1334,0.0066,0.0196,0.0035,0.0336,0.0232,0.0066,0.009,0.0063,0.0085,0.0033,0.0038,0.0046,0.0014,0.0012,0.0022,0.0479,0.0012,0.004,0.0088,0.0073,0.0079,0.0035,0.0036,0.0041,0.0012,0.001,0.0012,0.0016,0.0015,0.0009,0.0001,0.0142,0.0007,0.0011,0,0.0014,0.003,0.0009,0.002,0.0006,0.0011,0,0.0005,0.0004,0,0,0.0025,0.0016,0,0.0001,0,0.0013,0.0001,0,0,0.0001,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025,12/31/06,0.0827,0.206,0.0363,0.0907,0.0716,0.0707,0.0682,0.077,0.0632,0.0553,0.0465,0.0289,0.0255,0.0255,0.0519,0.8599,0.0664,0.1877,0.032,0.067,0.052,0.0503,0.0564,0.0688,0.0583,0.0527,0.0442,0.0262,0.0251,0.0237,0.0492,0.0716,0.0055,0.0103,0.0024,0.015,0.0102,0.0111,0.0044,0.0034,0.0024,0.0011,0.0015,0.0018,0.0004,0,0.002,0.0478,0.0094,0.0046,0.001,0.0063,0.0062,0.0071,0.0071,0.002,0.0021,0.0005,0.0008,0.0005,0,0.0002,0,0.0085,0.0004,0.0005,0.0005,0.0007,0.0011,0.002,0.0002,0.0014,0,0,0,0.0004,0,0.0008,0.0004,0.0122,0.001,0.0029,0.0004,0.0017,0.0021,0.0003,0,0.0014,0.0005,0.0009,0,0,0,0.0008,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6029,12/31/06,0.0677,0.2164,0.0316,0.0856,0.0898,0.0746,0.0719,0.07,0.0687,0.0563,0.0448,0.0336,0.026,0.0227,0.0403,0.7932,0.0503,0.1778,0.0216,0.0571,0.0616,0.0535,0.0541,0.0571,0.0573,0.05,0.0406,0.0299,0.0243,0.0205,0.0373,0.1293,0.0133,0.0287,0.0062,0.0174,0.0168,0.0126,0.0103,0.0065,0.0062,0.0036,0.0017,0.0023,0.0009,0.0015,0.0013,0.057,0.0027,0.0074,0.0026,0.0078,0.0083,0.0068,0.0064,0.005,0.0033,0.0017,0.002,0.001,0.0007,0.0003,0.001,0.0166,0.0013,0.0019,0.0007,0.0026,0.0027,0.0015,0.001,0.001,0.0018,0.001,0.0004,0.0004,0,0.0001,0.0004,0.0039,0.0001,0.0006,0.0003,0.0008,0.0004,0.0002,0.0001,0.0005,0.0001,0,0.0001,0,0.0001,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6031,12/31/06,0.0682,0.1962,0.0299,0.0985,0.1031,0.0834,0.0788,0.087,0.068,0.0468,0.0364,0.0291,0.0277,0.0148,0.032,0.7728,0.045,0.1697,0.0187,0.0531,0.0693,0.0604,0.065,0.0666,0.0572,0.0406,0.0319,0.0266,0.0252,0.0142,0.0294,0.0814,0.0118,0.0122,0.0024,0.0165,0.0093,0.0077,0.0058,0.0034,0.0055,0.0012,0.0016,0.0014,0.0017,0.0002,0.0007,0.1012,0.0074,0.0112,0.0078,0.0147,0.0149,0.0141,0.0052,0.0125,0.0047,0.005,0.0029,0.0005,0,0.0001,0.0001,0.034,0.0025,0.0014,0.001,0.0107,0.0094,0.0007,0.0026,0.0027,0.0007,0,0,0,0.0008,0,0.0017,0.0106,0.0015,0.0018,0,0.0035,0.0003,0.0005,0.0001,0.0018,0,0,0,0.0006,0,0.0003,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6037,12/31/06,0.0607,0.1978,0.0306,0.0738,0.0705,0.075,0.08,0.0782,0.0738,0.064,0.0533,0.0389,0.0296,0.0239,0.0499,0.8696,0.0511,0.1763,0.0245,0.0568,0.054,0.0608,0.0684,0.0694,0.0666,0.0589,0.0494,0.0364,0.0279,0.0224,0.0466,0.1009,0.0079,0.0183,0.0037,0.0116,0.0122,0.0108,0.0093,0.0071,0.0058,0.0042,0.003,0.0021,0.0012,0.0011,0.0026,0.0112,0.0006,0.0011,0.0011,0.0021,0.0016,0.001,0.0009,0.0006,0.0006,0.0003,0.0003,0.0002,0.0002,0.0002,0.0003,0.0101,0.0006,0.0009,0.0008,0.002,0.0016,0.0012,0.0008,0.0005,0.0005,0.0003,0.0003,0.0002,0.0001,0.0001,0.0002,0.0082,0.0004,0.0012,0.0005,0.0013,0.001,0.0011,0.0006,0.0005,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
