GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Native,Margin of Error; Native,Estimate; Foreign born:,Margin of Error; Foreign born:,Estimate; Foreign born: - Naturalized U.S. citizen,Margin of Error; Foreign born: - Naturalized U.S. citizen,Estimate; Foreign born: - Not a U.S. citizen,Margin of Error; Foreign born: - Not a U.S. citizen,Estimate; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Estimate; Same house 1 year ago: - Native,Margin of Error; Same house 1 year ago: - Native,Estimate; Same house 1 year ago: - Foreign born:,Margin of Error; Same house 1 year ago: - Foreign born:,Estimate; Same house 1 year ago: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Same house 1 year ago: - Foreign born: - Naturalized U.S. citizen,Estimate; Same house 1 year ago: - Foreign born: - Not a U.S. citizen,Margin of Error; Same house 1 year ago: - Foreign born: - Not a U.S. citizen,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Native,Margin of Error; Moved within same county: - Native,Estimate; Moved within same county: - Foreign born:,Margin of Error; Moved within same county: - Foreign born:,Estimate; Moved within same county: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Moved within same county: - Foreign born: - Naturalized U.S. citizen,Estimate; Moved within same county: - Foreign born: - Not a U.S. citizen,Margin of Error; Moved within same county: - Foreign born: - Not a U.S. citizen,Estimate; Moved from different county within same state:,Margin of Error; Moved from different county within same state:,Estimate; Moved from different county within same state: - Native,Margin of Error; Moved from different county within same state: - Native,Estimate; Moved from different county within same state: - Foreign born:,Margin of Error; Moved from different county within same state: - Foreign born:,Estimate; Moved from different county within same state: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Moved from different county within same state: - Foreign born: - Naturalized U.S. citizen,Estimate; Moved from different county within same state: - Foreign born: - Not a U.S. citizen,Margin of Error; Moved from different county within same state: - Foreign born: - Not a U.S. citizen,Estimate; Moved from different state:,Margin of Error; Moved from different state:,Estimate; Moved from different state: - Native,Margin of Error; Moved from different state: - Native,Estimate; Moved from different state: - Foreign born:,Margin of Error; Moved from different state: - Foreign born:,Estimate; Moved from different state: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Moved from different state: - Foreign born: - Naturalized U.S. citizen,Estimate; Moved from different state: - Foreign born: - Not a U.S. citizen,Margin of Error; Moved from different state: - Foreign born: - Not a U.S. citizen,Estimate; Moved from abroad:,Margin of Error; Moved from abroad:,Estimate; Moved from abroad: - Native,Margin of Error; Moved from abroad: - Native,Estimate; Moved from abroad: - Foreign born:,Margin of Error; Moved from abroad: - Foreign born:,Estimate; Moved from abroad: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Moved from abroad: - Foreign born: - Naturalized U.S. citizen,Estimate; Moved from abroad: - Foreign born: - Not a U.S. citizen,Margin of Error; Moved from abroad: - Foreign born: - Not a U.S. citizen
6001,31/12/2005,1398650,2678,967993,10255,430657,10051,213918,8537,216739,9557,1150925,17088,815578,12475,335347,12897,188130,10150,147217,8891,160154,13421,101476,9060,58678,7564,16229,3147,42449,6563,50003,6441,33254,5199,16749,3439,7652,2222,9097,2257,22285,4208,15537,2888,6748,2746,1088,580,5660,2685,15283,4270,2148,831,13135,4005,819,740,12316,3542
6007,31/12/2005,205391,779,190778,2195,14613,1969,6473,1383,8140,1828,160379,5253,148490,4957,11889,2107,5763,1309,6126,1937,29090,4269,28096,4250,994,537,468,340,526,415,13019,3037,11707,2684,1312,783,242,209,1070,734,2310,1303,2310,1303,0,293,0,293,0,293,593,279,175,175,418,268,0,293,418,268
6013,31/12/2005,995745,1830,762867,9018,232878,9263,119395,7227,113483,8904,827848,13441,644478,11817,183370,9461,101842,6693,81528,8266,105775,11849,79056,9523,26719,4817,9606,2672,17113,3822,40390,5805,27367,4335,13023,3402,6638,2060,6385,2493,14346,4253,10490,3196,3856,2019,1192,680,2664,1904,7386,2548,1476,687,5910,2461,117,99,5793,2449
6017,31/12/2005,173991,754,160920,2471,13071,2255,7491,1642,5580,1605,148808,4142,137920,4375,10888,2176,6783,1666,4105,1340,12266,3240,11759,3200,507,492,225,340,282,322,11817,3416,10256,3336,1561,957,422,267,1139,873,670,490,670,490,0,293,0,293,0,293,430,402,315,333,115,142,61,104,54,98
6019,31/12/2005,843769,2138,649356,10201,194413,9964,63666,5058,130747,9336,695987,11729,533700,13362,162287,8932,56431,4499,105856,8515,113482,10725,92974,9597,20508,4053,5456,1755,15052,3534,21239,4444,16175,3789,5064,2414,1264,858,3800,2400,5716,2390,4121,1890,1595,1175,515,371,1080,1091,7345,4287,2386,1978,4959,2725,0,293,4959,2725
6025,31/12/2005,141539,1065,91447,4050,50092,3669,18891,2104,31201,3101,118346,5493,78076,4952,40270,3080,16610,1994,23660,2361,14126,4829,8620,3015,5506,2380,1776,1258,3730,1579,3586,1417,3139,1346,447,325,237,194,210,185,1446,1111,1350,1102,96,119,32,52,64,109,4035,2131,262,280,3773,2144,236,353,3537,1942
6029,31/12/2005,710695,1812,563991,7793,146704,7567,41745,3810,104959,8207,566649,11696,451636,10545,115013,7157,35783,3841,79230,6971,95511,11492,79735,9368,15776,4242,2802,1367,12974,3902,27374,5608,18932,4396,8442,2486,2837,1055,5605,1984,13670,4218,12049,3892,1621,1158,243,387,1378,1087,7491,3465,1639,885,5852,2975,80,130,5772,2956
6031,31/12/2005,119084,663,93954,2613,25130,2651,8393,1564,16737,2572,99745,4035,77632,4481,22113,2678,7553,1410,14560,2585,11511,3444,10412,3375,1099,607,541,549,558,319,4684,1767,3541,1255,1143,707,248,298,895,547,2323,1431,2058,1369,265,297,51,85,214,283,821,802,311,337,510,511,0,293,510,511
6037,31/12/2005,9599793,8124,6091613,33838,3508180,33120,1472529,25949,2035651,37646,8359982,38420,5322557,38900,3037425,33309,1346791,22372,1690634,35093,952680,34121,603664,26075,349016,16366,107701,8305,241315,15842,95594,10012,75634,8536,19960,3191,8392,1660,11568,2870,95565,9038,76038,7313,19527,3142,5945,1429,13582,2708,95972,13710,13720,2508,82252,13404,3700,1459,78552,13539
6039,31/12/2005,131414,718,104671,3614,26743,3320,5568,1227,21175,3247,109224,4922,90527,4737,18697,2966,4645,1199,14052,2800,14606,3902,9478,2532,5128,2619,583,400,4545,2468,6427,2651,4470,1972,1957,1283,340,360,1617,1181,160,171,132,162,28,47,0,293,28,47,997,817,64,122,933,793,0,293,933,793
