GeoID,Date,Worked in state of residence:,Worked in state of residence: - Worked in county of residence,Worked in state of residence: - Worked outside county of residence,Worked outside state of residence,"Car, truck, or van - drove alone:","Car, truck, or van - drove alone: - Worked in state of residence:","Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Car, truck, or van - drove alone: - Worked outside state of residence","Car, truck, or van - carpooled:","Car, truck, or van - carpooled: - Worked in state of residence:","Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Car, truck, or van - carpooled: - Worked outside state of residence",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Worked in state of residence:,Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Public transportation (excluding taxicab): - Worked outside state of residence,Walked:,Walked: - Worked in state of residence:,Walked: - Worked in state of residence: - Worked in county of residence,Walked: - Worked in state of residence: - Worked outside county of residence,Walked: - Worked outside state of residence,"Taxicab, motorcycle, bicycle, or other means:","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence",Worked at home
6001,12/31/2005,0.9952,0.6721,0.3231,0.0048,0.6976,0.6959,0.4808,0.2151,0.0017,0.1106,0.1102,0.0653,0.0449,0.0004,0.1051,0.1050,0.0464,0.0586,0.0001,0.0289,0.0282,0.0271,0.0011,0.0007,0.0216,0.0197,0.0163,0.0034,0.0019,0.0362
6007,12/31/2005,0.9955,0.8861,0.1094,0.0045,0.7475,0.7448,0.6652,0.0797,0.0027,0.1108,0.1090,0.0793,0.0297,0.0018,0.0018,0.0018,0.0018,0.0000,0.0000,0.0343,0.0343,0.0343,0.0000,0.0000,0.0416,0.0416,0.0416,0.0000,0.0000,0.0640
6013,12/31/2005,0.9950,0.5749,0.4200,0.0050,0.7059,0.7027,0.4339,0.2688,0.0032,0.1416,0.1411,0.0649,0.0762,0.0005,0.0832,0.0829,0.0153,0.0676,0.0003,0.0143,0.0140,0.0135,0.0005,0.0003,0.0172,0.0165,0.0096,0.0069,0.0007,0.0378
6017,12/31/2005,0.9604,0.5444,0.4160,0.0396,0.7667,0.7345,0.3799,0.3547,0.0322,0.1220,0.1179,0.0683,0.0496,0.0041,0.0125,0.0119,0.0067,0.0052,0.0006,0.0148,0.0131,0.0116,0.0015,0.0017,0.0246,0.0235,0.0185,0.0051,0.0011,0.0594
6019,12/31/2005,0.9963,0.9237,0.0726,0.0037,0.7598,0.7577,0.6974,0.0603,0.0021,0.1583,0.1583,0.1477,0.0106,0.0000,0.0117,0.0115,0.0113,0.0002,0.0001,0.0170,0.0159,0.0155,0.0004,0.0011,0.0134,0.0129,0.0119,0.0010,0.0004,0.0398
6025,12/31/2005,0.9709,0.9043,0.0666,0.0291,0.7851,0.7660,0.7088,0.0571,0.0191,0.1224,0.1137,0.1051,0.0086,0.0086,0.0294,0.0280,0.0272,0.0008,0.0013,0.0250,0.0250,0.0250,0.0000,0.0000,0.0109,0.0109,0.0109,0.0000,0.0000,0.0272
6029,12/31/2005,0.9956,0.9395,0.0561,0.0044,0.7510,0.7491,0.7050,0.0441,0.0019,0.1590,0.1572,0.1470,0.0102,0.0018,0.0164,0.0164,0.0154,0.0010,0.0000,0.0195,0.0189,0.0187,0.0001,0.0006,0.0279,0.0277,0.0271,0.0006,0.0002,0.0262
6031,12/31/2005,0.9951,0.8003,0.1948,0.0049,0.7399,0.7399,0.5910,0.1489,0.0000,0.1507,0.1495,0.1108,0.0387,0.0011,0.0251,0.0251,0.0224,0.0027,0.0000,0.0237,0.0222,0.0222,0.0000,0.0015,0.0339,0.0316,0.0271,0.0045,0.0023,0.0266
6037,12/31/2005,0.9953,0.9203,0.0749,0.0047,0.7265,0.7245,0.6637,0.0608,0.0020,0.1207,0.1202,0.1080,0.0122,0.0005,0.0658,0.0656,0.0648,0.0007,0.0003,0.0257,0.0253,0.0251,0.0002,0.0004,0.0216,0.0201,0.0191,0.0010,0.0015,0.0397
6041,12/31/2005,0.9962,0.6586,0.3376,0.0038,0.6715,0.6703,0.4304,0.2399,0.0011,0.0964,0.0964,0.0599,0.0366,0.0000,0.0761,0.0761,0.0209,0.0552,0.0000,0.0298,0.0296,0.0285,0.0010,0.0002,0.0210,0.0185,0.0136,0.0049,0.0025,0.1052
6047,12/31/2005,0.9934,0.7275,0.2658,0.0066,0.7471,0.7418,0.5294,0.2124,0.0053,0.1436,0.1423,0.0915,0.0508,0.0013,0.0089,0.0089,0.0089,0.0000,0.0000,0.0435,0.0435,0.0423,0.0012,0.0000,0.0167,0.0167,0.0152,0.0015,0.0000,0.0402
6053,12/31/2005,0.9960,0.8858,0.1102,0.0040,0.7326,0.7304,0.6557,0.0747,0.0022,0.1575,0.1569,0.1324,0.0245,0.0006,0.0252,0.0252,0.0233,0.0019,0.0000,0.0354,0.0354,0.0280,0.0074,0.0000,0.0201,0.0189,0.0172,0.0017,0.0012,0.0292
6055,12/31/2005,0.9916,0.7633,0.2283,0.0084,0.7732,0.7717,0.5795,0.1922,0.0014,0.0901,0.0901,0.0706,0.0195,0.0000,0.0182,0.0182,0.0023,0.0159,0.0000,0.0324,0.0317,0.0317,0.0000,0.0008,0.0522,0.0460,0.0453,0.0007,0.0062,0.0339
6057,12/31/2005,0.9898,0.7644,0.2255,0.0102,0.7497,0.7412,0.5565,0.1847,0.0086,0.1131,0.1115,0.0794,0.0321,0.0016,0.0140,0.0140,0.0130,0.0010,0.0000,0.0278,0.0278,0.0247,0.0031,0.0000,0.0091,0.0091,0.0046,0.0045,0.0000,0.0863
6059,12/31/2005,0.9956,0.8358,0.1598,0.0044,0.7727,0.7703,0.6376,0.1327,0.0024,0.1177,0.1174,0.0961,0.0214,0.0002,0.0278,0.0277,0.0249,0.0029,0.0001,0.0193,0.0189,0.0186,0.0003,0.0004,0.0166,0.0153,0.0127,0.0026,0.0013,0.0460
6061,12/31/2005,0.9856,0.6129,0.3727,0.0144,0.7938,0.7864,0.4703,0.3161,0.0074,0.1010,0.0975,0.0509,0.0465,0.0035,0.0066,0.0062,0.0024,0.0038,0.0005,0.0149,0.0149,0.0139,0.0011,0.0000,0.0207,0.0178,0.0125,0.0053,0.0029,0.0629
6065,12/31/2005,0.9955,0.7072,0.2882,0.0045,0.7579,0.7556,0.5278,0.2279,0.0022,0.1602,0.1597,0.1079,0.0518,0.0005,0.0144,0.0142,0.0097,0.0045,0.0002,0.0134,0.0131,0.0126,0.0005,0.0003,0.0139,0.0127,0.0091,0.0036,0.0012,0.0402
6067,12/31/2005,0.9973,0.8418,0.1556,0.0027,0.7519,0.7506,0.6194,0.1313,0.0013,0.1363,0.1357,0.1152,0.0205,0.0005,0.0257,0.0256,0.0235,0.0020,0.0002,0.0231,0.0228,0.0225,0.0003,0.0003,0.0199,0.0195,0.0180,0.0015,0.0004,0.0431
6071,12/31/2005,0.9941,0.6786,0.3155,0.0059,0.7768,0.7735,0.5261,0.2474,0.0032,0.1456,0.1447,0.0868,0.0579,0.0009,0.0131,0.0131,0.0072,0.0059,0.0000,0.0145,0.0141,0.0133,0.0008,0.0003,0.0159,0.0144,0.0109,0.0035,0.0014,0.0342
6073,12/31/2005,0.9919,0.9614,0.0305,0.0081,0.7814,0.7766,0.7538,0.0228,0.0048,0.1093,0.1087,0.1030,0.0057,0.0006,0.0294,0.0288,0.0277,0.0011,0.0006,0.0189,0.0183,0.0181,0.0001,0.0006,0.0165,0.0149,0.0141,0.0008,0.0016,0.0446
6075,12/31/2005,0.9945,0.7691,0.2254,0.0055,0.3974,0.3958,0.2402,0.1556,0.0016,0.0829,0.0828,0.0616,0.0212,0.0001,0.3266,0.3254,0.2815,0.0439,0.0013,0.0959,0.0957,0.0940,0.0018,0.0002,0.0340,0.0316,0.0287,0.0029,0.0023,0.0632
6077,12/31/2005,0.9975,0.7328,0.2646,0.0025,0.7703,0.7687,0.5754,0.1933,0.0016,0.1615,0.1608,0.1018,0.0590,0.0007,0.0155,0.0155,0.0044,0.0111,0.0000,0.0154,0.0154,0.0147,0.0007,0.0000,0.0105,0.0103,0.0097,0.0006,0.0002,0.0269
6079,12/31/2005,0.9987,0.9015,0.0972,0.0013,0.7610,0.7604,0.6785,0.0819,0.0006,0.1095,0.1088,0.0991,0.0097,0.0007,0.0110,0.0110,0.0096,0.0015,0.0000,0.0352,0.0352,0.0331,0.0021,0.0000,0.0246,0.0246,0.0225,0.0021,0.0000,0.0587
6081,12/31/2005,0.9963,0.5894,0.4068,0.0037,0.6990,0.6979,0.4140,0.2839,0.0011,0.1247,0.1244,0.0629,0.0615,0.0003,0.0741,0.0739,0.0204,0.0535,0.0002,0.0286,0.0284,0.0260,0.0024,0.0003,0.0186,0.0169,0.0113,0.0055,0.0018,0.0549
6083,12/31/2005,0.9961,0.9237,0.0724,0.0039,0.6787,0.6767,0.6255,0.0511,0.0020,0.1688,0.1675,0.1484,0.0192,0.0013,0.0320,0.0320,0.0301,0.0019,0.0000,0.0396,0.0392,0.0392,0.0000,0.0004,0.0376,0.0373,0.0371,0.0002,0.0002,0.0434
6085,12/31/2005,0.9963,0.8666,0.1297,0.0037,0.7852,0.7836,0.6787,0.1049,0.0016,0.0992,0.0991,0.0833,0.0158,0.0001,0.0315,0.0310,0.0241,0.0069,0.0005,0.0222,0.0216,0.0209,0.0007,0.0006,0.0214,0.0204,0.0190,0.0013,0.0010,0.0405
6087,12/31/2005,0.9972,0.7788,0.2184,0.0028,0.7197,0.7187,0.5371,0.1816,0.0010,0.0986,0.0986,0.0686,0.0300,0.0000,0.0210,0.0210,0.0187,0.0023,0.0000,0.0350,0.0350,0.0340,0.0010,0.0000,0.0414,0.0396,0.0361,0.0035,0.0018,0.0843
6089,12/31/2005,0.9882,0.9266,0.0616,0.0118,0.8040,0.7933,0.7429,0.0505,0.0107,0.1107,0.1107,0.1007,0.0100,0.0000,0.0039,0.0039,0.0036,0.0003,0.0000,0.0173,0.0162,0.0154,0.0008,0.0011,0.0224,0.0224,0.0224,0.0000,0.0000,0.0417
6095,12/31/2005,0.9957,0.5631,0.4326,0.0043,0.7683,0.7662,0.4328,0.3334,0.0021,0.1503,0.1501,0.0692,0.0809,0.0002,0.0196,0.0196,0.0075,0.0122,0.0000,0.0134,0.0128,0.0118,0.0010,0.0006,0.0132,0.0118,0.0067,0.0051,0.0014,0.0351
