GeoID,Date,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled:","Car, truck, or van: - Carpooled: - In 2-person carpool","Car, truck, or van: - Carpooled: - In 3-person carpool","Car, truck, or van: - Carpooled: - In 4-person carpool","Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Bus or trolley bus,Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): - Subway or elevated,Public transportation (excluding taxicab): - Railroad,Public transportation (excluding taxicab): - Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
6001,31/12/2006,0.8108,0.7042,0.1065,0.0831,0.0154,0.0048,0.0017,0.0016,0.0726,0.0363,0.0004,0.0320,0.0037,0.0002,0.0005,0.0019,0.0166,0.0350,0.0126,0.0500
6007,31/12/2006,0.8696,0.7693,0.1004,0.0772,0.0174,0.0039,0.0009,0.0009,0.0200,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0170,0.0364,0.0046,0.0504
6013,31/12/2006,0.8670,0.7605,0.1066,0.0784,0.0199,0.0034,0.0022,0.0026,0.0327,0.0218,0.0002,0.0098,0.0009,0.0000,0.0005,0.0031,0.0048,0.0199,0.0066,0.0654
6017,31/12/2006,0.8595,0.7389,0.1206,0.0896,0.0087,0.0085,0.0111,0.0027,0.0070,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,0.0087,0.0195,0.0007,0.1009
6019,31/12/2006,0.9044,0.7607,0.1437,0.0989,0.0224,0.0118,0.0059,0.0046,0.0143,0.0135,0.0007,0.0000,0.0002,0.0000,0.0000,0.0023,0.0072,0.0195,0.0198,0.0325
6023,31/12/2006,0.8542,0.7374,0.1168,0.0750,0.0298,0.0046,0.0048,0.0027,0.0041,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0122,0.0570,0.0080,0.0636
6029,31/12/2006,0.9198,0.7288,0.1910,0.1212,0.0299,0.0214,0.0104,0.0081,0.0112,0.0093,0.0005,0.0000,0.0014,0.0000,0.0010,0.0034,0.0033,0.0135,0.0196,0.0282
6031,31/12/2006,0.9010,0.7291,0.1718,0.0922,0.0425,0.0257,0.0071,0.0043,0.0177,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0011,0.0226,0.0125,0.0366
6037,31/12/2006,0.8419,0.7209,0.1210,0.0934,0.0166,0.0056,0.0027,0.0028,0.0697,0.0634,0.0005,0.0024,0.0032,0.0001,0.0006,0.0023,0.0056,0.0273,0.0115,0.0410
6039,31/12/2006,0.9294,0.7570,0.1724,0.0802,0.0303,0.0370,0.0118,0.0130,0.0029,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0123,0.0076,0.0468
6041,31/12/2006,0.8280,0.6880,0.1401,0.0965,0.0291,0.0094,0.0030,0.0021,0.0384,0.0354,0.0000,0.0000,0.0000,0.0031,0.0000,0.0014,0.0073,0.0258,0.0072,0.0919
6047,31/12/2006,0.8617,0.7034,0.1584,0.1054,0.0265,0.0071,0.0173,0.0020,0.0081,0.0081,0.0000,0.0000,0.0000,0.0000,0.0024,0.0032,0.0123,0.0409,0.0116,0.0599
6053,31/12/2006,0.8588,0.6881,0.1707,0.1155,0.0259,0.0230,0.0042,0.0021,0.0300,0.0296,0.0000,0.0000,0.0000,0.0004,0.0000,0.0018,0.0036,0.0537,0.0054,0.0466
6055,31/12/2006,0.8638,0.7183,0.1455,0.0997,0.0380,0.0051,0.0027,0.0000,0.0117,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0064,0.0385,0.0163,0.0628
6059,31/12/2006,0.8956,0.7782,0.1174,0.0903,0.0165,0.0067,0.0026,0.0013,0.0317,0.0295,0.0001,0.0001,0.0020,0.0001,0.0001,0.0019,0.0070,0.0183,0.0060,0.0395
6061,31/12/2006,0.8862,0.7894,0.0968,0.0782,0.0088,0.0022,0.0063,0.0013,0.0049,0.0046,0.0000,0.0000,0.0000,0.0003,0.0000,0.0038,0.0018,0.0133,0.0118,0.0782
6065,31/12/2006,0.8979,0.7436,0.1543,0.1203,0.0238,0.0057,0.0024,0.0020,0.0120,0.0114,0.0002,0.0000,0.0004,0.0000,0.0000,0.0025,0.0057,0.0215,0.0069,0.0535
6067,31/12/2006,0.8871,0.7530,0.1341,0.1027,0.0205,0.0047,0.0020,0.0041,0.0316,0.0236,0.0027,0.0024,0.0028,0.0002,0.0009,0.0033,0.0081,0.0198,0.0065,0.0426
6071,31/12/2006,0.9122,0.7767,0.1355,0.0962,0.0233,0.0102,0.0034,0.0025,0.0124,0.0121,0.0002,0.0001,0.0001,0.0000,0.0002,0.0024,0.0025,0.0184,0.0098,0.0421
6073,31/12/2006,0.8590,0.7483,0.1106,0.0884,0.0135,0.0042,0.0023,0.0022,0.0301,0.0258,0.0018,0.0001,0.0023,0.0000,0.0005,0.0043,0.0056,0.0267,0.0097,0.0642
6075,31/12/2006,0.4819,0.3773,0.1046,0.0681,0.0263,0.0062,0.0010,0.0030,0.3582,0.1774,0.0179,0.1336,0.0223,0.0070,0.0021,0.0097,0.0147,0.0695,0.0099,0.0540
6077,31/12/2006,0.9229,0.7874,0.1355,0.1052,0.0167,0.0099,0.0017,0.0019,0.0063,0.0057,0.0000,0.0000,0.0000,0.0006,0.0005,0.0006,0.0068,0.0188,0.0049,0.0392
6079,31/12/2006,0.8639,0.7137,0.1502,0.1025,0.0212,0.0100,0.0070,0.0095,0.0119,0.0119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,0.0207,0.0368,0.0109,0.0452
6081,31/12/2006,0.8492,0.7267,0.1226,0.0827,0.0265,0.0071,0.0024,0.0039,0.0523,0.0298,0.0015,0.0107,0.0103,0.0000,0.0000,0.0034,0.0070,0.0268,0.0158,0.0455
6083,31/12/2006,0.8302,0.6737,0.1565,0.1028,0.0239,0.0127,0.0154,0.0018,0.0346,0.0346,0.0000,0.0000,0.0000,0.0000,0.0005,0.0047,0.0330,0.0407,0.0043,0.0520
6085,31/12/2006,0.8781,0.7727,0.1055,0.0852,0.0127,0.0038,0.0026,0.0012,0.0333,0.0238,0.0008,0.0012,0.0075,0.0000,0.0003,0.0030,0.0104,0.0218,0.0120,0.0411
6087,31/12/2006,0.7994,0.6822,0.1172,0.0821,0.0165,0.0134,0.0023,0.0029,0.0348,0.0332,0.0000,0.0000,0.0017,0.0000,0.0005,0.0043,0.0335,0.0373,0.0073,0.0828
6089,31/12/2006,0.9127,0.7955,0.1172,0.0962,0.0178,0.0027,0.0003,0.0003,0.0123,0.0123,0.0000,0.0000,0.0000,0.0000,0.0012,0.0052,0.0000,0.0255,0.0064,0.0366
