GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
6001,12/31/2005,521380,3520,39505,3633,22853,2462,20980,2314,25581,2487,20474,2345,18597,2092,24951,3078,22666,2480,22817,3163,37627,3607,49575,4230,68299,4461,49659,4052,32904,3258,36281,3168,28611,2247
6001,12/31/2006,517241,4016,32296,2446,28828,2663,19804,2029,21740,2421,21647,2187,22008,2273,20409,2302,19762,2070,17911,2480,36802,3033,52042,3893,66592,3808,53696,3520,34553,3005,37851,3086,31300,1921
6001,12/31/2007,519809,4348,30897,2928,25245,2545,23165,2841,20840,2307,19081,1983,20803,2470,16471,2013,19917,2292,19824,2149,34777,2964,47498,3578,66962,4141,55242,3682,33399,2910,44315,3454,41373,2749
6001,12/31/2008,517939,5028,28239,2875,23935,2452,20516,2361,22115,2811,17349,1959,20558,2107,17727,2088,20439,2193,17556,2255,35707,3284,49527,3397,67079,4071,52068,4014,37526,2992,43216,2786,44382,2728
6001,12/31/2009,517795,5059,27990,2696,27154,2696,18932,2331,20945,2435,19965,2619,18321,2321,20878,2336,16801,1844,20319,2390,37561,2826,53443,4108,63025,3801,52888,3522,36310,3341,44251,2599,39012,2243
6001,12/31/2010,537410,4196,30849,2698,27899,2755,22692,2614,24618,2598,20080,2076,19383,2441,19641,2198,21067,2564,19726,2530,34747,2769,53720,3464,65490,4103,53947,2967,34729,2698,42824,2821,45998,2745
6001,12/31/2011,545559,3859,32180,2775,26525,2747,21049,2074,27552,2587,19453,2379,23282,2294,18504,1949,19222,2664,16786,2024,38078,3338,54160,3939,63628,4137,58123,3861,32503,2931,44888,2725,49626,2727
6001,12/31/2012,548274,3439,32158,2518,27406,2320,25516,2473,23038,2298,18818,1674,18494,1825,19010,2143,19707,2248,20504,2034,36601,2933,46962,2805,64243,3996,56200,3404,35591,2738,47755,2742,56271,2915
6001,12/31/2013,555909,3185,32937,2908,24574,2138,23566,2385,20614,2358,18237,2096,19228,1957,20043,2329,21816,2550,17983,2180,35538,2920,50727,3776,69281,4396,52318,3105,37486,2668,48437,2832,63124,3363
6007,12/31/2005,83063,2232,7724,1309,9060,1712,5764,1106,6590,1354,3798,885,6982,1758,5330,1338,3341,931,2619,691,6560,1186,7224,1332,7959,1398,4153,971,2934,901,1874,883,1151,401
