GeoID,Date,Median household income in the past 12 months
6001,12/31/2013,72399
6007,12/31/2013,42752
6013,12/31/2013,79100
6017,12/31/2013,61365
6019,12/31/2013,43925
6023,12/31/2013,42092
6025,12/31/2013,43310
6029,12/31/2013,46879
6031,12/31/2013,45774
6033,12/31/2013,37079
6037,12/31/2013,54529
6039,12/31/2013,39758
6041,12/31/2013,96580
6045,12/31/2013,42042
6047,12/31/2013,40687
6053,12/31/2013,57052
6055,12/31/2013,70914
6057,12/31/2013,54851
6059,12/31/2013,74163
6061,12/31/2013,73328
6065,12/31/2013,54095
6067,12/31/2013,52936
6071,12/31/2013,52323
6073,12/31/2013,61426
6075,12/31/2013,77485
6077,12/31/2013,51432
6079,12/31/2013,58158
6081,12/31/2013,91322
6083,12/31/2013,62421
6085,12/31/2013,92014
6087,12/31/2013,68438
6089,12/31/2013,40332
6095,12/31/2013,63520
6097,12/31/2013,61029
6099,12/31/2013,47962
6101,12/31/2013,49139
6107,12/31/2013,39422
6111,12/31/2013,77363
6113,12/31/2013,54898
6115,12/31/2013,43801
6001,12/31/2012,70500
6007,12/31/2012,40960
6013,12/31/2012,74177
6017,12/31/2012,69973
6019,12/31/2012,41627
6023,12/31/2012,40682
6025,12/31/2012,40200
6029,12/31/2012,45910
6031,12/31/2012,45935
6033,12/31/2012,33219
6037,12/31/2012,53001
6039,12/31/2012,42039
6041,12/31/2012,90535
6045,12/31/2012,41369
6047,12/31/2012,43597
6053,12/31/2012,58109
6055,12/31/2012,68553
6057,12/31/2012,53768
6059,12/31/2012,71983
6061,12/31/2012,69086
6065,12/31/2012,52621
6067,12/31/2012,52667
6071,12/31/2012,50770
6073,12/31/2012,60330
6075,12/31/2012,73012
6077,12/31/2012,50722
6079,12/31/2012,60264
6081,12/31/2012,81609
6083,12/31/2012,61890
6085,12/31/2012,91425
6087,12/31/2012,67769
6089,12/31/2012,45442
6095,12/31/2012,62066
6097,12/31/2012,59941
6099,12/31/2012,46405
6101,12/31/2012,47081
6107,12/31/2012,40302
6111,12/31/2012,71517
6113,12/31/2012,50594
6115,12/31/2012,43545
6001,12/31/2011,67558
6007,12/31/2011,39179
6013,12/31/2011,74353
6017,12/31/2011,61084
6019,12/31/2011,42807
6023,12/31/2011,41187
6025,12/31/2011,37843
6029,12/31/2011,45224
6031,12/31/2011,50345
6033,12/31/2011,35991
6037,12/31/2011,52280
6039,12/31/2011,46570
6041,12/31/2011,77168
6045,12/31/2011,42431
6047,12/31/2011,40055
6053,12/31/2011,53179
6055,12/31/2011,61460
6057,12/31/2011,54080
6059,12/31/2011,72293
6061,12/31/2011,68959
6065,12/31/2011,52883
6067,12/31/2011,52314
6071,12/31/2011,51247
6073,12/31/2011,59477
6075,12/31/2011,69894
6077,12/31/2011,50853
6079,12/31/2011,54195
6081,12/31/2011,81657
6083,12/31/2011,60505
6085,12/31/2011,84895
6087,12/31/2011,62513
6089,12/31/2011,42062
6095,12/31/2011,63795
6097,12/31/2011,61020
6099,12/31/2011,44076
6101,12/31/2011,49533
6107,12/31/2011,41167
6111,12/31/2011,74623
6113,12/31/2011,49594
6115,12/31/2011,43961
6001,12/31/2010,67169
6007,12/31/2010,41657
6013,12/31/2010,73721
6017,12/31/2010,66129
6019,12/31/2010,45221
6023,12/31/2010,38492
6025,12/31/2010,41802
6029,12/31/2010,45524
6031,12/31/2010,44609
6033,12/31/2010,34910
6037,12/31/2010,52684
6039,12/31/2010,48268
6041,12/31/2010,83867
6045,12/31/2010,40536
6047,12/31/2010,42449
6053,12/31/2010,54534
6055,12/31/2010,64401
6057,12/31/2010,54456
6059,12/31/2010,70880
6061,12/31/2010,67884
6065,12/31/2010,54296
6067,12/31/2010,52709
6071,12/31/2010,52607
6073,12/31/2010,59923
6075,12/31/2010,71745
6077,12/31/2010,50011
6079,12/31/2010,53978
6081,12/31/2010,82748
6083,12/31/2010,56767
6085,12/31/2010,85002
6087,12/31/2010,61071
6089,12/31/2010,41023
6095,12/31/2010,63384
6097,12/31/2010,59055
6099,12/31/2010,48044
6101,12/31/2010,46521
6107,12/31/2010,43397
6111,12/31/2010,71864
6113,12/31/2010,55798
6115,12/31/2010,45755
6001,12/31/2009,68405
6007,12/31/2009,41786
6013,12/31/2009,75139
6017,12/31/2009,70449
6019,12/31/2009,45661
6023,12/31/2009,35745
6025,12/31/2009,38594
6029,12/31/2009,47368
6031,12/31/2009,44506
6033,12/31/2009,39343
6037,12/31/2009,54467
6039,12/31/2009,44135
6041,12/31/2009,89019
6045,12/31/2009,41867
6047,12/31/2009,39535
6053,12/31/2009,58448
6055,12/31/2009,68541
6057,12/31/2009,57884
6059,12/31/2009,71865
6061,12/31/2009,70568
6065,12/31/2009,55352
6067,12/31/2009,52504
6071,12/31/2009,52320
6073,12/31/2009,60231
6075,12/31/2009,70770
6077,12/31/2009,52789
6079,12/31/2009,56661
6081,12/31/2009,85213
6083,12/31/2009,59051
6085,12/31/2009,85215
6087,12/31/2009,61499
6089,12/31/2009,42889
6095,12/31/2009,65783
6097,12/31/2009,62368
6099,12/31/2009,48716
6101,12/31/2009,50333
6107,12/31/2009,39997
6111,12/31/2009,71723
6113,12/31/2009,57634
6115,12/31/2009,45117
6001,12/31/2008,70395
6007,12/31/2008,40101
6013,12/31/2008,78618
6017,12/31/2008,67660
6019,12/31/2008,43737
6023,12/31/2008,39750
6025,12/31/2008,37936
6029,12/31/2008,44733
6031,12/31/2008,50962
6033,12/31/2008,40538
6037,12/31/2008,55499
6039,12/31/2008,47394
6041,12/31/2008,91982
6045,12/31/2008,43205
6047,12/31/2008,42303
6053,12/31/2008,59375
6055,12/31/2008,65158
6057,12/31/2008,53195
6059,12/31/2008,75078
6061,12/31/2008,75183
6065,12/31/2008,57792
6067,12/31/2008,56984
6071,12/31/2008,55021
6073,12/31/2008,63026
