GeoID,Date,Quintile Means: - Lowest Quintile,Quintile Means: - Second Quintile,Quintile Means: - Third Quintile,Quintile Means: - Fourth Quintile,Quintile Means: - Highest Quintile,Top 5 Percent
6001,12/31/2013,13979,41373,72803,117062,250207,416628
6001,12/31/2012,13390,39450,70704,113640,239961,400667
6001,12/31/2011,13670,38708,68268,109032,230274,384472
6001,12/31/2010,13517,38455,67394,107381,216548,342817
6001,12/31/2009,14571,40651,68714,108337,214534,345291
6001,12/31/2008,14483,40775,70436,110208,223360,364131
6001,12/31/2007,13478,39243,68874,107858,218405,355119
6001,12/31/2006,13101,37043,64760,100959,198944,320172
6007,12/31/2013,9446,24555,42769,69756,151086,250645
6007,12/31/2012,9975,25369,41694,66428,143899,242312
6007,12/31/2011,9620,22710,40031,66407,132315,210525
6007,12/31/2010,11078,25484,41951,66038,131525,210425
6007,12/31/2009,9807,25151,42007,63982,133211,225609
6007,12/31/2008,9539,24267,40088,62685,139628,243421
6007,12/31/2007,9744,23013,38950,62814,133908,221650
6007,12/31/2006,10236,23711,41370,66793,126709,200679
6013,12/31/2013,17306,45924,79465,124814,269621,461536
6013,12/31/2012,17278,45156,74855,119735,253071,430468
6013,12/31/2011,16195,43010,74770,118158,253116,442853
6013,12/31/2010,17793,45212,74400,116939,236274,380250
6013,12/31/2009,17737,45025,75193,116074,246264,429843
6013,12/31/2008,16798,46570,78846,119826,251710,436497
6013,12/31/2007,17864,46328,76691,116637,245177,418001
6013,12/31/2006,17802,45642,74413,111599,241701,421464
6017,12/31/2013,12360,33628,62387,104792,222672,377546
6017,12/31/2012,18820,43016,69576,107379,207841,327131
6017,12/31/2011,15493,37463,61951,98917,201361,319554
6017,12/31/2010,15452,40219,66430,102139,206869,330559
6017,12/31/2009,20032,44970,70682,105001,193082,287678
6017,12/31/2008,19218,44831,68151,100508,191101,300367
6017,12/31/2007,18212,42487,65339,101694,202381,327344
6017,12/31/2006,17805,42543,70516,103475,200248,329641
6019,12/31/2013,9731,25276,43968,71426,155636,265137
6019,12/31/2012,9564,24253,41959,69138,151656,257281
6019,12/31/2011,10536,25664,43380,70117,149403,248094
6019,12/31/2010,9669,25157,45073,72437,147484,242188
6019,12/31/2009,10898,26985,45923,72041,151339,252481
6019,12/31/2008,11179,26745,44282,73378,158938,274441
6019,12/31/2007,11094,27407,47260,73984,153601,260793
6019,12/31/2006,9862,25476,43050,68629,138987,226759
6023,12/31/2013,10578,25329,42468,65040,124699,200392
6023,12/31/2012,8368,23191,41137,65348,131498,215629
6023,12/31/2011,8696,24022,40910,62135,131971,222574
