GeoID,Date,Total,Total - Margin of Error; Total
6001,12/31/2005,556474,*****
6007,12/31/2005,92187,*****
6013,12/31/2005,383328,*****
6017,12/31/2005,80279,*****
6019,12/31/2005,292733,*****
6023,12/31/2005,58160,*****
6025,12/31/2005,49491,*****
6029,12/31/2005,254226,*****
6031,12/31/2005,40021,*****
6033,12/31/2005,34031,*****
6037,12/31/2005,3339763,*****
6039,12/31/2005,45498,*****
6041,12/31/2005,107423,*****
6045,12/31/2005,38418,*****
6047,12/31/2005,77571,*****
6053,12/31/2005,137533,*****
6055,12/31/2005,52167,*****
6057,12/31/2005,48499,*****
6059,12/31/2005,1017219,*****
6061,12/31/2005,137086,*****
6065,12/31/2005,699474,*****
6067,12/31/2005,528035,*****
6071,12/31/2005,652802,*****
6073,12/31/2005,1113207,*****
6075,12/31/2005,354963,*****
6077,12/31/2005,217991,*****
6079,12/31/2005,112099,*****
6081,12/31/2005,266154,*****
6083,12/31/2005,150053,*****
6085,12/31/2005,605121,*****
6087,12/31/2005,101686,*****
6089,12/31/2005,74219,*****
6095,12/31/2005,146724,*****
6097,12/31/2005,193353,*****
6099,12/31/2005,167079,*****
6101,12/31/2005,31733,*****
6107,12/31/2005,129128,*****
6111,12/31/2005,266554,*****
6113,12/31/2005,69106,*****
6115,12/31/2005,25437,*****
6001,12/31/2006,559704,386
6007,12/31/2006,93748,164
6013,12/31/2006,389134,203
6017,12/31/2006,81772,56
6019,12/31/2006,299578,327
6023,12/31/2006,58552,174
6025,12/31/2006,51590,112
6029,12/31/2006,262651,275
6031,12/31/2006,41053,197
6033,12/31/2006,34517,47
6037,12/31/2006,3356418,900
6039,12/31/2006,47671,98
6041,12/31/2006,107993,172
6045,12/31/2006,38668,95
6047,12/31/2006,81058,168
6053,12/31/2006,138740,243
6055,12/31/2006,52768,295
6057,12/31/2006,49265,88
6059,12/31/2006,1023053,594
6061,12/31/2006,142176,150
6065,12/31/2006,732433,262
6067,12/31/2006,542527,379
6071,12/31/2006,668378,386
6073,12/31/2006,1125820,673
6075,12/31/2006,356486,415
6077,12/31/2006,223471,219
6079,12/31/2006,114213,251
6081,12/31/2006,266392,224
6083,12/31/2006,150880,390
6085,12/31/2006,609787,579
6087,12/31/2006,102375,104
6089,12/31/2006,75685,88
6095,12/31/2006,148877,240
6097,12/31/2006,195881,305
6099,12/31/2006,171281,174
6101,12/31/2006,32956,18
6107,12/31/2006,132244,238
6111,12/31/2006,270664,178
6113,12/31/2006,70676,94
6115,12/31/2006,27079,207
6001,12/31/2007,564722,671
6007,12/31/2007,94801,124
6013,12/31/2007,392686,286
6017,12/31/2007,82649,49
6019,12/31/2007,304305,161
6023,12/31/2007,58900,134
6025,12/31/2007,53650,81
6029,12/31/2007,269019,259
6031,12/31/2007,41825,265
6033,12/31/2007,34984,39
6037,12/31/2007,3374302,858
6039,12/31/2007,48944,148
6041,12/31/2007,108386,393
6045,12/31/2007,38857,151
6047,12/31/2007,83111,73
6053,12/31/2007,139349,108
6055,12/31/2007,53119,191
6057,12/31/2007,49806,50
6059,12/31/2007,1029633,428
6061,12/31/2007,145094,320
6065,12/31/2007,755325,300
6067,12/31/2007,548001,329
6071,12/31/2007,681035,369
6073,12/31/2007,1133069,814
6075,12/31/2007,357833,379
6077,12/31/2007,226646,376
6079,12/31/2007,115764,603
6081,12/31/2007,266796,233
6083,12/31/2007,151373,267
6085,12/31/2007,614730,922
6087,12/31/2007,102874,182
6089,12/31/2007,76480,86
6095,12/31/2007,149805,152
6097,12/31/2007,197446,309
6099,12/31/2007,173594,299
6101,12/31/2007,33248,42
6107,12/31/2007,135497,164
6111,12/31/2007,272463,221
6113,12/31/2007,71794,68
6115,12/31/2007,27972,73
6001,12/31/2008,566622,2845
6007,12/31/2008,95492,929
6013,12/31/2008,395668,1215
6017,12/31/2008,83103,362
6019,12/31/2008,308459,2220
6023,12/31/2008,59128,963
6025,12/31/2008,54469,307
6029,12/31/2008,272536,2148
6031,12/31/2008,42244,1768
6033,12/31/2008,35244,567
6037,12/31/2008,3385983,4803
6039,12/31/2008,49353,1175
6041,12/31/2008,108569,763
6045,12/31/2008,38987,528
6047,12/31/2008,83693,556
6053,12/31/2008,140159,904
6055,12/31/2008,53323,1191
6057,12/31/2008,50164,236
6059,12/31/2008,1035210,3430
6061,12/31/2008,147266,1154
6065,12/31/2008,769126,1321
6067,12/31/2008,551149,2045
6071,12/31/2008,687370,2007
6073,12/31/2008,1138440,5224
6075,12/31/2008,359905,1620
6077,12/31/2008,228603,2944
6079,12/31/2008,116769,1085
6081,12/31/2008,267033,2204
6083,12/31/2008,151772,1142
6085,12/31/2008,617672,2303
6087,12/31/2008,103480,620
6089,12/31/2008,76999,587
6095,12/31/2008,150596,483
6097,12/31/2008,198438,1437
6099,12/31/2008,175118,1356
6101,12/31/2008,33451,362
6107,12/31/2008,137822,563
6111,12/31/2008,273553,1880
6113,12/31/2008,72548,2938
6115,12/31/2008,28630,232
6001,12/31/2009,567345,1694
6007,12/31/2009,96189,841
6013,12/31/2009,396656,1177
6017,12/31/2009,83367,556
6019,12/31/2009,310115,2335
6023,12/31/2009,59462,752
6025,12/31/2009,54880,379
6029,12/31/2009,274649,914
6031,12/31/2009,42520,719
6033,12/31/2009,35573,535
6037,12/31/2009,3391046,3448
6039,12/31/2009,49477,364
6041,12/31/2009,108677,1155
6045,12/31/2009,39188,690
6047,12/31/2009,84034,831
6053,12/31/2009,140445,1006
6055,12/31/2009,53516,829
6057,12/31/2009,50323,510
6059,12/31/2009,1036859,2225
6061,12/31/2009,148519,346
6065,12/31/2009,774705,1734
6067,12/31/2009,552913,1680
6071,12/31/2009,689103,1100
6073,12/31/2009,1142276,3020
6075,12/31/2009,361242,1534
6077,12/31/2009,228859,4600
6079,12/31/2009,117340,961
6081,12/31/2009,267437,1431
6083,12/31/2009,152023,1102
6085,12/31/2009,620185,2494
6087,12/31/2009,103731,1301
6089,12/31/2009,77560,625
6095,12/31/2009,150837,1054
6097,12/31/2009,198849,1605
6099,12/31/2009,175226,566
6101,12/31/2009,33485,438
6107,12/31/2009,139070,402
6111,12/31/2009,274057,935
6113,12/31/2009,72729,974
6115,12/31/2009,28748,977
6001,12/31/2010,582628,2724
6007,12/31/2010,95867,972
6013,12/31/2010,400447,1848
6017,12/31/2010,88158,873
6019,12/31/2010,315965,937
6023,12/31/2010,61555,1024
6025,12/31/2010,56090,486
6029,12/31/2010,284674,1213
6031,12/31/2010,43900,941
6033,12/31/2010,35481,17
6037,12/31/2010,3444870,4461
6039,12/31/2010,49156,662
6041,12/31/2010,111220,1494
6045,12/31/2010,40342,1057
6047,12/31/2010,83690,632
6053,12/31/2010,139034,1621
6055,12/31/2010,54769,950
6057,12/31/2010,52592,715
6059,12/31/2010,1049079,2589
6061,12/31/2010,152913,620
6065,12/31/2010,801324,1028
6067,12/31/2010,555980,2314
6071,12/31/2010,699933,1461
6073,12/31/2010,1165043,5312
6075,12/31/2010,376777,1401
6077,12/31/2010,233873,2538
6079,12/31/2010,117353,1191
6081,12/31/2010,271006,905
6083,12/31/2010,152819,1544
6085,12/31/2010,631955,1523
6087,12/31/2010,104444,3942
6089,12/31/2010,77334,1177
6095,12/31/2010,152784,1720
6097,12/31/2010,204595,1238
6099,12/31/2010,179516,1292
6101,12/31/2010,33866,544
6107,12/31/2010,141898,924
6111,12/31/2010,281681,2606
6113,12/31/2010,75095,3857
6115,12/31/2010,27647,747
6001,12/31/2011,584631,801
6007,12/31/2011,95901,496
6013,12/31/2011,401362,476
6017,12/31/2011,88784,267
6019,12/31/2011,318099,812
6023,12/31/2011,61872,510
6025,12/31/2011,56291,340
6029,12/31/2011,286972,945
6031,12/31/2011,44175,664
6033,12/31/2011,35396,278
6037,12/31/2011,3449489,2013
6039,12/31/2011,49129,548
6041,12/31/2011,111538,802
6045,12/31/2011,40471,426
6047,12/31/2011,83583,264
6053,12/31/2011,138811,2061
6055,12/31/2011,54928,507
6057,12/31/2011,52895,270
6059,12/31/2011,1050907,747
6061,12/31/2011,154367,432
