GeoID,Date,Owner occupied,Renter occupied
6001,12/31/2005,0.6149,0.3851
6007,12/31/2005,0.5857,0.4143
6013,12/31/2005,0.7305,0.2695
6017,12/31/2005,0.7378,0.2622
6019,12/31/2005,0.5693,0.4307
6023,12/31/2005,0.6038,0.3962
6025,12/31/2005,0.5922,0.4078
6029,12/31/2005,0.6367,0.3633
6031,12/31/2005,0.5517,0.4483
6033,12/31/2005,0.7410,0.2590
6037,12/31/2005,0.5195,0.4805
6039,12/31/2005,0.6909,0.3091
6041,12/31/2005,0.6861,0.3139
6045,12/31/2005,0.5956,0.4044
6047,12/31/2005,0.5880,0.4120
6053,12/31/2005,0.5506,0.4494
6055,12/31/2005,0.6823,0.3177
6057,12/31/2005,0.7575,0.2425
6059,12/31/2005,0.6305,0.3695
6061,12/31/2005,0.7532,0.2468
6065,12/31/2005,0.7111,0.2889
6067,12/31/2005,0.6318,0.3682
6071,12/31/2005,0.6653,0.3347
6073,12/31/2005,0.5976,0.4024
6075,12/31/2005,0.4457,0.5543
6077,12/31/2005,0.6358,0.3642
6079,12/31/2005,0.6275,0.3725
6081,12/31/2005,0.6472,0.3528
6083,12/31/2005,0.5611,0.4389
6085,12/31/2005,0.6339,0.3661
6087,12/31/2005,0.6102,0.3898
6089,12/31/2005,0.6612,0.3388
6095,12/31/2005,0.6932,0.3068
6097,12/31/2005,0.6523,0.3477
6099,12/31/2005,0.6447,0.3553
6101,12/31/2005,0.6867,0.3133
6107,12/31/2005,0.5781,0.4219
6111,12/31/2005,0.7018,0.2982
6113,12/31/2005,0.5834,0.4166
6115,12/31/2005,0.5490,0.4510
6001,12/31/2006,0.6104,0.3896
6007,12/31/2006,0.6157,0.3843
6013,12/31/2006,0.7411,0.2589
6017,12/31/2006,0.7790,0.2210
6019,12/31/2006,0.5600,0.4400
6023,12/31/2006,0.5584,0.4416
6025,12/31/2006,0.6189,0.3811
6029,12/31/2006,0.6199,0.3801
6031,12/31/2006,0.5439,0.4561
6033,12/31/2006,0.6258,0.3742
6037,12/31/2006,0.5224,0.4776
6039,12/31/2006,0.5801,0.4199
6041,12/31/2006,0.6734,0.3266
6045,12/31/2006,0.6491,0.3509
6047,12/31/2006,0.5301,0.4699
6053,12/31/2006,0.5473,0.4527
6055,12/31/2006,0.6464,0.3536
6057,12/31/2006,0.7315,0.2685
6059,12/31/2006,0.6298,0.3702
6061,12/31/2006,0.7563,0.2437
6065,12/31/2006,0.7025,0.2975
6067,12/31/2006,0.6368,0.3632
6071,12/31/2006,0.6819,0.3181
6073,12/31/2006,0.5863,0.4137
6075,12/31/2006,0.4600,0.5400
6077,12/31/2006,0.6335,0.3665
6079,12/31/2006,0.6224,0.3776
6081,12/31/2006,0.6606,0.3394
6083,12/31/2006,0.5285,0.4715
6085,12/31/2006,0.6333,0.3667
6087,12/31/2006,0.6077,0.3923
6089,12/31/2006,0.6414,0.3586
6095,12/31/2006,0.6715,0.3285
6097,12/31/2006,0.6349,0.3651
6099,12/31/2006,0.6637,0.3363
6101,12/31/2006,0.6498,0.3502
6107,12/31/2006,0.5948,0.4052
6111,12/31/2006,0.6986,0.3014
6113,12/31/2006,0.5620,0.4380
6115,12/31/2006,0.5448,0.4552
6001,12/31/2007,0.6081,0.3919
6007,12/31/2007,0.5810,0.4190
6013,12/31/2007,0.7272,0.2728
6017,12/31/2007,0.7420,0.2580
6019,12/31/2007,0.5598,0.4402
6023,12/31/2007,0.6005,0.3995
6025,12/31/2007,0.5339,0.4661
6029,12/31/2007,0.6191,0.3809
6031,12/31/2007,0.5678,0.4322
6033,12/31/2007,0.7593,0.2407
6037,12/31/2007,0.5173,0.4827
6039,12/31/2007,0.6070,0.3930
6041,12/31/2007,0.6781,0.3219
6045,12/31/2007,0.6507,0.3493
6047,12/31/2007,0.5727,0.4273
6053,12/31/2007,0.5272,0.4728
6055,12/31/2007,0.6681,0.3319
6057,12/31/2007,0.6989,0.3011
6059,12/31/2007,0.6296,0.3704
6061,12/31/2007,0.7356,0.2644
6065,12/31/2007,0.7071,0.2929
6067,12/31/2007,0.6343,0.3657
6071,12/31/2007,0.6648,0.3352
6073,12/31/2007,0.5706,0.4294
6075,12/31/2007,0.4473,0.5527
6077,12/31/2007,0.6433,0.3567
6079,12/31/2007,0.6012,0.3988
6081,12/31/2007,0.6391,0.3609
6083,12/31/2007,0.5357,0.4643
6085,12/31/2007,0.6318,0.3682
6087,12/31/2007,0.6106,0.3894
6089,12/31/2007,0.6626,0.3374
6095,12/31/2007,0.6754,0.3246
6097,12/31/2007,0.6237,0.3763
6099,12/31/2007,0.6408,0.3592
6101,12/31/2007,0.6513,0.3487
6107,12/31/2007,0.5704,0.4296
6111,12/31/2007,0.6946,0.3054
6113,12/31/2007,0.5792,0.4208
6115,12/31/2007,0.5098,0.4902
6001,12/31/2008,0.5978,0.4022
6007,12/31/2008,0.5857,0.4143
6013,12/31/2008,0.7059,0.2941
6017,12/31/2008,0.7295,0.2705
6019,12/31/2008,0.5281,0.4719
6023,12/31/2008,0.5376,0.4624
6025,12/31/2008,0.5683,0.4317
6029,12/31/2008,0.6069,0.3931
6031,12/31/2008,0.5313,0.4687
6033,12/31/2008,0.6016,0.3984
6037,12/31/2008,0.5117,0.4883
6039,12/31/2008,0.5555,0.4445
6041,12/31/2008,0.6700,0.3300
6045,12/31/2008,0.6161,0.3839
6047,12/31/2008,0.5504,0.4496
6053,12/31/2008,0.5166,0.4834
6055,12/31/2008,0.6631,0.3369
6057,12/31/2008,0.7285,0.2715
6059,12/31/2008,0.6130,0.3870
6061,12/31/2008,0.7487,0.2513
6065,12/31/2008,0.6812,0.3188
6067,12/31/2008,0.6017,0.3983
6071,12/31/2008,0.6402,0.3598
6073,12/31/2008,0.5775,0.4225
6075,12/31/2008,0.4633,0.5367
6077,12/31/2008,0.5986,0.4014
6079,12/31/2008,0.6339,0.3661
6081,12/31/2008,0.6279,0.3721
6083,12/31/2008,0.5268,0.4732
6085,12/31/2008,0.6215,0.3785
6087,12/31/2008,0.5943,0.4057
6089,12/31/2008,0.6539,0.3461
6095,12/31/2008,0.6474,0.3526
6097,12/31/2008,0.6444,0.3556
6099,12/31/2008,0.6474,0.3526
6101,12/31/2008,0.5948,0.4052
6107,12/31/2008,0.5827,0.4173
6111,12/31/2008,0.6588,0.3412
6113,12/31/2008,0.5296,0.4704
6115,12/31/2008,0.5637,0.4363
6001,12/31/2009,0.5734,0.4266
6007,12/31/2009,0.6160,0.3840
6013,12/31/2009,0.6774,0.3226
6017,12/31/2009,0.7903,0.2097
6019,12/31/2009,0.5253,0.4747
6023,12/31/2009,0.5858,0.4142
6025,12/31/2009,0.6071,0.3929
6029,12/31/2009,0.5865,0.4135
6031,12/31/2009,0.5250,0.4750
6033,12/31/2009,0.6269,0.3731
6037,12/31/2009,0.5077,0.4923
6039,12/31/2009,0.6055,0.3945
6041,12/31/2009,0.6400,0.3600
6045,12/31/2009,0.6243,0.3757
6047,12/31/2009,0.5340,0.4660
6053,12/31/2009,0.4880,0.5120
6055,12/31/2009,0.6145,0.3855
6057,12/31/2009,0.7667,0.2333
6059,12/31/2009,0.5918,0.4082
6061,12/31/2009,0.7212,0.2788
6065,12/31/2009,0.6737,0.3263
6067,12/31/2009,0.5826,0.4174
6071,12/31/2009,0.6446,0.3554
6073,12/31/2009,0.5615,0.4385
6075,12/31/2009,0.4409,0.5591
6077,12/31/2009,0.6043,0.3957
6079,12/31/2009,0.6229,0.3771
6081,12/31/2009,0.6314,0.3686
6083,12/31/2009,0.5098,0.4902
6085,12/31/2009,0.6136,0.3864
6087,12/31/2009,0.6066,0.3934
6089,12/31/2009,0.6379,0.3621
6095,12/31/2009,0.6604,0.3396
6097,12/31/2009,0.6031,0.3969
6099,12/31/2009,0.5825,0.4175
6101,12/31/2009,0.6111,0.3889
6107,12/31/2009,0.5650,0.4350
6111,12/31/2009,0.6447,0.3553
6113,12/31/2009,0.5746,0.4254
6115,12/31/2009,0.5744,0.4256
6001,12/31/2010,0.5677,0.4323
6007,12/31/2010,0.5994,0.4006
6013,12/31/2010,0.6666,0.3334
6017,12/31/2010,0.7579,0.2421
6019,12/31/2010,0.5296,0.4704
6023,12/31/2010,0.5868,0.4132
6025,12/31/2010,0.5815,0.4185
6029,12/31/2010,0.5718,0.4282
6031,12/31/2010,0.5037,0.4963
6033,12/31/2010,0.6358,0.3642
6037,12/31/2010,0.4986,0.5014
6039,12/31/2010,0.5401,0.4599
6041,12/31/2010,0.6651,0.3349
6045,12/31/2010,0.5478,0.4522
6047,12/31/2010,0.5345,0.4655
6053,12/31/2010,0.4882,0.5118
6055,12/31/2010,0.6232,0.3768
6057,12/31/2010,0.6968,0.3032
6059,12/31/2010,0.5903,0.4097
6061,12/31/2010,0.7337,0.2663
6065,12/31/2010,0.6711,0.3289
6067,12/31/2010,0.5716,0.4284
6071,12/31/2010,0.6223,0.3777
6073,12/31/2010,0.5421,0.4579
6075,12/31/2010,0.4269,0.5731
6077,12/31/2010,0.5591,0.4409
6079,12/31/2010,0.5799,0.4201
6081,12/31/2010,0.5982,0.4018
6083,12/31/2010,0.5089,0.4911
6085,12/31/2010,0.5847,0.4153
6087,12/31/2010,0.5888,0.4112
6089,12/31/2010,0.6651,0.3349
6095,12/31/2010,0.6228,0.3772
6097,12/31/2010,0.5899,0.4101
6099,12/31/2010,0.5840,0.4160
6101,12/31/2010,0.5590,0.4410
6107,12/31/2010,0.5680,0.4320
6111,12/31/2010,0.6247,0.3753
6113,12/31/2010,0.5497,0.4503
6115,12/31/2010,0.6669,0.3331
6001,12/31/2011,0.5515,0.4485
6007,12/31/2011,0.5783,0.4217
6013,12/31/2011,0.6648,0.3352
6017,12/31/2011,0.7232,0.2768
6019,12/31/2011,0.5303,0.4697
6023,12/31/2011,0.5630,0.4370
6025,12/31/2011,0.5709,0.4291
6029,12/31/2011,0.5496,0.4504
6031,12/31/2011,0.5499,0.4501
6033,12/31/2011,0.5624,0.4376
6037,12/31/2011,0.4895,0.5105
