GeoID,Date,Median contract rent
6001,12/31/2005,987
6007,12/31/2005,660
6013,12/31/2005,1047
6017,12/31/2005,854
6019,12/31/2005,602
6023,12/31/2005,561
6025,12/31/2005,475
6029,12/31/2005,555
6031,12/31/2005,564
6033,12/31/2005,589
6037,12/31/2005,852
6039,12/31/2005,549
6041,12/31/2005,1323
6045,12/31/2005,649
6047,12/31/2005,612
6053,12/31/2005,946
6055,12/31/2005,992
6057,12/31/2005,851
6059,12/31/2005,1161
6061,12/31/2005,935
6065,12/31/2005,823
6067,12/31/2005,785
6071,12/31/2005,817
6073,12/31/2005,999
6075,12/31/2005,1068
6077,12/31/2005,755
6079,12/31/2005,936
6081,12/31/2005,1199
6083,12/31/2005,1052
6085,12/31/2005,1145
6087,12/31/2005,1109
6089,12/31/2005,610
6095,12/31/2005,989
6097,12/31/2005,974
6099,12/31/2005,697
6101,12/31/2005,668
6107,12/31/2005,508
6111,12/31/2005,1097
6113,12/31/2005,853
6115,12/31/2005,586
6001,12/31/2006,1015
6007,12/31/2006,694
6013,12/31/2006,1086
6017,12/31/2006,855
6019,12/31/2006,626
6023,12/31/2006,643
6025,12/31/2006,518
6029,12/31/2006,604
6031,12/31/2006,559
6033,12/31/2006,629
6037,12/31/2006,905
6039,12/31/2006,667
6041,12/31/2006,1383
6045,12/31/2006,750
6047,12/31/2006,658
6053,12/31/2006,950
6055,12/31/2006,998
6057,12/31/2006,966
6059,12/31/2006,1228
6061,12/31/2006,939
6065,12/31/2006,892
6067,12/31/2006,823
6071,12/31/2006,855
6073,12/31/2006,1052
6075,12/31/2006,1128
6077,12/31/2006,762
6079,12/31/2006,961
6081,12/31/2006,1251
6083,12/31/2006,1067
6085,12/31/2006,1169
6087,12/31/2006,1090
6089,12/31/2006,598
6095,12/31/2006,965
6097,12/31/2006,1045
6099,12/31/2006,715
6101,12/31/2006,665
6107,12/31/2006,536
6111,12/31/2006,1193
6113,12/31/2006,826
6115,12/31/2006,602
6001,12/31/2007,1038
6007,12/31/2007,691
6013,12/31/2007,1115
6017,12/31/2007,850
6019,12/31/2007,679
6023,12/31/2007,685
6025,12/31/2007,499
6029,12/31/2007,641
6031,12/31/2007,595
6033,12/31/2007,739
6037,12/31/2007,957
6039,12/31/2007,656
6041,12/31/2007,1363
6045,12/31/2007,727
6047,12/31/2007,662
6053,12/31/2007,989
6055,12/31/2007,1074
6057,12/31/2007,875
6059,12/31/2007,1293
6061,12/31/2007,959
6065,12/31/2007,944
6067,12/31/2007,847
6071,12/31/2007,919
6073,12/31/2007,1089
6075,12/31/2007,1141
6077,12/31/2007,801
6079,12/31/2007,990
6081,12/31/2007,1369
6083,12/31/2007,1117
6085,12/31/2007,1244
6087,12/31/2007,1094
6089,12/31/2007,651
6095,12/31/2007,1025
6097,12/31/2007,1069
6099,12/31/2007,782
6101,12/31/2007,678
6107,12/31/2007,576
6111,12/31/2007,1243
6113,12/31/2007,888
6115,12/31/2007,624
6001,12/31/2008,1122
6007,12/31/2008,726
6013,12/31/2008,1179
6017,12/31/2008,931
6019,12/31/2008,684
6023,12/31/2008,659
6025,12/31/2008,545
6029,12/31/2008,679
6031,12/31/2008,750
6033,12/31/2008,665
6037,12/31/2008,1006
6039,12/31/2008,798
6041,12/31/2008,1515
6045,12/31/2008,727
6047,12/31/2008,619
6053,12/31/2008,998
6055,12/31/2008,1056
6057,12/31/2008,877
6059,12/31/2008,1345
6061,12/31/2008,1056
6065,12/31/2008,1005
6067,12/31/2008,870
6071,12/31/2008,957
6073,12/31/2008,1132
6075,12/31/2008,1206
6077,12/31/2008,800
6079,12/31/2008,1009
6081,12/31/2008,1371
6083,12/31/2008,1200
6085,12/31/2008,1339
6087,12/31/2008,1203
6089,12/31/2008,687
6095,12/31/2008,1100
6097,12/31/2008,1078
6099,12/31/2008,789
6101,12/31/2008,681
6107,12/31/2008,617
6111,12/31/2008,1311
6113,12/31/2008,976
6115,12/31/2008,713
6001,12/31/2009,1111
6007,12/31/2009,738
6013,12/31/2009,1185
6017,12/31/2009,990
6019,12/31/2009,718
6023,12/31/2009,722
6025,12/31/2009,547
6029,12/31/2009,701
6031,12/31/2009,690
6033,12/31/2009,695
6037,12/31/2009,1049
6039,12/31/2009,721
6041,12/31/2009,1511
6045,12/31/2009,728
6047,12/31/2009,686
6053,12/31/2009,1016
6055,12/31/2009,1152
6057,12/31/2009,1042
6059,12/31/2009,1367
6061,12/31/2009,1015
6065,12/31/2009,986
6067,12/31/2009,860
6071,12/31/2009,934
6073,12/31/2009,1157
6075,12/31/2009,1312
6077,12/31/2009,859
6079,12/31/2009,1011
6081,12/31/2009,1381
6083,12/31/2009,1183
6085,12/31/2009,1349
6087,12/31/2009,1159
6089,12/31/2009,686
6095,12/31/2009,1077
6097,12/31/2009,1073
6099,12/31/2009,802
6101,12/31/2009,704
6107,12/31/2009,664
6111,12/31/2009,1301
6113,12/31/2009,946
6115,12/31/2009,688
6001,12/31/2010,1126
