GeoID,Date,Median gross rent
6001,31/12/2005,1063
6007,31/12/2005,751
6013,31/12/2005,1121
6017,31/12/2005,1001
6019,31/12/2005,710
6023,31/12/2005,647
6025,31/12/2005,578
6029,31/12/2005,663
6031,31/12/2005,687
6033,31/12/2005,683
6037,31/12/2005,918
6039,31/12/2005,661
6041,31/12/2005,1394
6045,31/12/2005,757
6047,31/12/2005,744
6053,31/12/2005,1008
6055,31/12/2005,1077
6057,31/12/2005,999
6059,31/12/2005,1232
6061,31/12/2005,1041
6065,31/12/2005,927
6067,31/12/2005,866
6071,31/12/2005,899
6073,31/12/2005,1072
6075,31/12/2005,1118
6077,31/12/2005,853
6079,31/12/2005,1003
6081,31/12/2005,1274
6083,31/12/2005,1121
6085,31/12/2005,1209
6087,31/12/2005,1202
6089,31/12/2005,761
6095,31/12/2005,1096
6097,31/12/2005,1080
6099,31/12/2005,811
6101,31/12/2005,731
6107,31/12/2005,607
6111,31/12/2005,1181
6113,31/12/2005,941
6115,31/12/2005,664
6001,31/12/2006,1095
6007,31/12/2006,783
6013,31/12/2006,1176
6017,31/12/2006,1010
6019,31/12/2006,738
6023,31/12/2006,729
6025,31/12/2006,654
6029,31/12/2006,712
6031,31/12/2006,704
6033,31/12/2006,826
6037,31/12/2006,980
6039,31/12/2006,788
6041,31/12/2006,1442
6045,31/12/2006,859
6047,31/12/2006,781
6053,31/12/2006,1012
6055,31/12/2006,1071
6057,31/12/2006,1099
6059,31/12/2006,1314
6061,31/12/2006,1053
6065,31/12/2006,1015
6067,31/12/2006,916
6071,31/12/2006,965
6073,31/12/2006,1131
6075,31/12/2006,1174
6077,31/12/2006,888
6079,31/12/2006,1044
6081,31/12/2006,1327
6083,31/12/2006,1151
6085,31/12/2006,1222
6087,31/12/2006,1168
6089,31/12/2006,742
6095,31/12/2006,1072
6097,31/12/2006,1136
6099,31/12/2006,835
6101,31/12/2006,803
6107,31/12/2006,651
6111,31/12/2006,1277
6113,31/12/2006,891
6115,31/12/2006,667
6001,31/12/2007,1110
6007,31/12/2007,818
6013,31/12/2007,1212
6017,31/12/2007,965
6019,31/12/2007,789
6023,31/12/2007,796
6025,31/12/2007,615
6029,31/12/2007,758
6031,31/12/2007,716
6033,31/12/2007,875
6037,31/12/2007,1036
6039,31/12/2007,759
6041,31/12/2007,1418
6045,31/12/2007,854
6047,31/12/2007,770
6053,31/12/2007,1061
6055,31/12/2007,1152
6057,31/12/2007,1077
6059,31/12/2007,1372
6061,31/12/2007,1094
6065,31/12/2007,1066
6067,31/12/2007,936
6071,31/12/2007,1029
6073,31/12/2007,1168
6075,31/12/2007,1192
6077,31/12/2007,902
6079,31/12/2007,1071
6081,31/12/2007,1445
6083,31/12/2007,1205
6085,31/12/2007,1324
6087,31/12/2007,1159
6089,31/12/2007,788
6095,31/12/2007,1118
6097,31/12/2007,1171
6099,31/12/2007,914
6101,31/12/2007,819
6107,31/12/2007,697
6111,31/12/2007,1326
6113,31/12/2007,976
6115,31/12/2007,695
6001,31/12/2008,1192
6007,31/12/2008,832
6013,31/12/2008,1254
6017,31/12/2008,1048
6019,31/12/2008,797
6023,31/12/2008,782
6025,31/12/2008,646
6029,31/12/2008,801
6031,31/12/2008,875
6033,31/12/2008,830
6037,31/12/2008,1103
6039,31/12/2008,904
6041,31/12/2008,1565
6045,31/12/2008,871
6047,31/12/2008,711
6053,31/12/2008,1067
6055,31/12/2008,1175
6057,31/12/2008,978
6059,31/12/2008,1420
6061,31/12/2008,1183
6065,31/12/2008,1147
6067,31/12/2008,976
6071,31/12/2008,1070
6073,31/12/2008,1207
6075,31/12/2008,1262
6077,31/12/2008,935
6079,31/12/2008,1118
6081,31/12/2008,1437
6083,31/12/2008,1250
6085,31/12/2008,1413
6087,31/12/2008,1326
6089,31/12/2008,865
6095,31/12/2008,1216
6097,31/12/2008,1183
6099,31/12/2008,921
6101,31/12/2008,782
6107,31/12/2008,727
6111,31/12/2008,1404
6113,31/12/2008,1070
6115,31/12/2008,833
6001,31/12/2009,1185
6007,31/12/2009,812
6013,31/12/2009,1272
6017,31/12/2009,1113
6019,31/12/2009,830
6023,31/12/2009,817
6025,31/12/2009,660
6029,31/12/2009,839
6031,31/12/2009,852
6033,31/12/2009,820
6037,31/12/2009,1136
6039,31/12/2009,826
6041,31/12/2009,1591
6045,31/12/2009,799
6047,31/12/2009,808
6053,31/12/2009,1112
6055,31/12/2009,1233
6057,31/12/2009,1186
6059,31/12/2009,1439
6061,31/12/2009,1154
6065,31/12/2009,1121
6067,31/12/2009,970
6071,31/12/2009,1046
6073,31/12/2009,1224
6075,31/12/2009,1363
6077,31/12/2009,998
6079,31/12/2009,1125
6081,31/12/2009,1448
6083,31/12/2009,1271
6085,31/12/2009,1421
6087,31/12/2009,1261
6089,31/12/2009,847
6095,31/12/2009,1193
6097,31/12/2009,1183
6099,31/12/2009,941
6101,31/12/2009,823
6107,31/12/2009,796
6111,31/12/2009,1397
6113,31/12/2009,1026
6115,31/12/2009,811
6001,31/12/2010,1198
6007,31/12/2010,862
6013,31/12/2010,1283
6017,31/12/2010,1098
6019,31/12/2010,825
6023,31/12/2010,810
6025,31/12/2010,733
6029,31/12/2010,821
6031,31/12/2010,824
6033,31/12/2010,842
6037,31/12/2010,1147
6039,31/12/2010,877
6041,31/12/2010,1510
6045,31/12/2010,952
6047,31/12/2010,807
6053,31/12/2010,1157
6055,31/12/2010,1186
6057,31/12/2010,976
6059,31/12/2010,1402
6061,31/12/2010,1114
6065,31/12/2010,1121
6067,31/12/2010,980
6071,31/12/2010,1035
6073,31/12/2010,1249
6075,31/12/2010,1385
6077,31/12/2010,995
6079,31/12/2010,1137
6081,31/12/2010,1447
6083,31/12/2010,1267
6085,31/12/2010,1418
6087,31/12/2010,1284
6089,31/12/2010,885
6095,31/12/2010,1201
6097,31/12/2010,1204
6099,31/12/2010,978
6101,31/12/2010,791
6107,31/12/2010,798
6111,31/12/2010,1381
6113,31/12/2010,1056
6115,31/12/2010,807
6001,31/12/2011,1244
6007,31/12/2011,827
6013,31/12/2011,1279
6017,31/12/2011,993
6019,31/12/2011,857
6023,31/12/2011,876
6025,31/12/2011,713
6029,31/12/2011,839
6031,31/12/2011,916
6033,31/12/2011,945
6037,31/12/2011,1161
6039,31/12/2011,787
6041,31/12/2011,1480
6045,31/12/2011,1019
6047,31/12/2011,814
6053,31/12/2011,1164
6055,31/12/2011,1316
6057,31/12/2011,1095
6059,31/12/2011,1430
6061,31/12/2011,1180
6065,31/12/2011,1101
6067,31/12/2011,986
6071,31/12/2011,1056
6073,31/12/2011,1237
6075,31/12/2011,1407
6077,31/12/2011,964
6079,31/12/2011,1206
6081,31/12/2011,1549
6083,31/12/2011,1265
6085,31/12/2011,1462
6087,31/12/2011,1358
6089,31/12/2011,877
6095,31/12/2011,1188
6097,31/12/2011,1189
6099,31/12/2011,939
6101,31/12/2011,837
6107,31/12/2011,762
6111,31/12/2011,1382
6113,31/12/2011,987
6115,31/12/2011,770
6001,31/12/2012,1265
6007,31/12/2012,891
6013,31/12/2012,1344
6017,31/12/2012,1093
6019,31/12/2012,858
6023,31/12/2012,847
6025,31/12/2012,726
6029,31/12/2012,872
6031,31/12/2012,795
6033,31/12/2012,799
6037,31/12/2012,1175
6039,31/12/2012,883
6041,31/12/2012,1574
6045,31/12/2012,874
6047,31/12/2012,834
6053,31/12/2012,1185
6055,31/12/2012,1276
6057,31/12/2012,1245
6059,31/12/2012,1465
6061,31/12/2012,1254
6065,31/12/2012,1129
6067,31/12/2012,984
6071,31/12/2012,1064
6073,31/12/2012,1253
6075,31/12/2012,1512
6077,31/12/2012,986
6079,31/12/2012,1183
6081,31/12/2012,1587
6083,31/12/2012,1324
6085,31/12/2012,1566
6087,31/12/2012,1474
6089,31/12/2012,913
