GeoID,Date,Total: - Less than 10.0 percent,Total: - 10.0 to 14.9 percent,Total: - 15.0 to 19.9 percent,Total: - 20.0 to 24.9 percent,Total: - 25.0 to 29.9 percent,Total: - 30.0 to 34.9 percent,Total: - 35.0 to 39.9 percent,Total: - 40.0 to 49.9 percent,Total: - 50.0 percent or more,Total: - Not computed
6001,12/31/2013,0.0285,0.0761,0.1112,0.1200,0.1113,0.0980,0.0601,0.0889,0.2612,0.0448
6007,12/31/2013,0.0340,0.0705,0.0786,0.0876,0.0853,0.0943,0.0686,0.1017,0.3072,0.0722
6013,12/31/2013,0.0217,0.0618,0.1109,0.1229,0.1189,0.0911,0.0716,0.0999,0.2628,0.0386
6017,12/31/2013,0.0321,0.0461,0.0626,0.1664,0.0905,0.0667,0.0654,0.0986,0.2315,0.1402
6019,12/31/2013,0.0305,0.0713,0.0864,0.1020,0.0978,0.0800,0.0631,0.1075,0.2976,0.0637
6023,12/31/2013,0.0370,0.0633,0.0947,0.1141,0.0686,0.0703,0.0355,0.1179,0.3091,0.0894
6025,12/31/2013,0.0434,0.0588,0.1318,0.1392,0.0855,0.0787,0.0804,0.0773,0.2442,0.0608
6029,12/31/2013,0.0303,0.0737,0.1069,0.0996,0.1083,0.0836,0.0750,0.0918,0.2726,0.0582
6031,12/31/2013,0.0245,0.0435,0.1429,0.1360,0.1162,0.0857,0.0839,0.0899,0.2063,0.0710
6033,12/31/2013,0.0006,0.0366,0.0564,0.0811,0.1025,0.0564,0.0846,0.1255,0.3667,0.0897
6037,12/31/2013,0.0232,0.0548,0.0961,0.1052,0.1034,0.0909,0.0706,0.0980,0.3107,0.0470
6039,12/31/2013,0.0348,0.0695,0.0943,0.0737,0.1459,0.0933,0.0880,0.1183,0.1817,0.1006
6041,12/31/2013,0.0452,0.0724,0.0875,0.1513,0.1019,0.0849,0.0714,0.0945,0.2415,0.0495
6045,12/31/2013,0.0597,0.0518,0.0575,0.1319,0.0964,0.0683,0.0705,0.0705,0.2832,0.1102
6047,12/31/2013,0.0248,0.0671,0.0778,0.1218,0.1439,0.0698,0.0719,0.0813,0.2810,0.0607
6053,12/31/2013,0.0217,0.0470,0.0856,0.1217,0.1269,0.0886,0.0671,0.1234,0.2680,0.0498
6055,12/31/2013,0.0192,0.0449,0.0821,0.1661,0.0994,0.1466,0.0555,0.0587,0.2653,0.0622
6057,12/31/2013,0.0174,0.0300,0.0931,0.1042,0.0955,0.0452,0.0771,0.1101,0.2722,0.1551
6059,12/31/2013,0.0221,0.0440,0.0959,0.1179,0.1174,0.0857,0.0682,0.1066,0.2945,0.0476
6061,12/31/2013,0.0264,0.0559,0.0894,0.1424,0.1387,0.0999,0.0509,0.1014,0.2474,0.0475
6065,12/31/2013,0.0163,0.0394,0.0876,0.1057,0.1070,0.0974,0.0730,0.1094,0.3080,0.0561
6067,12/31/2013,0.0288,0.0683,0.1060,0.1110,0.1081,0.0823,0.0690,0.1030,0.2748,0.0486
6071,12/31/2013,0.0188,0.0546,0.0959,0.1123,0.1050,0.0844,0.0736,0.1018,0.2873,0.0663
6073,12/31/2013,0.0185,0.0542,0.0971,0.1203,0.1155,0.0945,0.0707,0.1047,0.2666,0.0578
6075,12/31/2013,0.0665,0.1136,0.1139,0.1225,0.1127,0.0810,0.0609,0.0861,0.1997,0.0432
6077,12/31/2013,0.0152,0.0591,0.0894,0.1205,0.1084,0.0679,0.0757,0.1055,0.2962,0.0620
6079,12/31/2013,0.0258,0.0523,0.1027,0.1185,0.0804,0.0960,0.0641,0.0952,0.2974,0.0677
6081,12/31/2013,0.0242,0.0751,0.1234,0.1278,0.1299,0.0828,0.0770,0.0912,0.2329,0.0359
6083,12/31/2013,0.0157,0.0580,0.1006,0.0840,0.1257,0.1208,0.0582,0.0865,0.2980,0.0524
6085,12/31/2013,0.0415,0.0946,0.1287,0.1203,0.1085,0.0799,0.0671,0.0846,0.2407,0.0341
6087,12/31/2013,0.0319,0.0313,0.0488,0.1068,0.1126,0.0858,0.0856,0.0767,0.3665,0.0541
6089,12/31/2013,0.0184,0.0627,0.0849,0.1162,0.0830,0.0913,0.0454,0.1158,0.3206,0.0616
6095,12/31/2013,0.0085,0.0615,0.0873,0.1109,0.1205,0.0849,0.0876,0.1146,0.2794,0.0448
6097,12/31/2013,0.0341,0.0601,0.0749,0.0927,0.1437,0.0957,0.0668,0.0921,0.2893,0.0507
6099,12/31/2013,0.0210,0.0489,0.0970,0.1205,0.0790,0.1007,0.0740,0.0870,0.3124,0.0596
6101,12/31/2013,0.0251,0.0702,0.0806,0.1139,0.0756,0.1263,0.1134,0.0781,0.2749,0.0420
6107,12/31/2013,0.0373,0.0462,0.1015,0.1047,0.1138,0.0804,0.0753,0.1048,0.2803,0.0557
6111,12/31/2013,0.0278,0.0524,0.0996,0.1183,0.0936,0.1074,0.0736,0.1120,0.2686,0.0468
6113,12/31/2013,0.0220,0.0493,0.1059,0.1036,0.1312,0.0658,0.0680,0.0671,0.2903,0.0969
6115,12/31/2013,0.0039,0.0422,0.0614,0.1171,0.0901,0.0993,0.0668,0.1732,0.2874,0.0586
6001,12/31/2012,0.0256,0.0637,0.1063,0.1431,0.1135,0.0893,0.0630,0.0803,0.2727,0.0424
6007,12/31/2012,0.0180,0.0543,0.0644,0.1126,0.0941,0.0831,0.0783,0.0918,0.3332,0.0702
6013,12/31/2012,0.0167,0.0685,0.1063,0.1140,0.1135,0.0928,0.0786,0.0991,0.2669,0.0436
6017,12/31/2012,0.0095,0.0497,0.1469,0.1240,0.1189,0.1012,0.0773,0.0481,0.2603,0.0641
