GeoID,Date,Median gross rent as a percentage of household income
6001,31/12/2013,31.6000
6007,31/12/2013,36.0000
6013,31/12/2013,32.4000
6017,31/12/2013,32.4000
6019,31/12/2013,35.0000
6023,31/12/2013,36.0000
6025,31/12/2013,30.7000
6029,31/12/2013,33.1000
6031,31/12/2013,30.1000
6033,31/12/2013,43.0000
6037,31/12/2013,35.2000
6039,31/12/2013,31.7000
6041,31/12/2013,31.0000
6045,31/12/2013,33.5000
6047,31/12/2013,32.5000
6053,31/12/2013,34.1000
6055,31/12/2013,32.0000
6057,31/12/2013,37.4000
6059,31/12/2013,34.6000
6061,31/12/2013,31.2000
6065,31/12/2013,36.3000
6067,31/12/2013,33.2000
6071,31/12/2013,34.8000
6073,31/12/2013,33.5000
6075,31/12/2013,27.7000
6077,31/12/2013,35.6000
6079,31/12/2013,34.5000
6081,31/12/2013,30.1000
6083,31/12/2013,33.7000
6085,31/12/2013,29.5000
6087,31/12/2013,38.3000
6089,31/12/2013,36.4000
6095,31/12/2013,35.2000
6097,31/12/2013,33.6000
6099,31/12/2013,35.2000
6101,31/12/2013,34.5000
6107,31/12/2013,34.3000
6111,31/12/2013,34.0000
6113,31/12/2013,33.0000
6115,31/12/2013,39.2000
6001,31/12/2012,31.5000
6007,31/12/2012,37.5000
6013,31/12/2012,33.2000
6017,31/12/2012,30.9000
6019,31/12/2012,35.2000
6023,31/12/2012,38.3000
6025,31/12/2012,34.4000
6029,31/12/2012,33.5000
6031,31/12/2012,29.5000
6033,31/12/2012,39.9000
6037,31/12/2012,35.5000
6039,31/12/2012,37.3000
6041,31/12/2012,32.3000
6045,31/12/2012,37.8000
6047,31/12/2012,33.7000
6053,31/12/2012,33.4000
6055,31/12/2012,30.7000
6057,31/12/2012,33.6000
6059,31/12/2012,33.9000
6061,31/12/2012,32.6000
6065,31/12/2012,35.6000
6067,31/12/2012,34.5000
6071,31/12/2012,36.5000
6073,31/12/2012,34.0000
6075,31/12/2012,29.1000
6077,31/12/2012,35.0000
6079,31/12/2012,32.6000
6081,31/12/2012,31.6000
6083,31/12/2012,34.6000
6085,31/12/2012,29.1000
6087,31/12/2012,32.4000
6089,31/12/2012,35.3000
6095,31/12/2012,34.4000
6097,31/12/2012,34.2000
6099,31/12/2012,36.4000
6101,31/12/2012,33.4000
6107,31/12/2012,34.7000
6111,31/12/2012,36.8000
6113,31/12/2012,35.2000
6115,31/12/2012,37.3000
6001,31/12/2011,31.6000
6007,31/12/2011,36.3000
6013,31/12/2011,33.7000
