GeoID,Date,Median value (dollars)
6001,12/31/2005,597700
6007,12/31/2005,262300
6013,12/31/2005,590200
6017,12/31/2005,497800
6019,12/31/2005,251000
6023,12/31/2005,300700
6025,12/31/2005,182000
6029,12/31/2005,210700
6031,12/31/2005,188800
6033,12/31/2005,255300
6037,12/31/2005,480300
6039,12/31/2005,308400
6041,12/31/2005,868200
6045,12/31/2005,385000
6047,12/31/2005,305300
6053,12/31/2005,645700
6055,12/31/2005,603900
6057,12/31/2005,440100
6059,12/31/2005,623600
6061,12/31/2005,492000
6065,12/31/2005,371600
6067,12/31/2005,365500
6071,12/31/2005,322400
6073,12/31/2005,552000
6075,12/31/2005,726700
6077,12/31/2005,379600
6079,12/31/2005,529500
6081,12/31/2005,763100
6083,12/31/2005,646300
6085,12/31/2005,681700
6087,12/31/2005,694100
6089,12/31/2005,240200
6095,12/31/2005,454600
6097,12/31/2005,601700
6099,12/31/2005,347100
6101,12/31/2005,286600
6107,12/31/2005,202400
6111,12/31/2005,602700
6113,12/31/2005,434900
6115,12/31/2005,247000
6001,12/31/2006,646800
6007,12/31/2006,273700
6013,12/31/2006,641900
6017,12/31/2006,515100
6019,12/31/2006,301400
6023,12/31/2006,336000
6025,12/31/2006,245100
6029,12/31/2006,255100
6031,12/31/2006,228000
6033,12/31/2006,317800
6037,12/31/2006,574100
6039,12/31/2006,336500
6041,12/31/2006,901900
6045,12/31/2006,457400
6047,12/31/2006,359300
6053,12/31/2006,685100
6055,12/31/2006,657300
6057,12/31/2006,478400
6059,12/31/2006,676000
6061,12/31/2006,507900
6065,12/31/2006,414000
6067,12/31/2006,389200
6071,12/31/2006,378100
6073,12/31/2006,572000
6075,12/31/2006,806700
6077,12/31/2006,427000
6079,12/31/2006,581000
6081,12/31/2006,814700
6083,12/31/2006,685700
6085,12/31/2006,743000
6087,12/31/2006,717100
6089,12/31/2006,290500
6095,12/31/2006,489600
6097,12/31/2006,618500
6099,12/31/2006,371700
6101,12/31/2006,335300
6107,12/31/2006,232100
6111,12/31/2006,648000
6113,12/31/2006,455700
6115,12/31/2006,286400
6001,12/31/2007,651800
6007,12/31/2007,288100
6013,12/31/2007,622200
6017,12/31/2007,506500
6019,12/31/2007,296300
6023,12/31/2007,321000
6025,12/31/2007,247000
6029,12/31/2007,256800
6031,12/31/2007,240700
6033,12/31/2007,301800
6037,12/31/2007,589100
6039,12/31/2007,332200
6041,12/31/2007,918700
6045,12/31/2007,469000
6047,12/31/2007,323700
6053,12/31/2007,658700
6055,12/31/2007,643400
6057,12/31/2007,477900
6059,12/31/2007,670600
6061,12/31/2007,483700
6065,12/31/2007,406300
6067,12/31/2007,370600
6071,12/31/2007,387000
6073,12/31/2007,556500
6075,12/31/2007,830700
6077,12/31/2007,399500
6079,12/31/2007,578900
6081,12/31/2007,843100
6083,12/31/2007,641800
6085,12/31/2007,758100
6087,12/31/2007,756800
6089,12/31/2007,255500
6095,12/31/2007,479500
6097,12/31/2007,613900
6099,12/31/2007,358500
6101,12/31/2007,292700
6107,12/31/2007,235100
6111,12/31/2007,641300
6113,12/31/2007,444100
6115,12/31/2007,284100
6001,12/31/2008,606700
6007,12/31/2008,276900
6013,12/31/2008,548600
6017,12/31/2008,446600
6019,12/31/2008,261900
6023,12/31/2008,321200
6025,12/31/2008,214100
6029,12/31/2008,222400
6031,12/31/2008,226300
6033,12/31/2008,256600
6037,12/31/2008,525100
6039,12/31/2008,292500
6041,12/31/2008,922600
6045,12/31/2008,414000
6047,12/31/2008,239800
6053,12/31/2008,535700
6055,12/31/2008,608100
6057,12/31/2008,450000
6059,12/31/2008,616400
6061,12/31/2008,416700
6065,12/31/2008,329600
6067,12/31/2008,312400
6071,12/31/2008,331400
6073,12/31/2008,482900
6075,12/31/2008,824300
6077,12/31/2008,311300
6079,12/31/2008,532600
6081,12/31/2008,820400
6083,12/31/2008,557400
6085,12/31/2008,729000
6087,12/31/2008,660400
6089,12/31/2008,279400
6095,12/31/2008,388800
6097,12/31/2008,518700
6099,12/31/2008,276100
6101,12/31/2008,265700
6107,12/31/2008,223700
6111,12/31/2008,566200
6113,12/31/2008,388200
6115,12/31/2008,219700
6001,12/31/2009,507400
6007,12/31/2009,245100
6013,12/31/2009,424500
6017,12/31/2009,399800
6019,12/31/2009,221700
6023,12/31/2009,303900
6025,12/31/2009,160300
6029,12/31/2009,177800
6031,12/31/2009,204800
6033,12/31/2009,252500
6037,12/31/2009,441400
6039,12/31/2009,226500
6041,12/31/2009,820200
6045,12/31/2009,369800
6047,12/31/2009,157500
6053,12/31/2009,402700
6055,12/31/2009,456100
6057,12/31/2009,413900
6059,12/31/2009,530400
6061,12/31/2009,369400
6065,12/31/2009,247200
6067,12/31/2009,257800
6071,12/31/2009,242000
6073,12/31/2009,417700
6075,12/31/2009,751600
6077,12/31/2009,221600
6079,12/31/2009,460300
6081,12/31/2009,731800
6083,12/31/2009,553900
6085,12/31/2009,645500
6087,12/31/2009,590800
6089,12/31/2009,243300
6095,12/31/2009,297300
6097,12/31/2009,446700
6099,12/31/2009,196800
6101,12/31/2009,199600
6107,12/31/2009,175400
6111,12/31/2009,475900
6113,12/31/2009,337700
6115,12/31/2009,180700
6001,12/31/2010,497200
6007,12/31/2010,233800
6013,12/31/2010,416000
6017,12/31/2010,376600
6019,12/31/2010,212500
6023,12/31/2010,294100
6025,12/31/2010,154100
6029,12/31/2010,164200
