GeoID,Date,"Housing units with a mortgage, contract to purchase, or similar debt:","Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Housing units without a mortgage
6001,31/12/2005,0.7825,0.2401,0.0503,0.1898,0.0146,0.5278,0.2175
6007,31/12/2005,0.6458,0.1948,0.0306,0.1642,0.0082,0.4428,0.3542
6013,31/12/2005,0.7925,0.2734,0.0631,0.2104,0.0117,0.5074,0.2075
6017,31/12/2005,0.7446,0.2342,0.0516,0.1826,0.0079,0.5024,0.2554
6019,31/12/2005,0.7337,0.1697,0.0495,0.1202,0.0128,0.5512,0.2663
6023,31/12/2005,0.5982,0.1632,0.0249,0.1383,0.0238,0.4112,0.4018
6025,31/12/2005,0.6624,0.0719,0.0356,0.0364,0.0177,0.5728,0.3376
6029,31/12/2005,0.7296,0.1507,0.0458,0.1049,0.0055,0.5734,0.2704
6031,31/12/2005,0.6986,0.1255,0.0397,0.0859,0.0060,0.5670,0.3014
6033,31/12/2005,0.5984,0.0804,0.0246,0.0558,0.0212,0.4968,0.4016
6037,31/12/2005,0.7733,0.2015,0.0492,0.1522,0.0163,0.5555,0.2267
6039,31/12/2005,0.7033,0.1796,0.0542,0.1254,0.0075,0.5161,0.2967
6041,31/12/2005,0.7409,0.2676,0.0214,0.2462,0.0095,0.4638,0.2591
6045,31/12/2005,0.5619,0.1470,0.0376,0.1095,0.0100,0.4048,0.4381
6047,31/12/2005,0.7141,0.1265,0.0370,0.0895,0.0195,0.5681,0.2859
6053,31/12/2005,0.7343,0.2114,0.0312,0.1802,0.0122,0.5107,0.2657
6055,31/12/2005,0.7054,0.2330,0.0396,0.1934,0.0050,0.4675,0.2946
6057,31/12/2005,0.6692,0.2425,0.0349,0.2076,0.0052,0.4215,0.3308
6059,31/12/2005,0.7835,0.2342,0.0400,0.1943,0.0125,0.5367,0.2165
6061,31/12/2005,0.7707,0.2911,0.0602,0.2309,0.0123,0.4673,0.2293
6065,31/12/2005,0.7672,0.2176,0.0679,0.1497,0.0140,0.5356,0.2328
6067,31/12/2005,0.7759,0.2346,0.0574,0.1772,0.0156,0.5257,0.2241
6071,31/12/2005,0.7877,0.1643,0.0459,0.1184,0.0139,0.6095,0.2123
6073,31/12/2005,0.7657,0.2340,0.0411,0.1930,0.0116,0.5200,0.2343
6075,31/12/2005,0.6979,0.1871,0.0247,0.1624,0.0074,0.5033,0.3021
6077,31/12/2005,0.7811,0.1967,0.0574,0.1393,0.0110,0.5734,0.2189
6079,31/12/2005,0.7125,0.2170,0.0428,0.1743,0.0101,0.4853,0.2875
6081,31/12/2005,0.7407,0.2567,0.0408,0.2159,0.0101,0.4739,0.2593
6083,31/12/2005,0.7082,0.2414,0.0285,0.2130,0.0119,0.4549,0.2918
6085,31/12/2005,0.7721,0.2400,0.0448,0.1952,0.0188,0.5134,0.2279
6087,31/12/2005,0.7239,0.2783,0.0349,0.2434,0.0119,0.4336,0.2761
6089,31/12/2005,0.6685,0.1883,0.0479,0.1404,0.0120,0.4682,0.3315
6095,31/12/2005,0.8158,0.2588,0.0713,0.1875,0.0098,0.5471,0.1842
6097,31/12/2005,0.7469,0.2498,0.0497,0.2001,0.0085,0.4887,0.2531
6099,31/12/2005,0.7606,0.2027,0.0612,0.1415,0.0113,0.5467,0.2394
6101,31/12/2005,0.7019,0.2332,0.0814,0.1518,0.0034,0.4653,0.2981
6107,31/12/2005,0.7175,0.1603,0.0551,0.1052,0.0171,0.5401,0.2825
6111,31/12/2005,0.7961,0.2593,0.0493,0.2099,0.0198,0.5170,0.2039
6113,31/12/2005,0.7325,0.2474,0.0701,0.1773,0.0172,0.4679,0.2675
6115,31/12/2005,0.6485,0.1436,0.0435,0.1001,0.0038,0.5011,0.3515
6001,31/12/2006,0.7838,0.2750,0.0506,0.2244,0.0175,0.4913,0.2162
6007,31/12/2006,0.6381,0.1924,0.0405,0.1519,0.0049,0.4408,0.3619
6013,31/12/2006,0.8010,0.2836,0.0588,0.2247,0.0157,0.5017,0.1990
6017,31/12/2006,0.7802,0.2891,0.0663,0.2228,0.0108,0.4803,0.2198
6019,31/12/2006,0.7497,0.1898,0.0442,0.1456,0.0201,0.5398,0.2503
6023,31/12/2006,0.5981,0.1665,0.0278,0.1387,0.0104,0.4213,0.4019
6025,31/12/2006,0.7064,0.0981,0.0467,0.0514,0.0157,0.5927,0.2936
6029,31/12/2006,0.7593,0.2014,0.0664,0.1351,0.0074,0.5505,0.2407
6031,31/12/2006,0.7454,0.2111,0.0697,0.1414,0.0232,0.5110,0.2546
6033,31/12/2006,0.5884,0.1171,0.0430,0.0741,0.0084,0.4629,0.4116
6037,31/12/2006,0.7791,0.2229,0.0554,0.1675,0.0187,0.5376,0.2209
6039,31/12/2006,0.7219,0.1449,0.0438,0.1011,0.0141,0.5629,0.2781
6041,31/12/2006,0.7273,0.2728,0.0488,0.2240,0.0155,0.4390,0.2727
6045,31/12/2006,0.5876,0.0978,0.0266,0.0712,0.0096,0.4802,0.4124
6047,31/12/2006,0.7013,0.1394,0.0376,0.1018,0.0291,0.5328,0.2987
6053,31/12/2006,0.7279,0.2470,0.0521,0.1949,0.0182,0.4627,0.2721
6055,31/12/2006,0.6922,0.2421,0.0617,0.1804,0.0043,0.4457,0.3078
