GeoID,Date,Total:,Housing units with a mortgage,Housing units without a mortgage
6001,12/31/05,0.262,0.299,0.108
6007,12/31/05,0.214,0.265,0.129
6013,12/31/05,0.269,0.298,0.116
6017,12/31/05,0.238,0.274,0.125
6019,12/31/05,0.226,0.258,0.118
6023,12/31/05,0.202,0.26,0.105
6025,12/31/05,0.212,0.269,0.103
6029,12/31/05,0.224,0.256,0.131
6031,12/31/05,0.225,0.267,0.097
6033,12/31/05,0.237,0.291,0.137
6037,12/31/05,0.264,0.302,0.114
6039,12/31/05,0.222,0.259,0.122
6041,12/31/05,0.257,0.305,0.098
6045,12/31/05,0.225,0.305,0.118
6047,12/31/05,0.252,0.294,0.11
6053,12/31/05,0.269,0.33,0.095
6055,12/31/05,0.26,0.299,0.155
6057,12/31/05,0.249,0.295,0.13
6059,12/31/05,0.254,0.288,0.098
6061,12/31/05,0.253,0.29,0.134
6065,12/31/05,0.265,0.298,0.125
6067,12/31/05,0.249,0.279,0.108
6071,12/31/05,0.254,0.279,0.127
6073,12/31/05,0.261,0.298,0.113
6075,12/31/05,0.249,0.306,0.111
6077,12/31/05,0.254,0.292,0.121
6079,12/31/05,0.259,0.305,0.117
6081,12/31/05,0.256,0.306,0.113
6083,12/31/05,0.255,0.299,0.12
6085,12/31/05,0.252,0.291,0.096
6087,12/31/05,0.248,0.294,0.122
6089,12/31/05,0.218,0.259,0.108
6095,12/31/05,0.269,0.292,0.123
6097,12/31/05,0.276,0.318,0.13
6099,12/31/05,0.257,0.296,0.125
6101,12/31/05,0.22,0.261,0.104
6107,12/31/05,0.221,0.261,0.116
6111,12/31/05,0.251,0.282,0.121
6113,12/31/05,0.238,0.273,0.112
6115,12/31/05,0.199,0.274,0.083
6001,12/31/06,0.27,0.308,0.112
6007,12/31/06,0.226,0.268,0.125
6013,12/31/06,0.281,0.32,0.116
6017,12/31/06,0.266,0.298,0.122
6019,12/31/06,0.237,0.277,0.122
6023,12/31/06,0.213,0.284,0.094
6025,12/31/06,0.251,0.311,0.122
6029,12/31/06,0.239,0.272,0.122
6031,12/31/06,0.209,0.248,0.089
6033,12/31/06,0.257,0.348,0.152
6037,12/31/06,0.278,0.32,0.116
6039,12/31/06,0.252,0.292,0.148
6041,12/31/06,0.261,0.314,0.127
6045,12/31/06,0.247,0.338,0.139
6047,12/31/06,0.259,0.32,0.125
