GeoID,Date,Total:,Total: - Median household income for units with a mortgage,Total: - Median household for units without a mortgage
6001,12/31/2005,84733,94195,50156
6007,12/31/2005,54360,65598,33533
6013,12/31/2005,87265,95661,50202
6017,12/31/2005,72402,85465,42382
6019,12/31/2005,58268,65372,36411
6023,12/31/2005,50477,65627,30493
6025,12/31/2005,51898,60583,32466
6029,12/31/2005,51474,61353,30819
6031,12/31/2005,50735,55002,40854
6033,12/31/2005,44490,54467,27609
6037,12/31/2005,70200,78623,42928
6039,12/31/2005,58237,65379,40606
6041,12/31/2005,98921,112627,60535
6045,12/31/2005,48631,69102,32588
6047,12/31/2005,52513,58909,34543
6053,12/31/2005,73368,81651,52700
6055,12/31/2005,73669,87347,37368
6057,12/31/2005,60524,73056,36591
6059,12/31/2005,84248,94101,48516
6061,12/31/2005,76076,87541,44271
6065,12/31/2005,65103,73177,36310
6067,12/31/2005,67613,74470,40500
6071,12/31/2005,62198,69072,32128
6073,12/31/2005,75947,85612,42510
6075,12/31/2005,83778,101613,50291
6077,12/31/2005,65777,73523,38508
6079,12/31/2005,62338,71225,37187
6081,12/31/2005,93079,105715,53482
6083,12/31/2005,74189,87975,43043
6085,12/31/2005,100705,109495,58073
6087,12/31/2005,83696,96554,45295
6089,12/31/2005,54867,65694,35983
6095,12/31/2005,78227,84768,40036
6097,12/31/2005,72036,84787,41641
6099,12/31/2005,59695,66137,35937
6101,12/31/2005,61055,72567,40095
6107,12/31/2005,50510,56206,33806
6111,12/31/2005,81320,91707,40822
6113,12/31/2005,71205,82526,43044
6115,12/31/2005,51254,58537,40640
6001,12/31/2006,88984,100887,50579
6007,12/31/2006,54449,65352,33110
6013,12/31/2006,89500,97856,51615
6017,12/31/2006,83557,93750,45367
6019,12/31/2006,61567,69418,39927
6023,12/31/2006,54448,60709,41452
6025,12/31/2006,49787,54197,35676
6029,12/31/2006,57885,67682,35493
6031,12/31/2006,60337,67133,43788
6033,12/31/2006,45299,53968,30484
6037,12/31/2006,74725,83015,44450
6039,12/31/2006,51159,58205,28454
6041,12/31/2006,101121,112738,61472
6045,12/31/2006,44551,60079,31901
6047,12/31/2006,54255,60505,37703
6053,12/31/2006,74248,81589,47102
6055,12/31/2006,79775,91214,48930
6057,12/31/2006,58609,74412,35391
6059,12/31/2006,89191,99375,51121
6061,12/31/2006,84678,95419,50531
6065,12/31/2006,64536,74286,37320
6067,12/31/2006,71721,78479,44497
6071,12/31/2006,64559,72264,34564
6073,12/31/2006,78150,87826,42999
6075,12/31/2006,98054,113920,56529
6077,12/31/2006,68878,78635,39741
6079,12/31/2006,65603,75841,46486
6081,12/31/2006,98236,110594,55065
6083,12/31/2006,71105,84100,44588
6085,12/31/2006,102579,113554,57633
6087,12/31/2006,85000,99096,48445
6089,12/31/2006,53730,63302,35684
6095,12/31/2006,78816,83451,47485
6097,12/31/2006,78200,87131,44674
6099,12/31/2006,62625,68182,40044
6101,12/31/2006,67165,73862,34024
6107,12/31/2006,54256,60964,40012
6111,12/31/2006,86626,96304,45533
6113,12/31/2006,78200,86301,55144
6115,12/31/2006,57193,69924,23160
6001,12/31/2007,94228,103188,52080
6007,12/31/2007,51852,63336,31825
6013,12/31/2007,93160,102029,52279
6017,12/31/2007,81115,92040,46312
6019,12/31/2007,66070,73569,44137
6023,12/31/2007,47852,63064,31765
6025,12/31/2007,53606,62841,29571
6029,12/31/2007,60623,67189,36573
6031,12/31/2007,62490,70953,30004
6033,12/31/2007,46915,67464,30370
6037,12/31/2007,78567,86738,48684
6039,12/31/2007,63552,70184,39756
6041,12/31/2007,107269,122288,66434
6045,12/31/2007,54257,74268,35809
6047,12/31/2007,61400,68564,40611
6053,12/31/2007,75745,82993,56501
6055,12/31/2007,80089,99889,42492
6057,12/31/2007,63752,71212,52692
6059,12/31/2007,93249,104361,53416
6061,12/31/2007,84236,94030,46324
6065,12/31/2007,70155,79552,39221
6067,12/31/2007,75367,82837,47087
6071,12/31/2007,69297,76758,38539
6073,12/31/2007,82944,92965,46100
6075,12/31/2007,101558,123915,51348
6077,12/31/2007,69290,79794,42163
6079,12/31/2007,78792,90715,47308
6081,12/31/2007,102243,115394,62313
6083,12/31/2007,80274,92996,50065
6085,12/31/2007,108924,119383,68930
6087,12/31/2007,81888,95010,54156
6089,12/31/2007,53687,62443,35008
6095,12/31/2007,84374,92043,49861
6097,12/31/2007,78768,89610,47528
6099,12/31/2007,65061,72618,33721
6101,12/31/2007,65899,73781,34346
6107,12/31/2007,50790,59514,36242
6111,12/31/2007,87583,96658,48878
6113,12/31/2007,85029,100313,48401
6115,12/31/2007,66665,72236,38860
6001,12/31/2008,98064,107661,57739
6007,12/31/2008,52461,68197,35165
6013,12/31/2008,98909,106325,59926
6017,12/31/2008,80286,92761,53997
6019,12/31/2008,66321,73609,42409
6023,12/31/2008,55801,63960,31388
6025,12/31/2008,54509,66650,31351
6029,12/31/2008,59006,67006,36986
6031,12/31/2008,62141,70459,37632
6033,12/31/2008,50956,58740,36704
6037,12/31/2008,81778,90248,51229
6039,12/31/2008,65232,72075,46735
6041,12/31/2008,117257,129928,75127
6045,12/31/2008,59707,71362,43006
6047,12/31/2008,61879,67974,45158
6053,12/31/2008,76374,84216,55881
6055,12/31/2008,86029,104213,48339
6057,12/31/2008,64639,80295,47780
6059,12/31/2008,96518,106206,54772
6061,12/31/2008,89335,101732,47058
6065,12/31/2008,70653,80527,39303
6067,12/31/2008,75328,83414,46858
