GeoID,Date,With a mortgage:,With a mortgage: - Less than 2.0,With a mortgage: - 2.0 to 2.9,With a mortgage: - 3.0 to 3.9,With a mortgage: - 4.0 or more,With a mortgage: - Not computed,Not mortgaged:,Not mortgaged: - Less than 2.0,Not mortgaged: - 2.0 to 2.9,Not mortgaged: - 3.0 to 3.9,Not mortgaged: - 4.0 or more,Not mortgaged: - Not computed
6001,31/12/2005,0.7825,0.0317,0.0458,0.0819,0.6176,0.0055,0.2175,0.0127,0.0103,0.0119,0.1807,0.0019
6007,31/12/2005,0.6458,0.0496,0.0941,0.1004,0.4015,0.0002,0.3542,0.0523,0.0350,0.0269,0.2370,0.0030
6013,31/12/2005,0.7925,0.0271,0.0421,0.0853,0.6340,0.0040,0.2075,0.0151,0.0088,0.0134,0.1678,0.0025
6017,31/12/2005,0.7446,0.0237,0.0561,0.1024,0.5598,0.0026,0.2554,0.0279,0.0082,0.0126,0.2056,0.0011
6019,31/12/2005,0.7337,0.0661,0.1218,0.1415,0.4023,0.0021,0.2663,0.0462,0.0332,0.0379,0.1465,0.0025
6023,31/12/2005,0.5982,0.0457,0.0628,0.1001,0.3880,0.0015,0.4018,0.0799,0.0323,0.0361,0.2526,0.0008
6025,31/12/2005,0.6624,0.1224,0.1114,0.1363,0.2873,0.0051,0.3376,0.1289,0.0465,0.0358,0.1245,0.0019
6029,31/12/2005,0.7296,0.1205,0.1342,0.1255,0.3459,0.0034,0.2704,0.0601,0.0364,0.0290,0.1404,0.0045
6031,31/12/2005,0.6986,0.1319,0.1237,0.1315,0.3106,0.0009,0.3014,0.0722,0.0618,0.0555,0.1103,0.0017
6033,31/12/2005,0.5984,0.0620,0.0743,0.0938,0.3682,0.0000,0.4016,0.1123,0.0316,0.0320,0.2257,0.0000
6037,31/12/2005,0.7733,0.0389,0.0542,0.0847,0.5912,0.0043,0.2267,0.0214,0.0125,0.0128,0.1772,0.0028
6039,31/12/2005,0.7033,0.0813,0.0618,0.1324,0.4229,0.0049,0.2967,0.0336,0.0276,0.0233,0.2088,0.0034
6041,31/12/2005,0.7409,0.0337,0.0471,0.0714,0.5829,0.0059,0.2591,0.0192,0.0101,0.0098,0.2176,0.0025
6045,31/12/2005,0.5619,0.0356,0.0369,0.0678,0.4216,0.0000,0.4381,0.0565,0.0234,0.0265,0.3269,0.0049
6047,31/12/2005,0.7141,0.0488,0.0673,0.1074,0.4861,0.0045,0.2859,0.0371,0.0176,0.0264,0.2024,0.0023
6053,31/12/2005,0.7343,0.0185,0.0210,0.0403,0.6520,0.0025,0.2657,0.0264,0.0124,0.0098,0.2118,0.0052
6055,31/12/2005,0.7054,0.0522,0.0127,0.0602,0.5750,0.0053,0.2946,0.0334,0.0209,0.0134,0.2243,0.0025
6057,31/12/2005,0.6692,0.0090,0.0664,0.0842,0.5077,0.0019,0.3308,0.0369,0.0110,0.0151,0.2609,0.0069
6059,31/12/2005,0.7835,0.0335,0.0393,0.0663,0.6398,0.0046,0.2165,0.0228,0.0110,0.0128,0.1681,0.0017
