GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Estimate; Same house 1 year ago: - Less than high school graduate,Margin of Error; Same house 1 year ago: - Less than high school graduate,Estimate; Same house 1 year ago: - High school graduate (includes equivalency),Margin of Error; Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Same house 1 year ago: - Some college or associate's degree,Margin of Error; Same house 1 year ago: - Some college or associate's degree,Estimate; Same house 1 year ago: - Bachelor's degree,Margin of Error; Same house 1 year ago: - Bachelor's degree,Estimate; Same house 1 year ago: - Graduate or professional degree,Margin of Error; Same house 1 year ago: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved from different county within same state:,Margin of Error; Moved from different county within same state:,Estimate; Moved from different county within same state: - Less than high school graduate,Margin of Error; Moved from different county within same state: - Less than high school graduate,Estimate; Moved from different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Moved from different county within same state: - Some college or associate's degree,Margin of Error; Moved from different county within same state: - Some college or associate's degree,Estimate; Moved from different county within same state: - Bachelor's degree,Margin of Error; Moved from different county within same state: - Bachelor's degree,Estimate; Moved from different county within same state: - Graduate or professional degree,Margin of Error; Moved from different county within same state: - Graduate or professional degree,Estimate; Moved from different state:,Margin of Error; Moved from different state:,Estimate; Moved from different state: - Less than high school graduate,Margin of Error; Moved from different state: - Less than high school graduate,Estimate; Moved from different state: - High school graduate (includes equivalency),Margin of Error; Moved from different state: - High school graduate (includes equivalency),Estimate; Moved from different state: - Some college or associate's degree,Margin of Error; Moved from different state: - Some college or associate's degree,Estimate; Moved from different state: - Bachelor's degree,Margin of Error; Moved from different state: - Bachelor's degree,Estimate; Moved from different state: - Graduate or professional degree,Margin of Error; Moved from different state: - Graduate or professional degree,Estimate; Moved from abroad:,Margin of Error; Moved from abroad:,Estimate; Moved from abroad: - Less than high school graduate,Margin of Error; Moved from abroad: - Less than high school graduate,Estimate; Moved from abroad: - High school graduate (includes equivalency),Margin of Error; Moved from abroad: - High school graduate (includes equivalency),Estimate; Moved from abroad: - Some college or associate's degree,Margin of Error; Moved from abroad: - Some college or associate's degree,Estimate; Moved from abroad: - Bachelor's degree,Margin of Error; Moved from abroad: - Bachelor's degree,Estimate; Moved from abroad: - Graduate or professional degree,Margin of Error; Moved from abroad: - Graduate or professional degree
6001,31/12/2005,941859,761,132799,7817,195641,8921,240228,9733,222762,7965,150429,5531,793190,9699,110962,7983,161026,7525,208029,8571,188360,7682,124813,5014,92536,7486,16652,3274,22372,3874,23119,3422,19013,3024,11380,2077,32763,4214,2842,1267,6959,1972,5782,1588,8921,1748,8259,2041,14412,2890,1103,535,1890,816,2693,1288,4425,1429,4301,1565,8958,3070,1240,576,3394,2357,605,378,2043,890,1676,890
6007,31/12/2005,131405,821,16103,1686,32311,2608,48304,2610,23549,2584,11138,1711,110538,3417,13188,1580,27946,2324,39973,2802,19582,2484,9849,1449,13093,2500,1821,846,1978,1140,5708,1643,2955,1055,631,388,6559,2132,993,687,2018,1415,2329,1277,852,563,367,306,927,528,0,293,265,215,294,228,77,129,291,393,288,224,101,153,104,133,0,293,83,138,0,293
6013,31/12/2005,658892,562,76832,6604,132996,8029,200019,7800,157927,6060,91118,4230,560754,7549,58738,4933,112017,7669,170059,5652,139179,5928,80761,4246,61003,6134,10628,2704,16025,2948,19138,3799,9800,2064,5412,1377,22931,3668,4611,2217,3144,1203,6740,1834,5391,1287,3045,874,9907,2909,1312,1077,1146,905,3100,2048,3024,1191,1325,625,4297,1508,1543,1148,664,451,982,536,533,338,575,351
6017,31/12/2005,119441,1589,8899,1667,25654,2580,47315,3202,25653,2719,11920,1596,105165,2776,7347,1508,22846,2342,41531,3030,23084,2831,10357,1512,5942,1519,841,694,1603,905,2193,941,843,479,462,387,7654,2250,711,544,1156,700,3410,1750,1330,492,1047,582,250,255,0,293,49,79,120,227,81,138,0,293,430,402,0,293,0,293,61,104,315,333,54,98
6019,31/12/2005,495203,669,141484,6301,109516,5837,146757,6435,66205,4543,31241,3179,425654,5561,122834,6125,93391,5348,124097,5911,57253,4355,28079,2945,52313,5155,13830,2754,12009,2911,17901,2812,6452,2198,2121,855,11504,2447,2654,1237,3693,1243,3163,1069,1424,695,570,378,3634,1528,1252,1195,423,339,841,607,745,482,373,344,2098,1078,914,777,0,293,755,721,331,259,98,84
6023,31/12/2005,82984,710,7962,1400,23452,2385,29587,2088,15418,1833,6565,1354,68679,2055,6672,1248,19875,2117,24616,2174,12011,1519,5505,1192,9649,1610,887,792,2952,972,3455,956,2148,933,207,194,1957,781,162,199,389,248,249,190,782,584,375,424,2393,1282,241,212,236,319,1202,780,285,333,429,587,306,327,0,293,0,293,65,89,192,299,49,80
6025,31/12/2005,81181,488,30549,2755,19902,2203,21311,1888,5383,1245,4036,1079,70257,2539,25512,2145,17688,2121,19040,1914,4560,1197,3457,999,6193,2044,3197,1802,1449,633,993,553,187,174,367,361,1689,886,512,432,481,524,559,373,137,182,0,293,773,475,148,152,93,126,305,335,83,107,144,235,2269,1380,1180,1099,191,260,414,612,416,456,68,96
6029,31/12/2005,415190,785,115421,5566,118745,5605,115563,5074,43559,3362,21902,2634,343844,5727,93587,5181,96445,5270,97990,4577,36601,2862,19221,2261,45541,5450,12329,2712,15891,3858,12833,1907,3599,1084,889,614,14619,3032,5600,2014,4077,1402,2544,828,1425,503,973,508,6358,2079,923,589,2093,1412,1509,701,1146,700,687,564,4828,2115,2982,1957,239,191,687,512,788,764,132,139
6037,31/12/2005,6105497,982,1562543,23059,1331136,22252,1524989,21591,1105013,16835,581816,12676,5388226,20769,1403506,23389,1180511,20519,1355556,19669,944836,17228,503817,11886,552778,19067,129908,9391,121390,8900,136329,8216,116397,7204,48754,4050,54334,5363,7001,1664,10415,2305,13905,2062,15211,2468,7802,1850,56467,5384,6381,2224,8534,1877,9516,1945,17584,3254,14452,2500,53692,7258,15747,3081,10286,2512,9683,2801,10985,3171,6991,1586
6039,31/12/2005,79616,782,23322,2165,19800,1851,26408,2182,7263,1385,2823,770,67470,2557,17911,1931,17515,1852,23333,2286,5888,1377,2823,770,7947,2263,3663,1493,1121,663,2217,1059,946,659,0,293,3458,1329,1091,728,1080,701,858,712,429,331,0,293,112,150,28,47,84,141,0,293,0,293,0,293,629,547,629,547,0,293,0,293,0,293,0,293
6041,31/12/2005,171918,646,7849,1523,20309,2662,42371,3441,59758,3859,41631,2984,148721,3325,6289,1372,16954,2530,36379,3123,51748,3490,37351,3032,12108,2045,648,499,2264,1251,3958,1318,3298,937,1940,811,7753,2122,479,562,864,604,1612,816,3167,1065,1631,827,2071,1169,154,240,37,64,298,327,1102,794,480,334,1265,688,279,398,190,302,124,156,443,339,229,226
6045,31/12/2005,57438,700,9320,1693,14591,1948,18277,1785,9266,1587,5984,1223,49135,1655,7414,1577,12807,1994,15639,1673,7942,1408,5333,1127,5354,1618,1311,966,1050,490,2018,924,586,493,389,289,1554,673,179,229,393,303,377,325,438,349,167,169,1305,758,416,532,251,211,243,247,300,326,95,163,90,156,0,293,90,156,0,293,0,293,0,293
6047,31/12/2005,132342,727,42000,2954,34540,2805,37906,2668,12606,1699,5290,987,111813,2849,36025,2839,28638,2486,32232,2836,10099,1359,4819,970,15119,2887,4792,1989,3784,1367,4670,1546,1541,797,332,219,4480,1359,883,704,1652,926,840,565,966,587,139,175,517,447,0,293,466,444,51,81,0,293,0,293,413,283,300,253,0,293,113,144,0,293,0,293
6053,31/12/2005,234265,483,67517,4211,48728,4144,61467,3861,34278,2922,22275,2254,195957,4597,55721,4864,42450,4120,51453,3513,27312,2739,19021,2046,23708,3523,9131,2105,3569,1169,6130,1819,3577,1283,1301,578,7783,2506,1637,1170,1661,913,2826,1242,1030,481,629,387,3404,854,42,47,419,288,599,303,1831,672,513,300,3413,1139,986,650,629,471,459,302,528,391,811,737
6055,31/12/2005,84985,874,11539,1998,19071,2174,28485,2570,17190,2312,8700,1356,71111,2466,9913,1659,14804,1965,23739,2528,15320,2282,7335,1321,8646,1742,799,686,3521,1120,2299,778,936,460,1091,532,2550,1080,261,240,388,287,1179,791,556,397,166,170,1702,1374,0,293,79,131,1268,1336,284,263,71,126,976,540,566,445,279,336,0,293,94,149,37,63
6057,31/12/2005,69163,878,5146,1441,14536,2295,26409,2145,15516,1980,7556,1243,60221,2168,4622,1468,12938,1753,22943,2229,13286,1876,6432,1154,5365,1242,417,399,659,431,2524,1006,1128,652,637,442,2821,1469,59,101,939,1202,511,364,897,561,415,463,743,590,48,83,0,293,418,421,205,190,72,119,13,22,0,293,0,293,13,22,0,293,0,293
6059,31/12/2005,1883790,602,327108,10844,355490,10371,542900,12941,423800,11609,234492,8919,1622964,11600,275916,10402,305691,10310,472314,11957,363369,10221,205674,8338,180677,10738,40255,5930,37608,4439,48542,4283,38415,4330,15857,2512,45839,4697,4256,1430,8204,1695,14589,2214,12829,2228,5961,1901,21282,3485,2309,1208,2622,761,5067,1477,6340,1573,4944,2037,13028,2135,4372,1487,1365,696,2388,934,2847,1103,2056,844
6061,31/12/2005,214126,918,19089,2544,47413,3680,77985,4055,49320,3446,20319,2364,181311,4108,15189,2339,40294,3551,66187,4245,42625,3213,17016,2106,14974,2637,2370,1365,2922,795,6324,1718,2392,844,966,523,13202,2402,1056,699,3276,1169,4167,1256,3455,1336,1248,639,2950,1127,0,293,498,334,963,586,809,654,680,355,1689,765,474,385,423,341,344,336,39,65,409,476
