GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Worked in state of residence:,Margin of Error; Worked in state of residence:,Estimate; Worked in state of residence: - Worked in county of residence,Margin of Error; Worked in state of residence: - Worked in county of residence,Estimate; Worked in state of residence: - Worked outside county of residence,Margin of Error; Worked in state of residence: - Worked outside county of residence,Estimate; Worked outside state of residence,Margin of Error; Worked outside state of residence,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Worked in state of residence:","Margin of Error; Car, truck, or van - drove alone: - Worked in state of residence:","Estimate; Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Margin of Error; Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Estimate; Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Margin of Error; Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Estimate; Car, truck, or van - drove alone: - Worked outside state of residence","Margin of Error; Car, truck, or van - drove alone: - Worked outside state of residence","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Worked in state of residence:","Margin of Error; Car, truck, or van - carpooled: - Worked in state of residence:","Estimate; Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Margin of Error; Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Estimate; Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Margin of Error; Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Estimate; Car, truck, or van - carpooled: - Worked outside state of residence","Margin of Error; Car, truck, or van - carpooled: - Worked outside state of residence",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Worked in state of residence:,Margin of Error; Public transportation (excluding taxicab): - Worked in state of residence:,Estimate; Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Margin of Error; Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Estimate; Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Margin of Error; Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Estimate; Public transportation (excluding taxicab): - Worked outside state of residence,Margin of Error; Public transportation (excluding taxicab): - Worked outside state of residence,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - Worked in state of residence:,Margin of Error; Walked: - Worked in state of residence:,Estimate; Walked: - Worked in state of residence: - Worked in county of residence,Margin of Error; Walked: - Worked in state of residence: - Worked in county of residence,Estimate; Walked: - Worked in state of residence: - Worked outside county of residence,Margin of Error; Walked: - Worked in state of residence: - Worked outside county of residence,Estimate; Walked: - Worked outside state of residence,Margin of Error; Walked: - Worked outside state of residence,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence",Estimate; Worked at home,Margin of Error; Worked at home
6001,31/12/2005,651547,9583,648417,9748,437900,11768,210517,8979,3130,1231,454523,9899,453440,9780,313288,9899,140152,7089,1083,504,72058,4366,71809,4355,42522,3975,29287,3086,249,215,68472,5362,68407,5364,30238,4117,38169,4005,65,107,18834,2660,18371,2656,17651,2627,720,402,463,385,14094,2514,12824,2199,10635,2114,2189,794,1270,1051,23566,2724
6007,31/12/2005,88511,2757,88110,2703,78427,3028,9683,1490,401,327,66165,2974,65927,2946,58876,2937,7051,1378,238,208,9811,1666,9648,1688,7016,1486,2632,872,163,260,155,145,155,145,155,145,0,293,0,293,3040,1033,3040,1033,3040,1033,0,293,0,293,3679,2493,3679,2493,3679,2493,0,293,0,293,5661,1317
6013,31/12/2005,458117,8221,455805,8501,263378,8786,192427,8235,2312,1207,323392,8633,321920,8792,198769,8321,123151,5646,1472,1135,64881,5874,64633,5893,29727,3840,34906,4856,248,179,38118,4189,37996,4223,7018,2007,30978,3504,122,201,6555,1685,6418,1687,6181,1539,237,294,137,162,7877,1577,7544,1574,4389,1122,3155,924,333,227,17294,2156
6017,31/12/2005,84728,3170,81372,3140,46125,3243,35247,2616,3356,1112,64964,3363,62236,3441,32187,2949,30049,2528,2728,993,10333,2238,9988,2164,5789,1693,4199,1297,345,343,1060,679,1011,675,571,616,440,281,49,79,1256,603,1113,584,984,536,129,215,143,180,2086,1114,1995,1095,1565,983,430,447,91,143,5029,1087
6019,31/12/2005,343903,7688,342623,7723,317663,8348,24960,3168,1280,559,261299,7397,260584,7436,239849,8001,20735,2937,715,395,54445,4884,54445,4884,50787,4948,3658,995,0,293,4016,1380,3968,1372,3889,1360,79,131,48,81,5854,1381,5484,1321,5339,1298,145,176,370,277,4593,1059,4446,1081,4103,1084,343,228,147,173,13696,2803
6025,31/12/2005,50810,2454,49332,2448,45950,2523,3382,895,1478,693,39890,2623,38918,2543,36016,2505,2902,784,972,511,6217,1216,5778,1179,5340,1183,438,371,439,385,1492,1010,1425,1005,1383,1002,42,70,67,114,1271,554,1271,554,1271,554,0,293,0,293,556,345,556,345,556,345,0,293,0,293,1384,697
6029,31/12/2005,285994,5997,284725,5926,268690,6659,16035,2292,1269,664,214786,6469,214250,6484,201632,6806,12618,2109,536,406,45462,4611,44959,4630,42052,4500,2907,1060,503,468,4686,1762,4686,1762,4394,1620,292,278,0,293,5566,1822,5391,1821,5352,1828,39,65,175,231,7991,1919,7936,1903,7757,1888,179,171,55,91,7503,1167
6031,31/12/2005,43954,2552,43738,2525,35175,2513,8563,1444,216,144,32523,2493,32523,2493,25978,2351,6545,1238,0,293,6622,1269,6573,1253,4872,1225,1701,734,49,85,1105,845,1105,845,986,825,119,140,0,293,1042,542,976,543,976,543,0,293,66,116,1491,581,1390,536,1192,489,198,192,101,119,1171,434
6037,31/12/2005,4246088,22515,4226017,22633,3907881,23399,318136,10895,20071,2552,3084995,29507,3076353,29521,2817984,27619,258369,9738,8642,1710,512485,15807,510175,15692,458467,14410,51708,6013,2310,888,279495,13452,278424,13434,275280,13388,3144,887,1071,576,108917,7187,107343,7175,106689,7195,654,346,1574,530,91712,7949,85238,7809,80977,7550,4261,1163,6474,1372,168484,8763
6041,31/12/2005,114736,3314,114300,3316,75561,3992,38739,3260,436,308,77040,3332,76913,3315,49384,3332,27529,2991,127,152,11066,2531,11066,2531,6872,1987,4194,1228,0,293,8732,2141,8732,2141,2396,1369,6336,1531,0,293,3418,1160,3391,1151,3275,1116,116,144,27,45,2407,759,2125,778,1561,716,564,366,282,271,12073,1954
6047,31/12/2005,89696,3901,89103,3874,65258,4280,23845,3186,593,583,67013,3743,66535,3649,47482,3615,19053,2943,478,551,12877,2285,12762,2300,8209,1777,4553,1485,115,187,798,692,798,692,798,692,0,293,0,293,3906,1104,3906,1104,3798,1108,108,173,0,293,1498,597,1498,597,1367,590,131,130,0,293,3604,1104
6053,31/12/2005,169766,4677,169094,4656,150386,4408,18708,2858,672,507,124368,4781,123996,4695,111316,4699,12680,2126,372,351,26738,3729,26635,3736,22473,3389,4162,1476,103,138,4272,1925,4272,1925,3950,1848,322,297,0,293,6017,2085,6017,2085,4756,1542,1261,1749,0,293,3406,1416,3209,1309,2926,1273,283,363,197,334,4965,1197
6055,31/12/2005,63078,2439,62549,2503,48147,2315,14402,2030,529,559,48769,2839,48679,2867,36555,2584,12124,2070,90,114,5683,1205,5683,1205,4452,990,1231,655,0,293,1151,621,1151,621,148,142,1003,610,0,293,2046,757,1998,750,1998,750,0,293,48,79,3291,1487,2900,1365,2856,1364,44,73,391,538,2138,698
6057,31/12/2005,42431,2187,42000,2224,32433,2245,9567,1653,431,268,31812,2140,31448,2204,23612,2151,7836,1566,364,248,4799,1337,4732,1346,3368,1299,1364,718,67,111,594,425,594,425,550,419,44,81,0,293,1179,633,1179,633,1046,587,133,155,0,293,385,326,385,326,195,196,190,249,0,293,3662,862
6059,31/12/2005,1375867,12056,1369842,12083,1149941,11680,219901,8567,6025,1078,1063110,13701,1059797,13786,877219,12739,182578,8120,3313,880,161902,9166,161589,9178,132165,8716,29424,3583,313,190,38243,5664,38154,5661,34210,5485,3944,1008,89,103,26526,3664,25997,3630,25580,3638,417,288,529,356,22774,3209,20993,3037,17455,2815,3538,1424,1781,620,63312,4937
6061,31/12/2005,145650,3911,143556,3878,89265,4281,54291,3898,2094,701,115624,3815,114540,3804,68502,3611,46038,3465,1084,492,14709,2602,14194,2502,7419,1747,6775,2031,515,373,965,500,898,482,343,328,555,360,67,114,2172,991,2172,991,2019,982,153,162,0,293,3015,924,2587,909,1817,696,770,554,428,366,9165,1615
6065,31/12/2005,801371,12798,797738,12772,566745,14076,230993,8196,3633,932,607325,14474,605526,14449,422928,13695,182598,7643,1799,685,128398,7507,127998,7464,86490,7714,41508,4527,400,304,11542,2807,11375,2785,7778,2444,3597,1032,167,199,10752,1727,10475,1710,10091,1704,384,362,277,202,11151,1497,10161,1470,7255,1238,2906,979,990,494,32203,3281
6067,31/12/2005,589109,7681,587531,7780,495883,8934,91648,4594,1578,586,442946,9438,442198,9495,364872,8823,77326,4581,748,464,80280,5631,79965,5667,67887,5333,12078,1883,315,361,15157,2034,15056,2027,13871,1960,1185,524,101,85,13601,2498,13439,2467,13261,2452,178,224,162,179,11719,1717,11467,1728,10586,1630,881,680,252,218,25406,2856
6071,31/12/2005,778766,9945,774178,9822,528471,11468,245707,8787,4588,1210,604931,12322,602403,12232,409746,12542,192657,8792,2528,771,113399,7726,112693,7723,67613,6026,45080,4978,706,529,10198,2008,10198,2008,5603,1592,4595,1128,0,293,11267,2346,11019,2337,10370,2152,649,530,248,172,12359,2874,11253,2697,8527,2481,2726,853,1106,696,26612,3447
