GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; No schooling completed,Margin of Error; No schooling completed,Estimate; Nursery school,Margin of Error; Nursery school,Estimate; Kindergarten,Margin of Error; Kindergarten,Estimate; 1st grade,Margin of Error; 1st grade,Estimate; 2nd grade,Margin of Error; 2nd grade,Estimate; 3rd grade,Margin of Error; 3rd grade,Estimate; 4th grade,Margin of Error; 4th grade,Estimate; 5th grade,Margin of Error; 5th grade,Estimate; 6th grade,Margin of Error; 6th grade,Estimate; 7th grade,Margin of Error; 7th grade,Estimate; 8th grade,Margin of Error; 8th grade,Estimate; 9th grade,Margin of Error; 9th grade,Estimate; 10th grade,Margin of Error; 10th grade,Estimate; 11th grade,Margin of Error; 11th grade,"Estimate; 12th grade, no diploma","Margin of Error; 12th grade, no diploma",Estimate; Regular high school diploma,Margin of Error; Regular high school diploma,Estimate; GED or alternative credential,Margin of Error; GED or alternative credential,"Estimate; Some college, less than 1 year","Margin of Error; Some college, less than 1 year","Estimate; Some college, 1 or more years, no degree","Margin of Error; Some college, 1 or more years, no degree",Estimate; Associate's degree,Margin of Error; Associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Master's degree,Margin of Error; Master's degree,Estimate; Professional school degree,Margin of Error; Professional school degree,Estimate; Doctorate degree,Margin of Error; Doctorate degree
6001,31/12/2008,984687,749,17043,2576,390,525,0,294,940,546,2299,826,4905,1245,4699,1568,5613,1953,21371,2517,4700,1081,10274,2018,13297,2057,16213,2398,16559,2244,21381,2654,182135,8521,16375,2157,47563,3309,145407,7009,66569,4093,227981,7983,106626,5413,24953,2512,27394,2842
6007,31/12/2008,139326,891,1977,670,0,294,0,294,40,68,116,171,956,570,452,323,230,174,1810,628,210,188,2225,675,2487,764,3409,965,3947,1227,3923,991,24909,2250,4966,1133,14198,1738,28688,2667,10433,1611,23892,2836,7077,1488,2188,637,1193,558
6013,31/12/2008,684009,1796,8452,1735,57,94,191,192,295,302,968,596,3210,1105,2176,1025,3281,1253,12610,2931,2849,1116,7511,1566,8639,1887,9519,1747,9478,1901,12440,1715,115375,5733,11038,1683,38076,2573,113824,6145,59160,4086,170836,5881,59991,3718,21038,2437,12995,1797
6017,31/12/2008,121658,769,174,207,0,294,0,294,101,176,0,294,60,101,0,294,295,318,463,340,349,293,672,542,1375,572,1568,775,2229,920,2033,755,26510,2359,3524,1071,9700,1614,26954,2624,11083,1687,24565,2281,6742,1135,2447,689,814,484
6019,31/12/2008,533927,520,25803,3082,0,294,294,258,1725,915,3637,1015,9285,2982,3825,946,5027,1424,24057,2874,3327,947,9779,1602,13686,2077,13930,2034,16524,2480,12333,2254,103851,5834,15708,2363,35008,3244,91274,6482,44129,3949,68871,4327,20170,2203,8948,1368,2736,863
6023,31/12/2008,85490,1012,761,471,0,294,0,294,0,294,0,294,53,88,277,407,110,136,55,70,216,286,531,351,406,241,1182,551,2319,911,2276,823,21061,2376,1457,661,7036,1180,18410,1814,7543,1425,14620,1814,5223,925,1148,452,806,430
6025,31/12/2008,94296,1064,4016,1054,0,294,79,93,198,278,1391,841,2724,841,846,487,1178,602,4258,1078,1458,631,2070,704,5672,1615,2356,632,3951,1056,3533,1016,17729,2123,3276,816,6275,1385,16828,2055,4675,1052,7486,1406,3022,875,976,427,299,191
6029,31/12/2008,474031,1531,14226,1778,0,294,717,486,1353,697,3408,968,7469,1732,4134,1159,2772,912,22009,2804,3710,1071,9638,1837,15683,2464,14685,2429,23592,2054,18094,2263,97720,4744,17600,2265,34220,2812,78671,5384,34825,3130,48854,3085,14098,1913,4771,972,1782,735
6031,31/12/2008,90972,578,3167,913,0,294,338,317,210,322,768,669,1257,754,639,330,207,229,5246,1951,650,276,2232,878,2513,764,3713,1930,4792,1407,2309,728,21414,2486,4009,1319,5713,1267,16376,2344,6228,1101,6571,1383,1494,582,969,419,157,126
6033,31/12/2008,45702,703,582,775,0,294,412,609,201,298,0,294,113,177,57,94,225,248,1268,858,241,257,627,593,382,379,832,423,313,251,1332,688,15663,2279,2161,906,3239,1231,7323,1436,3651,919,4807,1244,1547,813,596,376,130,169
6037,31/12/2008,6272120,449,187827,9155,980,406,4132,1464,14428,2000,34972,3363,73407,5681,52813,3806,62011,4410,313825,10455,55114,4490,97886,5786,188153,7828,118900,6910,163213,7914,187396,7865,1195874,18698,100909,5395,280958,8765,943482,16628,431173,11211,1144103,16791,399682,9248,144781,6107,76101,4141
6039,31/12/2008,91944,853,3510,1221,119,184,0,294,519,346,709,447,1100,602,572,446,803,474,4983,1383,1148,715,1465,632,5105,1637,2690,1047,4181,1085,1960,663,19057,2470,2417,813,7437,1969,16267,2701,6118,1617,7927,1708,2543,798,880,464,434,576
6041,31/12/2008,180977,1174,545,466,0,294,0,294,0,294,0,294,545,661,0,294,848,592,3066,1776,487,439,571,399,965,522,1126,641,1352,615,2076,936,18034,2543,2915,1029,8786,1434,26153,2541,10478,1465,59997,3360,26229,2263,11905,1749,4899,1130
6045,31/12/2008,59147,871,867,575,0,294,0,294,18,31,523,614,338,352,84,161,340,442,1360,828,0,294,558,454,875,508,712,420,2621,1092,1266,510,14600,1812,1654,583,3628,931,11098,1380,5310,1153,8009,1088,3359,859,1559,571,368,247
6047,31/12/2008,141456,876,5459,1500,0,294,108,139,145,174,908,553,2696,926,2955,1151,2553,1001,10156,2335,1690,822,3135,956,3088,1069,3477,1093,5762,1423,5533,1366,28228,3342,5364,1088,9005,1471,23557,2595,9366,1888,10740,1913,5470,1471,1819,624,242,215
6053,31/12/2008,250231,951,8354,1433,157,230,0,294,662,433,2388,810,4909,1242,3555,927,3510,939,16510,2387,2594,1089,5021,1395,7179,1326,5844,1309,7255,1276,6038,1247,43953,3822,8577,1371,14087,1977,36786,3131,15274,2016,34787,2382,14882,2063,4307,922,3602,848
6055,31/12/2008,90613,845,1292,797,0,294,0,294,451,451,487,401,564,398,628,453,228,259,5773,1748,377,378,427,296,1489,791,2871,1059,1630,745,2314,1023,15685,2095,2411,867,6116,1359,13967,2013,6327,1247,18003,1964,5268,1565,3302,877,1003,458
6057,31/12/2008,71592,671,141,174,0,294,0,294,0,294,153,272,0,294,0,294,52,88,372,305,60,95,271,206,97,114,739,494,776,476,1542,771,15521,2017,1281,577,7257,1536,13744,1808,6529,1148,16160,1805,4449,969,1436,634,1012,542
6059,31/12/2008,1948386,882,39204,3395,506,471,383,261,4127,1132,5279,1325,13194,2238,7663,1527,14952,2923,65831,4872,12838,2778,22899,2675,53772,5092,28409,2811,37103,2712,43041,3723,316413,9081,30432,3171,104877,4783,303733,9456,153909,6700,451118,8952,162539,6369,50376,3130,25788,2352
6061,31/12/2008,236208,1025,1185,661,0,294,42,67,0,294,73,117,63,119,152,208,482,505,1543,670,686,516,1093,613,1518,694,1296,559,4175,1092,3198,800,45496,3313,4902,1531,19676,2412,47294,3572,24603,2811,55973,3680,15796,1840,5373,1175,1589,693
6065,31/12/2008,1301797,814,26536,3099,439,499,844,746,2210,818,4530,1495,10424,2117,6752,1630,8341,1910,46990,3694,8123,2339,21305,3377,34708,4620,27065,3022,43457,4713,44389,4145,299034,9987,36744,3049,97865,5667,228864,7293,91544,5292,178067,7877,58212,3768,16057,2238,9297,1792
6067,31/12/2008,899751,882,17713,2390,200,218,422,373,830,513,2136,859,3266,1424,2121,868,2573,813,15225,2700,5525,1651,12590,2051,12408,2264,16036,2286,20697,2547,21140,2320,169665,6387,25331,2317,69074,4772,169081,6588,84787,4905,170934,6206,51980,3539,17038,1685,8979,1691
6071,31/12/2008,1195256,1012,23421,3306,448,374,269,287,1136,813,3996,1486,7944,1649,5087,2010,7825,1507,42241,3986,7759,1940,18831,2702,31165,3133,27464,3165,46478,4085,39783,3172,282166,9387,33960,3300,85939,5148,214637,7744,100966,5505,141605,6454,49553,4169,15421,2146,7162,1245
6073,31/12/2008,1902516,679,30578,3138,0,294,586,332,1849,792,4959,1198,10754,1868,7490,1690,8511,1708,48289,4195,7623,1561,18967,2661,36315,3505,25684,3031,37293,3917,45734,3913,318396,11106,43203,3278,113337,4535,338253,10589,154595,7197,403851,10037,153070,7285,54336,3841,38843,3240
6075,31/12/2008,627942,826,15651,2741,121,145,228,378,1169,712,1620,754,2891,1153,2882,1185,4591,1713,15108,2994,4484,1325,7394,1858,11977,3486,6793,2112,9877,2411,14717,2573,79858,6246,7825,1707,20374,2126,64930,4747,33859,3027,191261,6977,79414,4808,32694,3182,18224,2572
6077,31/12/2008,408935,831,14230,2180,45,73,0,294,1007,793,1920,751,3356,922,2176,725,3615,1092,10749,1992,1947,798,11288,1664,10495,2092,11061,1932,15478,2237,11986,1660,91403,4841,15334,2015,31298,3067,74336,4562,33415,3361,45486,3424,12803,1824,4041,988,1466,459
6079,31/12/2008,174295,797,2394,938,0,294,109,182,41,68,397,344,954,628,682,414,260,223,1773,575,301,221,1496,605,2793,954,2372,826,3714,1105,2908,862,31346,2646,4938,1098,13425,1991,32785,2933,17291,2148,34136,2752,13517,2051,3906,765,2757,866
6081,31/12/2008,493225,704,6781,1547,109,128,391,313,590,431,1494,784,2300,884,1852,754,1532,813,12168,2284,1352,681,3616,1074,6060,1698,4823,1073,4563,1260,8011,1346,78839,6247,8373,1673,22897,2104,77703,5040,38215,3794,129190,5178,53455,3031,15765,1982,13146,1769
6083,31/12/2008,250128,873,5043,1287,81,94,0,294,323,377,1072,626,2501,966,1361,702,2481,967,11142,1993,1384,743,4374,1324,5259,1737,4134,1492,4823,1208,3716,865,38711,3180,4934,989,13016,1585,41123,2934,20289,2384,48893,3793,21117,2383,7272,1454,7079,1612
6085,31/12/2008,1175219,716,20252,2686,261,224,214,206,1939,938,2216,931,5683,1757,3874,1146,8383,1726,30583,4238,6968,1940,12274,2121,15636,2503,22822,3001,15300,2328,22431,2663,173160,9746,18913,2604,52809,3813,158096,7382,85701,4575,287886,8834,162300,6095,30201,2342,37317,3290
6087,31/12/2008,166099,802,1824,633,0,294,44,74,229,216,1094,524,1936,743,975,508,1207,654,3874,1132,485,334,2144,853,2987,938,1914,797,2408,1029,2018,792,21658,2552,3648,1035,9612,1513,27348,2236,13078,1796,39498,3180,17339,2356,6022,1221,4757,1033
6089,31/12/2008,122522,942,922,515,0,294,0,294,0,294,15,30,0,294,481,610,335,509,486,313,112,183,859,383,1623,597,3019,867,3715,1120,2946,946,23711,2658,5269,1228,12865,1961,29817,2603,13638,1833,15704,1958,4209,906,2274,690,522,323
6095,31/12/2008,263740,524,3501,1049,0,294,0,294,309,357,909,592,1753,966,2233,948,218,190,5098,1213,1476,740,3076,1086,2782,860,4953,1214,5321,1242,7046,1399,50622,3513,10173,1357,21893,2159,52109,3499,26790,2768,45629,3387,12639,1622,4108,995,1102,414
6097,31/12/2008,314650,766,5052,1412,206,279,142,235,347,349,1073,582,1321,564,1350,647,1274,912,8698,1964,1063,539,2596,1031,3964,1147,4213,1505,5850,1357,5024,967,54764,3822,8253,1649,23233,2544,61068,3893,27142,2406,63543,4095,21820,1935,8895,1385,3759,1061
6099,31/12/2008,311851,591,12264,2923,128,168,0,294,57,94,1602,717,2598,874,1880,745,2318,1373,13666,2143,1781,659,8355,1765,5210,1411,8202,1992,9167,1498,10309,1692,74692,5073,11262,1724,25888,3100,54921,4132,20403,2521,31556,2825,9615,1424,3952,1010,2025,770
6101,31/12/2008,57275,810,2778,1018,0,294,0,294,0,294,477,579,441,315,93,115,391,287,1200,572,356,383,1636,695,740,559,1575,551,1155,522,1681,503,11197,1451,2306,877,4792,1008,10646,1267,5909,948,7329,1122,1785,697,615,387,173,191
6107,31/12/2008,243363,1021,8343,1740,0,294,76,94,1246,997,2071,737,5238,1298,5150,1485,3177,974,15237,2235,2632,834,8443,1953,5835,1228,6848,1276,8389,1872,6200,1104,52769,3884,6848,1396,15632,2126,40348,3394,16970,2013,22397,2577,5770,1115,3242,1090,502,287
6111,31/12/2008,509490,829,9996,2276,384,406,0,294,1004,497,1613,710,5186,1172,3176,1182,3594,1240,18618,2787,2016,828,6458,1510,8737,1794,10092,2862,10648,2164,10243,1800,86643,5318,10547,1575,34514,2989,91787,4715,41806,3199,99060,4294,35683,2884,11288,1437,6397,1246
6113,31/12/2008,116586,935,1705,737,0,294,0,294,138,199,209,242,1085,662,583,310,565,386,3129,1079,491,425,1362,545,2077,1041,2246,1063,2742,886,2626,810,16917,2139,3606,964,5859,1203,15646,2266,8537,1358,24950,2206,11294,1522,4009,1010,6810,1269
6115,31/12/2008,43779,717,1153,679,0,294,0,294,61,105,299,322,490,346,175,189,387,423,1232,744,514,383,615,339,839,481,837,363,2127,644,839,459,7994,1245,1657,686,3699,858,10389,1388,4290,888,4838,1072,952,490,249,280,143,185
6001,31/12/2009,1016796,1188,19851,2992,194,245,507,439,1959,1040,3509,1621,6185,1696,3418,1116,5565,1268,22081,2795,5622,1202,12367,2453,14805,2365,16459,2461,19330,2273,19024,2497,187366,8526,16004,2236,45313,3614,139716,7009,68733,4726,245690,7990,107858,5382,27581,2752,27659,2555
6007,31/12/2009,134430,755,2085,638,0,294,80,108,0,294,392,320,198,192,872,697,314,230,1059,614,244,206,1600,558,1548,511,2522,1092,3667,1049,2892,892,26743,2462,4824,1210,11079,1590,28031,2445,14822,2068,20669,1874,6624,1131,2525,851,1640,661
6013,31/12/2009,691426,512,10039,1963,151,185,167,267,754,561,1771,762,2786,1229,1908,923,2550,876,13093,2071,2477,1004,5413,1519,8930,1976,8632,1776,10264,2333,12547,1932,127793,5724,14547,2215,44636,3287,109444,5711,53609,4198,169147,7340,58160,3738,20309,2281,12299,1787
6017,31/12/2009,122064,861,529,439,0,294,0,294,0,294,54,94,0,294,116,139,664,558,1435,724,391,354,700,424,284,212,1487,584,847,419,1475,609,25835,2992,2643,837,10868,1876,24136,2462,11661,1752,24762,2403,9267,1541,3097,804,1813,660
6019,31/12/2009,539440,664,20935,2633,125,139,134,216,1222,763,4658,1428,9010,1792,3560,1126,6169,2035,27152,3172,4317,1402,14514,1897,13642,2059,15393,2607,18568,2097,12290,1995,106719,5420,15273,2330,34758,3266,84818,4826,39387,2723,70160,3941,21351,2329,10980,1861,4305,893
6023,31/12/2009,83324,1091,293,203,0,294,0,294,22,37,0,294,113,121,153,189,72,86,1044,468,76,99,687,315,579,319,1356,579,2198,842,936,508,18163,2359,2717,976,7229,1387,17370,1708,8232,1708,15345,1745,4452,1103,1529,558,758,590
6025,31/12/2009,96756,635,3734,886,0,294,0,294,260,263,1239,616,2507,739,534,402,1136,504,6029,1444,922,502,2881,971,5527,1390,2994,956,4163,1032,3553,1162,15835,1907,4574,1105,4641,888,14947,1906,6868,1245,9914,1652,2766,857,1117,534,615,409
6029,31/12/2009,468877,853,13751,2063,57,92,128,154,1355,738,2261,1256,6697,1530,4461,1309,3934,1026,23020,2411,3384,1062,8095,1457,14115,2173,13735,1830,20666,2249,17940,2493,113476,5179,15344,1915,33110,2749,77433,4981,31181,2669,43412,3127,15231,1896,3971,905,2120,696
6031,31/12/2009,89294,698,2496,917,0,294,0,294,582,557,389,385,1027,544,606,400,1349,564,3888,1021,435,257,1870,701,2992,982,2424,724,4396,957,2034,765,19140,2240,4123,933,8298,1278,16705,2301,5401,1157,8543,1778,1770,593,570,442,256,164
