GeoID,Date,Estimate; Total:,Estimate; Air transportation workers,Estimate; Architecture and engineering occupations,"Estimate; Arts, design, entertainment, sports, and media occupations",Estimate; Building and grounds cleaning and maintenance occupations,Estimate; Business and financial operations occupations,Estimate; Community and social services occupations,Estimate; Computer and mathematical occupations,Estimate; Construction and extraction occupations,"Estimate; Education, training, and library occupations","Estimate; Farming, fishing, and forestry occupations","Estimate; Fire fighting and prevention, and other protective service workers including supervisors",Estimate; Food preparation and serving related occupations,Estimate; Health diagnosing and treating practitioners and other technical occupations,Estimate; Health technologists and technicians,Estimate; Healthcare practitioner and technical occupations:,Estimate; Healthcare support occupations,"Estimate; Installation, maintenance, and repair occupations",Estimate; Law enforcement workers including supervisors,Estimate; Legal occupations,"Estimate; Life, physical, and social science occupations",Estimate; Management occupations,Estimate; Material moving workers,Estimate; Motor vehicle operators,Estimate; Office and administrative support occupations,Estimate; Personal care and service occupations,Estimate; Production occupations,Estimate; Rail and water and other transportation workers,Estimate; Sales and related occupations,"Estimate; Supervisors, transportation and material moving workers"
6001,31/12/2005,673685,1022,51480,36494,44314,80492,20320,69398,68516,79980,698,15224,46646,43844,14260,1199,22296,39984,6072,19050,27064,144110,29258,31604,182998,44114,69488,2160,145504,2792
6013,31/12/2005,472326,584,25686,17614,35094,56354,16080,31862,71134,52088,1002,10840,36312,31280,10832,991,16624,32254,7938,17224,15492,103244,15612,18906,126286,33374,33480,1446,118180,2696
6019,31/12/2005,355812,890,8368,7856,33686,28230,12134,4988,42012,48364,43540,8958,33308,18358,8460,786,19036,25086,9266,9578,2544,47593,18220,24306,100844,26960,39848,514,83372,2662
6029,31/12/2005,293969,646,11118,6260,24282,15416,10950,5992,47830,36352,46096,9744,28274,13166,7580,468,10688,20684,12956,4548,3414,34450,20528,24962,77972,16584,28470,1056,64702,1706
6037,31/12/2005,4384628,4218,151636,363672,405158,379208,121066,157704,536242,459104,18684,105090,424618,231850,109978,12076,157740,278630,47386,123958,69336,742032,237024,273196,1296716,323246,690988,23864,1000770,11064
6053,31/12/2005,172247,386,2422,6152,20014,11874,5522,4016,21000,17346,31532,4890,25334,9088,2274,500,5034,11652,5736,2058,2126,26307,15906,9618,38206,9000,14250,186,41428,208
6059,31/12/2005,1419178,3016,91346,69416,118150,173028,30992,74258,163964,149538,5634,24532,118926,82284,25816,5047,34908,69642,14496,42450,24244,338894,59890,49848,391546,81104,193480,9102,384698,3968
6065,31/12/2005,830210,2200,27092,26704,70422,56056,19274,19100,158502,92396,12856,27700,91052,36932,17474,1352,23964,65560,21180,11276,8400,130258,53326,49844,239706,59236,116110,6376,210590,3380
6067,31/12/2005,608872,1238,26894,22910,46440,83328,20036,50088,78160,62850,2604,13342,54580,35404,12596,647,23454,41754,10498,18218,11874,101057,25972,32430,214504,44924,41136,1848,132652,1724
6071,31/12/2005,795806,550,20508,18150,63740,52010,20398,25510,130994,83894,5778,24232,72568,40532,23534,1013,35050,68676,18906,11440,7604,108285,66098,79744,250072,51128,115448,5660,183382,4372
6073,31/12/2005,1305125,2930,77240,65108,115834,131956,34166,87870,157832,154628,13628,36060,131880,88162,29634,3524,40256,83554,21064,43488,42964,266093,36540,46114,347302,98772,115428,5974,321820,2986
6075,31/12/2005,391953,458,18238,49344,27278,60496,12268,33966,28392,46326,264,7214,46736,28492,4968,548,10588,11326,3556,24578,13296,89654,5796,16878,94906,28722,24440,2190,87000,730
6077,31/12/2005,273400,0,11496,8212,19666,17446,7916,6146,36650,32752,18212,8550,23112,16032,9242,134,12120,22960,7128,4100,1572,40352,28982,18656,79942,21190,33368,2194,55746,1590
6081,31/12/2005,331545,1582,16774,16624,27244,45630,8178,30072,29962,28142,3066,6136,29670,22950,5962,895,8762,16946,4622,11630,15186,78811,7126,14590,98556,20980,22030,1100,86306,980
6083,31/12/2005,178441,368,7780,8632,18006,12880,7410,8088,24208,20298,15504,2344,16626,11338,3122,775,5366,12312,1556,3138,6920,35184,7068,8930,47140,12556,17760,596,39576,600
6085,31/12/2005,801650,184,106260,34458,55650,90478,17752,122876,75396,77564,1698,9002,65432,47042,10584,1664,23572,37242,6854,19154,29734,205289,19186,29148,173700,47886,97936,1004,191008,966
6087,31/12/2005,127415,0,5562,7394,8294,10824,6336,5208,20210,17360,5796,1256,12874,7646,2714,547,7012,6606,2504,4138,3250,27847,3788,4686,33160,9674,8634,166,29276,318
6095,31/12/2005,177410,1138,5386,4144,17034,17252,5188,8524,24154,15508,2032,4096,12872,10926,8008,185,10134,20504,4248,3806,7086,31509,7916,9780,55804,8582,17070,868,39108,862
6097,31/12/2005,221625,132,7760,12094,19630,21442,8058,7966,32490,24658,5190,4154,27120,14836,4594,643,8910,11146,3124,4200,3978,56380,10052,7572,53312,15404,27284,862,47890,664
6099,31/12/2005,203187,174,6454,3704,17564,13006,4448,3028,37546,20982,11280,3644,15056,12920,5804,807,7462,19600,2998,2342,3246,32399,15930,17416,55306,13840,27946,142,50468,1034
6107,31/12/2005,155366,244,1136,3512,11226,6764,6838,1048,15986,19442,46916,3784,8064,7648,4172,0,7494,10788,7628,652,1906,20840,12352,11952,34178,9410,21900,258,33102,824
6111,31/12/2005,373179,616,24818,18860,22246,35954,8764,19040,43684,38840,21740,7090,31174,21570,7492,898,8910,24438,8196,10780,12524,74403,14198,17392,109206,26736,40198,1828,92832,1214
6001,31/12/2006,704164,1166,46850,39892,47764,76060,19260,71776,78590,80540,832,13004,55010,37370,16882,869,29474,39800,5108,20790,28800,151706,28170,36534,200500,47886,73762,2770,145814,2338
6013,31/12/2006,498454,1292,24880,19030,34536,57618,13308,34242,68820,56076,1412,10256,46538,37110,12100,891,15224,27402,8324,14954,13888,117605,16190,19586,143080,30348,38566,3498,124272,1974
6019,31/12/2006,366707,672,7208,6934,28372,28902,12812,8122,44874,39736,43544,6788,33870,19372,10366,780,16708,27828,8752,6114,3892,51102,27230,23872,105246,26874,45394,1492,94768,792
6029,31/12/2006,317172,682,11550,6122,28538,12546,9528,5584,56050,38046,57580,7862,28874,15218,8990,631,12508,30678,10256,2018,5242,38117,25048,23880,79110,21878,27128,1700,66664,1666
6037,31/12/2006,4566995,3766,160436,344858,445816,408078,132626,159464,531422,452184,16936,122918,432362,247354,107998,13472,161150,274720,47764,124708,69998,764836,261206,276648,1367230,358466,698090,24164,1089610,20302
6041,31/12/2006,129417,398,5088,11004,11204,14666,4202,9302,15592,16078,342,2244,14802,13316,1152,673,4450,3842,668,7536,7672,31977,3648,1390,25162,9504,5124,642,35656,528
6053,31/12/2006,172846,338,3624,6802,16926,9932,4278,6972,17226,21472,40982,2976,17322,8204,4376,445,5776,9696,6096,2652,2526,28217,11832,9958,45276,11092,13346,836,35372,0
6059,31/12/2006,1465894,1368,83966,69062,118162,175894,33202,76516,156644,143068,8092,28416,140814,91602,34368,5998,34792,73052,13930,40570,26016,334550,56314,58232,400692,103076,207898,5302,403598,4708
6061,31/12/2006,160825,584,8292,4022,10138,19240,4770,11312,24436,15470,406,3878,16972,9868,3188,499,4612,11290,3626,2312,2438,39685,6776,3918,46190,11556,9934,1280,43752,502
6065,31/12/2006,881303,1222,31844,25748,85054,68672,20206,22982,175226,84436,16980,20848,94098,40406,19418,1116,26486,66194,19302,9740,6712,139585,51424,57388,256474,70726,115808,2452,227094,2684
6067,31/12/2006,631396,898,28894,21412,45114,77604,22174,41414,88480,61198,2634,15520,64384,36198,13874,605,22694,41312,10808,17354,14196,116604,29784,30336,201590,48030,47810,1474,154518,1556
6071,31/12/2006,853493,1172,23580,19108,63250,53946,24958,21134,136646,96878,3112,23820,79580,48112,22292,1406,28198,82884,23236,12926,7032,120081,85424,70840,261830,64248,120398,5746,197326,4992
6073,31/12/2006,1355727,7692,82298,61154,119446,142128,40702,87472,190708,141800,9838,31324,147396,89170,38196,3778,40404,88180,21180,33834,46144,273465,42752,51184,349842,112162,113770,6670,326562,4472
6075,31/12/2006,405303,442,19862,49668,22794,61722,11850,37554,23314,48664,332,7470,55892,29336,5220,783,10164,13614,2662,28566,17184,103863,6516,10128,87298,25672,26812,2472,93314,1330
6077,31/12/2006,285921,772,10312,5470,23146,20530,9180,7842,42554,29520,17202,5246,26426,12102,6148,266,11572,19516,6308,2440,4244,48263,32058,22422,92442,21394,35116,2306,55062,1026
6081,31/12/2006,357350,336,16798,16668,29648,45486,7128,33620,30714,35080,4912,8820,29686,24056,9166,1228,9884,18832,4638,10476,17604,90667,9446,15006,100086,26456,27236,3216,83622,1608
6083,31/12/2006,183888,484,11666,10298,29344,11842,5424,8552,20404,20378,18620,2998,23820,9820,2516,423,7534,10324,2988,2758,3884,30629,5926,5138,48790,14032,15162,470,41248,1002
