GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
6001,12/31/2005,1421308,*****,874025,17673,547283,17673
6007,12/31/2005,207937,*****,121799,5584,86138,5584
6013,12/31/2005,1006486,*****,735199,17318,271287,17318
6017,12/31/2005,175790,*****,129692,5397,46098,5397
6019,12/31/2005,858948,*****,488957,14668,369991,14668
6023,12/31/2005,124031,*****,74884,3485,49147,3485
6025,12/31/2005,144523,*****,85585,6413,58938,6413
6029,12/31/2005,724206,*****,461101,15304,263105,15304
6031,12/31/2005,121418,*****,66991,5523,54427,5523
6033,12/31/2005,63962,*****,47396,4458,16566,4458
6037,12/31/2005,9758886,*****,5069949,61548,4688937,61548
6039,12/31/2005,134159,*****,92694,5984,41465,5984
6041,12/31/2005,235609,*****,161648,6747,73961,6747
6045,12/31/2005,86011,*****,51226,4127,34785,4127
6047,12/31/2005,237278,*****,139522,9189,97756,9189
6053,12/31/2005,389004,*****,214176,11507,174828,11507
6055,12/31/2005,127445,*****,86957,4687,40488,4687
6057,12/31/2005,97572,*****,73909,4198,23663,4198
6059,12/31/2005,2944537,*****,1856391,30040,1088146,30040
6061,12/31/2005,314135,*****,236609,7844,77526,7844
6065,12/31/2005,1911281,*****,1359180,26236,552101,26236
6067,12/31/2005,1337942,*****,845359,18701,492583,18701
6071,12/31/2005,1916665,*****,1275097,24602,641568,24602
6073,12/31/2005,2824259,*****,1687838,29179,1136421,29179
6075,12/31/2005,719077,*****,320475,11185,398602,11185
6077,12/31/2005,646259,*****,410886,14486,235373,14486
6079,12/31/2005,239638,*****,150369,6261,89269,6261
6081,12/31/2005,689271,*****,446130,11388,243141,11388
6083,12/31/2005,383393,*****,215137,9648,168256,9648
6085,12/31/2005,1669890,*****,1058502,22909,611388,22909
6087,12/31/2005,240367,*****,146662,6694,93705,6694
6089,12/31/2005,176570,*****,116748,4777,59822,4777
6095,12/31/2005,395426,*****,274101,8902,121325,8902
6097,12/31/2005,453850,*****,296034,10777,157816,10777
6099,12/31/2005,497804,*****,320913,13052,176891,13052
6101,12/31/2005,87444,*****,60045,3400,27399,3400
6107,12/31/2005,404909,*****,234086,10829,170823,10829
6111,12/31/2005,782759,*****,549331,17280,233428,17280
6113,12/31/2005,176609,*****,103039,5422,73570,5422
6115,12/31/2005,65818,*****,36136,4663,29682,4663
6001,12/31/2006,1426617,1058,870833,17564,555784,17540
6007,12/31/2006,211012,407,129924,6271,81088,6244
6013,12/31/2006,1011614,538,749665,15679,261949,15689
6017,12/31/2006,176782,151,137709,5230,39073,5250
6019,12/31/2006,872538,747,488592,14006,383946,14003
6023,12/31/2006,125270,412,69953,4826,55317,4736
6025,12/31/2006,150460,346,93120,6583,57340,6611
6029,12/31/2006,745788,736,462298,14097,283490,14123
6031,12/31/2006,128660,637,69972,5442,58688,5464
6033,12/31/2006,64997,110,40676,4102,24321,4090
6037,12/31/2006,9744896,2963,5091079,44612,4653817,44637
6039,12/31/2006,135888,339,78834,6708,57054,6688
6041,12/31/2006,238286,439,160458,6308,77828,6332
6045,12/31/2006,86850,237,56371,4085,30479,4098
6047,12/31/2006,240883,464,127693,8858,113190,8811
6053,12/31/2006,390700,728,213813,10037,176887,10038
6055,12/31/2006,126591,822,81833,5356,44758,5185
6057,12/31/2006,97752,204,71501,4676,26251,4648
6059,12/31/2006,2966572,1207,1868437,27927,1098135,27958
6061,12/31/2006,323922,395,244998,6550,78924,6522
6065,12/31/2006,1995866,993,1402130,19143,593736,19159
6067,12/31/2006,1349868,968,859578,16024,490290,16059
6071,12/31/2006,1954906,1491,1333126,21626,621780,21737
6073,12/31/2006,2826027,1657,1656836,26402,1169191,26377
6075,12/31/2006,723392,946,332769,11305,390623,11252
6077,12/31/2006,658095,578,416932,13965,241163,13917
6079,12/31/2006,239429,675,149031,5938,90398,5861
6081,12/31/2006,698761,519,461616,11836,237145,11849
6083,12/31/2006,376915,1148,199188,6864,177727,7055
6085,12/31/2006,1697425,1807,1075053,19505,622372,19297
6087,12/31/2006,241652,260,146864,7151,94788,7161
6089,12/31/2006,177162,220,113637,6660,63525,6716
6095,12/31/2006,396235,602,266077,8657,130158,8698
6097,12/31/2006,455912,727,289437,8353,166475,8291
6099,12/31/2006,506039,486,335864,12440,170175,12443
6101,12/31/2006,91410,289,59398,3534,32012,3534
6107,12/31/2006,413258,866,245807,10247,167451,10173
6111,12/31/2006,788566,564,550918,14322,237648,14397
6113,12/31/2006,183307,247,103022,4550,80285,4538
6115,12/31/2006,68731,626,37444,4217,31287,4133
6001,12/31/2007,1424939,1831,866460,17285,558479,16985
6007,12/31/2007,214682,308,124735,5770,89947,5748
6013,12/31/2007,1010330,737,734722,11906,275608,11894
6017,12/31/2007,174944,91,129807,5522,45137,5531
6019,12/31/2007,883216,476,494411,15740,388805,15791
6023,12/31/2007,123691,309,74274,4237,49417,4235
6025,12/31/2007,150394,241,80290,5814,70104,5825
6029,12/31/2007,750032,755,464319,14911,285713,14833
6031,12/31/2007,128729,873,73087,5909,55642,5759
6033,12/31/2007,63848,97,48482,3919,15366,3897
6037,12/31/2007,9698721,2457,5016669,45592,4682052,45180
6039,12/31/2007,137370,463,83377,6162,53993,6222
6041,12/31/2007,237923,910,161324,5912,76599,5994
6045,12/31/2007,84704,367,55119,4110,29585,4117
6047,12/31/2007,243545,169,139476,9224,104069,9215
6053,12/31/2007,389480,304,205323,10282,184157,10300
6055,12/31/2007,126107,482,84258,4435,41849,4310
6057,12/31/2007,96116,107,67178,4304,28938,4315
6059,12/31/2007,2954771,1284,1860354,22475,1094417,22576
6061,12/31/2007,327721,782,241064,6444,86657,6488
6065,12/31/2007,2043499,816,1444954,24577,598545,24696
6067,12/31/2007,1357069,851,860759,16553,496310,16437
6071,12/31/2007,1961784,1114,1304268,22856,657516,22747
6073,12/31/2007,2867803,2215,1636375,24366,1231428,24366
6075,12/31/2007,748613,874,334888,12821,413725,12673
6077,12/31/2007,648747,1145,417359,14837,231388,14839
6079,12/31/2007,243636,1402,146475,6951,97161,6748
6081,12/31/2007,697251,627,445607,11431,251644,11474
6083,12/31/2007,385230,699,206353,8029,178877,8091
6085,12/31/2007,1711713,2683,1081431,19436,630282,18755
6087,12/31/2007,243362,459,148608,7261,94754,7143
6089,12/31/2007,177390,196,117541,5299,59849,5290
6095,12/31/2007,395923,318,267391,7897,128532,7886
