GeoID,Date,Estimate; Median contract rent,Margin of Error; Median contract rent
6001,12/31/2005,987,18
6007,12/31/2005,660,23
6013,12/31/2005,1047,26
6017,12/31/2005,854,34
6019,12/31/2005,602,16
6023,12/31/2005,561,31
6025,12/31/2005,475,42
6029,12/31/2005,555,18
6031,12/31/2005,564,38
6033,12/31/2005,589,55
6037,12/31/2005,852,5
6039,12/31/2005,549,43
6041,12/31/2005,1323,69
6045,12/31/2005,649,46
6047,12/31/2005,612,27
6053,12/31/2005,946,31
6055,12/31/2005,992,47
6057,12/31/2005,851,74
6059,12/31/2005,1161,11
6061,12/31/2005,935,47
6065,12/31/2005,823,19
6067,12/31/2005,785,9
6071,12/31/2005,817,18
6073,12/31/2005,999,13
6075,12/31/2005,1068,20
6077,12/31/2005,755,19
6079,12/31/2005,936,57
6081,12/31/2005,1199,28
6083,12/31/2005,1052,53
6085,12/31/2005,1145,21
6087,12/31/2005,1109,46
6089,12/31/2005,610,36
6095,12/31/2005,989,32
6097,12/31/2005,974,28
6099,12/31/2005,697,22
6101,12/31/2005,668,39
6107,12/31/2005,508,21
6111,12/31/2005,1097,32
6113,12/31/2005,853,30
6115,12/31/2005,586,81
6001,12/31/2006,1015,19
6007,12/31/2006,694,26
6013,12/31/2006,1086,28
6017,12/31/2006,855,82
6019,12/31/2006,626,13
6023,12/31/2006,643,35
6025,12/31/2006,518,45
6029,12/31/2006,604,14
6031,12/31/2006,559,59
6033,12/31/2006,629,54
6037,12/31/2006,905,7
6039,12/31/2006,667,55
6041,12/31/2006,1383,46
6045,12/31/2006,750,87
6047,12/31/2006,658,27
6053,12/31/2006,950,29
6055,12/31/2006,998,66
6057,12/31/2006,966,122
6059,12/31/2006,1228,13
6061,12/31/2006,939,30
6065,12/31/2006,892,17
6067,12/31/2006,823,14
6071,12/31/2006,855,11
6073,12/31/2006,1052,14
6075,12/31/2006,1128,26
6077,12/31/2006,762,22
6079,12/31/2006,961,45
6081,12/31/2006,1251,35
6083,12/31/2006,1067,38
6085,12/31/2006,1169,14
6087,12/31/2006,1090,43
6089,12/31/2006,598,31
6095,12/31/2006,965,32
6097,12/31/2006,1045,32
6099,12/31/2006,715,22
6101,12/31/2006,665,33
6107,12/31/2006,536,19
6111,12/31/2006,1193,33
6113,12/31/2006,826,33
6115,12/31/2006,602,94
6001,12/31/2007,1038,17
6007,12/31/2007,691,31
6013,12/31/2007,1115,28
6017,12/31/2007,850,47
6019,12/31/2007,679,12
6023,12/31/2007,685,45
6025,12/31/2007,499,22
6029,12/31/2007,641,13
6031,12/31/2007,595,30
6033,12/31/2007,739,82
6037,12/31/2007,957,6
6039,12/31/2007,656,47
6041,12/31/2007,1363,49
6045,12/31/2007,727,48
6047,12/31/2007,662,46
6053,12/31/2007,989,24
6055,12/31/2007,1074,70
6057,12/31/2007,875,37
6059,12/31/2007,1293,13
6061,12/31/2007,959,43
6065,12/31/2007,944,24
6067,12/31/2007,847,13
6071,12/31/2007,919,16
6073,12/31/2007,1089,12
6075,12/31/2007,1141,22
6077,12/31/2007,801,23
6079,12/31/2007,990,61
6081,12/31/2007,1369,30
6083,12/31/2007,1117,35
6085,12/31/2007,1244,24
6087,12/31/2007,1094,51
6089,12/31/2007,651,40
6095,12/31/2007,1025,50
6097,12/31/2007,1069,34
6099,12/31/2007,782,29
6101,12/31/2007,678,23
6107,12/31/2007,576,50
6111,12/31/2007,1243,41
6113,12/31/2007,888,30
6115,12/31/2007,624,39
6001,12/31/2008,1122,15
6007,12/31/2008,726,31
6013,12/31/2008,1179,24
6017,12/31/2008,931,55
6019,12/31/2008,684,14
6023,12/31/2008,659,46
6025,12/31/2008,545,24
6029,12/31/2008,679,17
6031,12/31/2008,750,53
6033,12/31/2008,665,89
6037,12/31/2008,1006,8
6039,12/31/2008,798,73
6041,12/31/2008,1515,78
6045,12/31/2008,727,75
6047,12/31/2008,619,34
6053,12/31/2008,998,45
6055,12/31/2008,1056,89
6057,12/31/2008,877,53
6059,12/31/2008,1345,16
6061,12/31/2008,1056,62
6065,12/31/2008,1005,25
6067,12/31/2008,870,13
6071,12/31/2008,957,16
6073,12/31/2008,1132,13
6075,12/31/2008,1206,35
6077,12/31/2008,800,23
6079,12/31/2008,1009,51
6081,12/31/2008,1371,31
6083,12/31/2008,1200,46
6085,12/31/2008,1339,26
6087,12/31/2008,1203,54
6089,12/31/2008,687,36
6095,12/31/2008,1100,36
6097,12/31/2008,1078,36
6099,12/31/2008,789,20
6101,12/31/2008,681,34
6107,12/31/2008,617,23
6111,12/31/2008,1311,31
6113,12/31/2008,976,43
6115,12/31/2008,713,59
6001,12/31/2009,1111,16
6007,12/31/2009,738,42
6013,12/31/2009,1185,32
6017,12/31/2009,990,71
6019,12/31/2009,718,13
6023,12/31/2009,722,39
6025,12/31/2009,547,26
6029,12/31/2009,701,21
6031,12/31/2009,690,33
6033,12/31/2009,695,122
6037,12/31/2009,1049,9
6039,12/31/2009,721,61
6041,12/31/2009,1511,78
6045,12/31/2009,728,50
6047,12/31/2009,686,24
6053,12/31/2009,1016,39
6055,12/31/2009,1152,65
6057,12/31/2009,1042,97
6059,12/31/2009,1367,12
6061,12/31/2009,1015,60
6065,12/31/2009,986,17
6067,12/31/2009,860,14
6071,12/31/2009,934,17
6073,12/31/2009,1157,14
6075,12/31/2009,1312,37
6077,12/31/2009,859,17
6079,12/31/2009,1011,53
6081,12/31/2009,1381,33
6083,12/31/2009,1183,38
6085,12/31/2009,1349,22
6087,12/31/2009,1159,62
6089,12/31/2009,686,26
6095,12/31/2009,1077,47
6097,12/31/2009,1073,43
6099,12/31/2009,802,24
6101,12/31/2009,704,45
6107,12/31/2009,664,33
6111,12/31/2009,1301,42
6113,12/31/2009,946,36
6115,12/31/2009,688,61
6001,12/31/2010,1126,14
6007,12/31/2010,764,29
6013,12/31/2010,1198,26
6017,12/31/2010,981,111
6019,12/31/2010,707,17
6023,12/31/2010,721,43
6025,12/31/2010,615,31
6029,12/31/2010,709,18
6031,12/31/2010,692,39
6033,12/31/2010,649,74
6037,12/31/2010,1061,7
6039,12/31/2010,788,65
6041,12/31/2010,1428,58
6045,12/31/2010,845,40
6047,12/31/2010,687,29
6053,12/31/2010,1075,42
6055,12/31/2010,1113,52
6057,12/31/2010,878,83
6059,12/31/2010,1320,13
6061,12/31/2010,980,49
6065,12/31/2010,985,22
6067,12/31/2010,865,13
6071,12/31/2010,922,18
6073,12/31/2010,1178,12
6075,12/31/2010,1321,38
6077,12/31/2010,848,22
6079,12/31/2010,1034,53
6081,12/31/2010,1394,31
6083,12/31/2010,1183,41
6085,12/31/2010,1345,22
6087,12/31/2010,1194,64
6089,12/31/2010,736,36
6095,12/31/2010,1096,39
6097,12/31/2010,1121,27
6099,12/31/2010,813,26
6101,12/31/2010,713,33
6107,12/31/2010,665,27
6111,12/31/2010,1294,53
6113,12/31/2010,957,48
6115,12/31/2010,707,55
6001,12/31/2011,1173,17
6007,12/31/2011,741,31
6013,12/31/2011,1181,28
6017,12/31/2011,871,50
6019,12/31/2011,730,14
6023,12/31/2011,757,40
6025,12/31/2011,592,55
6029,12/31/2011,713,22
6031,12/31/2011,769,26
6033,12/31/2011,791,115
6037,12/31/2011,1073,6
6039,12/31/2011,671,33
6041,12/31/2011,1391,69
6045,12/31/2011,857,65
6047,12/31/2011,712,33
6053,12/31/2011,1061,31
6055,12/31/2011,1223,92
6057,12/31/2011,1009,141
6059,12/31/2011,1360,15
6061,12/31/2011,1040,55
6065,12/31/2011,960,21
6067,12/31/2011,872,12
6071,12/31/2011,937,18
6073,12/31/2011,1170,16
6075,12/31/2011,1361,38
6077,12/31/2011,834,22
