GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $49,999","Margin of Error; $40,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $69,999","Margin of Error; $60,000 to $69,999","Estimate; $70,000 to $79,999","Margin of Error; $70,000 to $79,999","Estimate; $80,000 to $89,999","Margin of Error; $80,000 to $89,999","Estimate; $90,000 to $99,999","Margin of Error; $90,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $174,999","Margin of Error; $150,000 to $174,999","Estimate; $175,000 to $199,999","Margin of Error; $175,000 to $199,999","Estimate; $200,000 to $249,999","Margin of Error; $200,000 to $249,999","Estimate; $250,000 to $299,999","Margin of Error; $250,000 to $299,999","Estimate; $300,000 to $399,999","Margin of Error; $300,000 to $399,999","Estimate; $400,000 to $499,999","Margin of Error; $400,000 to $499,999","Estimate; $500,000 to $749,999","Margin of Error; $500,000 to $749,999","Estimate; $750,000 to $999,999","Margin of Error; $750,000 to $999,999","Estimate; $1,000,000 or more","Margin of Error; $1,000,000 or more"
6001,31/12/2005,298774,6294,717,378,48,81,122,146,198,142,319,222,452,266,824,446,1464,544,1166,430,1214,494,1377,473,1908,590,854,370,1411,472,1007,526,2228,1162,1320,512,5799,1016,4958,1372,27228,2701,47689,4012,120479,4669,47732,2655,28260,2162
6007,31/12/2005,47434,2224,417,204,253,202,390,391,182,136,307,172,294,196,156,161,216,166,617,327,386,246,730,488,452,260,433,251,1941,583,1418,453,3511,891,3045,696,7825,1488,4639,951,9896,1319,4828,907,3856,802,1044,474,598,336
6013,31/12/2005,256205,5089,747,415,334,312,279,208,292,215,629,467,294,218,266,261,810,350,826,383,693,316,1407,594,324,255,781,368,1577,547,935,362,1826,555,1607,572,6606,1082,4539,1196,27206,2747,43811,3490,89541,4175,39742,2772,31133,2206
6017,31/12/2005,47998,2135,254,307,96,108,358,423,290,226,126,154,75,116,57,104,150,178,338,254,207,205,259,191,63,107,58,96,353,222,404,237,235,203,299,257,2272,642,1572,518,9687,1599,6997,1059,16002,1448,5718,1094,2128,732
6019,31/12/2005,157789,4439,1741,650,645,471,460,342,352,309,627,400,438,168,427,266,888,423,980,393,1481,577,3722,1578,3115,720,1533,445,7719,1635,6225,1059,9714,1335,12049,1972,26434,2409,17447,2503,31741,2463,13936,1636,11746,1600,2844,740,1525,681
6023,31/12/2005,29520,1528,1014,499,147,118,369,364,262,261,60,101,0,293,67,110,140,130,76,93,46,55,720,344,346,220,456,353,532,316,644,328,1078,380,1123,416,4340,919,3294,777,6512,1067,3204,741,3692,864,774,324,624,304
6025,31/12/2005,26044,1778,650,397,236,192,277,198,0,293,254,209,619,381,241,184,181,202,612,388,58,78,764,391,683,432,578,296,1935,647,1675,640,3638,834,2230,680,4468,1025,2870,770,2861,800,777,442,370,271,67,90,0,293
6029,31/12/2005,145321,4991,2073,545,1019,495,401,246,865,512,1309,478,519,296,497,254,1810,639,1839,675,2017,975,3322,1126,4348,895,3719,1259,11979,2509,10550,1715,12380,1364,8886,1189,24014,2139,12983,2059,21296,2227,10003,1456,7096,1206,1538,653,858,455
6031,31/12/2005,21101,1317,492,424,64,77,99,123,0,293,53,91,171,218,46,79,494,376,88,103,241,231,538,384,876,390,730,427,2234,661,1402,518,1646,513,2489,648,4007,748,1801,545,2562,725,576,265,282,158,152,160,58,101
6033,31/12/2005,19164,1732,1117,671,74,132,243,222,44,75,246,242,370,358,67,122,64,109,287,366,298,275,213,250,600,569,124,150,1061,486,870,647,893,527,720,461,2168,801,1156,570,3752,1071,2039,884,1564,735,634,290,560,359
6037,31/12/2005,1562853,17727,6056,1407,2497,731,2674,686,2876,806,4410,1614,5348,1094,5279,1469,6715,1015,7120,1112,5951,1081,4710,927,6323,1591,4346,982,11778,1758,12490,2195,15723,2109,21431,2879,83192,4789,62899,4799,256230,8686,315484,10453,408598,9573,160896,5046,149827,5544
6039,31/12/2005,28120,1934,35,58,227,343,86,102,0,293,0,293,214,202,0,293,259,269,103,120,408,324,144,160,108,126,217,175,933,482,1071,494,1309,506,1107,476,3939,850,3371,977,6319,1249,4730,921,2908,641,294,197,338,264
6041,31/12/2005,67253,2696,191,190,0,293,91,153,0,293,54,89,271,264,0,293,122,140,0,293,331,266,228,169,254,219,120,146,586,271,44,75,321,226,154,180,315,204,590,319,1729,602,2639,683,16945,1753,18271,1912,23997,1988
6045,31/12/2005,21238,1711,491,315,487,532,55,91,98,129,0,293,0,293,0,293,230,210,89,153,83,97,37,64,284,185,296,298,600,422,319,245,621,344,655,404,2129,741,1155,528,3519,910,3463,861,3718,900,1352,592,1557,683
6047,31/12/2005,42329,2309,522,271,215,264,236,275,0,293,197,211,214,220,158,187,99,119,0,293,243,211,52,89,335,236,193,161,1015,465,1135,473,1399,494,2848,886,7116,1121,4631,1051,10537,1489,4350,931,4930,1037,1078,469,826,317
6053,31/12/2005,68664,2945,343,335,114,127,206,203,285,287,62,102,173,182,60,100,253,254,324,228,319,218,219,169,330,212,436,255,292,263,326,277,434,353,292,195,996,348,988,495,4151,841,9087,1634,25129,2325,12304,1787,11541,1370
6055,31/12/2005,32323,1865,89,106,346,296,33,58,0,293,208,226,34,57,0,293,234,220,125,153,316,262,412,234,1058,490,53,87,271,200,216,229,80,136,158,166,590,316,153,159,1493,603,5261,969,12109,1614,4350,900,4734,981
6057,31/12/2005,28888,1824,221,276,59,107,51,86,99,133,128,205,153,288,179,186,105,146,163,164,40,70,170,169,187,153,128,130,183,154,234,187,281,223,662,313,2103,711,1136,576,5207,1185,7377,1378,6014,1065,2314,760,1694,579
6059,31/12/2005,601038,8161,1482,528,1302,1027,631,301,802,402,880,379,1153,486,1607,476,2937,735,4125,1157,3522,797,4136,805,2482,618,1982,587,4159,913,3947,952,4464,1172,4226,827,13371,2271,12171,2161,43600,3062,74365,3930,228840,6237,109568,4540,75286,3576
6061,31/12/2005,85499,3359,386,264,140,106,109,130,441,442,402,285,293,318,46,76,203,145,259,192,411,291,199,159,358,399,113,135,289,216,338,209,763,403,668,449,2473,655,2502,742,14252,1713,19679,2034,27906,2624,8479,1380,4790,1144
6065,31/12/2005,434872,8719,4483,1245,3101,741,1971,641,1975,584,1569,545,2195,626,2020,1188,3017,669,3034,787,2937,743,2566,771,2515,618,2491,645,7930,1345,10718,2252,13755,2217,12958,2098,35698,2686,28388,3198,103474,5184,85694,4839,78953,4453,14574,1629,8856,1478
6067,31/12/2005,300975,6108,3316,1271,378,303,715,295,793,472,1176,471,568,316,701,347,1704,590,1352,598,1345,393,915,392,2572,1027,2359,746,2856,679,2791,707,6185,1166,7662,1230,29632,2476,23062,2664,92245,4947,59181,3402,46652,3320,8549,1108,4266,712
6071,31/12/2005,383061,8033,4481,1258,3358,1061,2505,1249,1944,618,1695,650,2094,766,1347,511,3297,937,3937,1309,2905,639,2955,791,3850,892,3761,1432,11212,2083,8585,1975,13236,2500,15702,2439,44728,3695,38968,3219,93802,5135,57195,3642,47699,3239,9890,1412,3915,1059
6073,31/12/2005,605855,9464,2836,856,1198,440,2227,1024,1808,624,1695,588,1345,490,2145,596,3215,779,4025,1440,3474,864,3038,882,2668,681,1884,621,4963,943,2799,607,4559,934,3715,1311,16229,1992,15492,2402,67716,4210,110382,4612,219006,5732,74694,4081,54742,2934
6075,31/12/2005,122603,4341,339,289,73,131,73,116,0,293,0,293,137,136,48,79,337,256,1022,449,1351,546,569,297,391,300,116,136,350,240,93,111,176,166,331,276,1535,551,638,288,4036,775,8778,1542,45116,2589,28959,2669,28135,2592
6077,31/12/2005,129522,3815,1474,757,312,173,237,210,520,307,156,112,431,298,611,466,418,258,959,396,482,325,320,262,305,168,570,321,1911,593,1438,575,3750,1219,3983,959,10395,1424,9275,1770,34174,2229,27079,2981,22510,1920,5195,1043,3017,706
6079,31/12/2005,64077,2752,605,458,403,322,151,184,63,103,111,133,282,359,246,246,698,436,255,217,308,202,652,607,151,111,310,217,1206,853,394,296,1167,729,1244,487,1849,600,1986,638,7500,1520,10250,1495,18698,1918,10878,1411,4670,1009
6081,31/12/2005,158672,4079,478,314,72,117,53,87,137,163,88,101,187,183,183,175,343,248,391,268,665,319,797,432,384,215,531,310,1007,435,282,194,463,279,283,207,1409,496,1372,568,4330,951,8428,1464,55201,3683,42840,2978,38748,2406
6083,31/12/2005,79553,2759,413,240,174,168,0,293,309,247,121,135,388,261,450,395,374,195,305,253,191,246,449,266,859,534,488,264,604,240,1075,362,1013,402,688,323,1680,627,1717,554,6639,996,12118,1621,16618,2185,13566,1572,19314,2147
6085,31/12/2005,349388,7404,428,234,190,199,594,393,307,214,530,376,1431,794,757,356,2260,604,3190,1260,2440,614,2657,711,3008,727,2303,1098,2229,994,2409,680,1716,619,1552,585,3658,972,4924,1293,12512,1781,27290,3204,135237,5059,74332,4504,63434,3388
6087,31/12/2005,55676,2686,104,152,133,152,77,129,45,76,0,293,53,91,0,293,179,148,236,305,392,257,325,214,546,319,307,187,843,434,591,345,414,247,274,197,1706,498,707,293,2823,888,3935,798,18218,2014,14723,1665,9045,1367
6089,31/12/2005,44986,1865,646,329,234,194,155,138,113,122,160,128,400,257,102,91,282,208,850,538,312,249,700,331,537,283,1011,495,2086,546,1959,633,4088,865,2794,699,7537,944,5217,835,7565,1078,4207,736,2998,665,785,423,248,200
