GeoID,Date,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
6001,31/12/2005,597700,7544
6007,31/12/2005,262300,16157
6013,31/12/2005,590200,8987
6017,31/12/2005,497800,19846
6019,31/12/2005,251000,7384
6023,31/12/2005,300700,16054
6025,31/12/2005,182000,13600
6029,31/12/2005,210700,6453
6031,31/12/2005,188800,8155
6033,31/12/2005,255300,44508
6037,31/12/2005,480300,2790
6039,31/12/2005,308400,17902
6041,31/12/2005,868200,19748
6045,31/12/2005,385000,30071
6047,31/12/2005,305300,14925
6053,31/12/2005,645700,16643
6055,31/12/2005,603900,21637
6057,31/12/2005,440100,16460
6059,31/12/2005,623600,4025
6061,31/12/2005,492000,11390
6065,31/12/2005,371600,5027
6067,31/12/2005,365500,3404
6071,31/12/2005,322400,4878
6073,31/12/2005,552000,5619
6075,31/12/2005,726700,13760
6077,31/12/2005,379600,6545
6079,31/12/2005,529500,20524
6081,31/12/2005,763100,17416
6083,31/12/2005,646300,22060
6085,31/12/2005,681700,6995
6087,31/12/2005,694100,21154
6089,31/12/2005,240200,8082
6095,31/12/2005,454600,6842
6097,31/12/2005,601700,10526
6099,31/12/2005,347100,5077
6101,31/12/2005,286600,19244
6107,31/12/2005,202400,7687
6111,31/12/2005,602700,7417
6113,31/12/2005,434900,12825
6115,31/12/2005,247000,16797
6001,31/12/2006,646800,5277
6007,31/12/2006,273700,12040
6013,31/12/2006,641900,6695
6017,31/12/2006,515100,22758
6019,31/12/2006,301400,6522
6023,31/12/2006,336000,8262
6025,31/12/2006,245100,12467
6029,31/12/2006,255100,6313
6031,31/12/2006,228000,12180
6033,31/12/2006,317800,26216
6037,31/12/2006,574100,2897
6039,31/12/2006,336500,15567
6041,31/12/2006,901900,16081
6045,31/12/2006,457400,25933
6047,31/12/2006,359300,9036
6053,31/12/2006,685100,16288
6055,31/12/2006,657300,17557
6057,31/12/2006,478400,16491
6059,31/12/2006,676000,4493
6061,31/12/2006,507900,18417
6065,31/12/2006,414000,4274
6067,31/12/2006,389200,3323
6071,31/12/2006,378100,3670
6073,31/12/2006,572000,4093
6075,31/12/2006,806700,14966
6077,31/12/2006,427000,7456
6079,31/12/2006,581000,17537
6081,31/12/2006,814700,11103
6083,31/12/2006,685700,28193
6085,31/12/2006,743000,7385
6087,31/12/2006,717100,19848
6089,31/12/2006,290500,12253
6095,31/12/2006,489600,7170
6097,31/12/2006,618500,8232
6099,31/12/2006,371700,5121
6101,31/12/2006,335300,12296
6107,31/12/2006,232100,5672
6111,31/12/2006,648000,6283
6113,31/12/2006,455700,17459
6115,31/12/2006,286400,18916
6001,31/12/2007,651800,5705
6007,31/12/2007,288100,13433
6013,31/12/2007,622200,6425
6017,31/12/2007,506500,20206
6019,31/12/2007,296300,6098
6023,31/12/2007,321000,13183
6025,31/12/2007,247000,11361
6029,31/12/2007,256800,6529
6031,31/12/2007,240700,9296
6033,31/12/2007,301800,27985
6037,31/12/2007,589100,2733
6039,31/12/2007,332200,14849
6041,31/12/2007,918700,18695
6045,31/12/2007,469000,29525
6047,31/12/2007,323700,12985
6053,31/12/2007,658700,9598
6055,31/12/2007,643400,19539
6057,31/12/2007,477900,16162
6059,31/12/2007,670600,4390
6061,31/12/2007,483700,10819
6065,31/12/2007,406300,4376
6067,31/12/2007,370600,2654
6071,31/12/2007,387000,4046
6073,31/12/2007,556500,5568
6075,31/12/2007,830700,17971
6077,31/12/2007,399500,7785
6079,31/12/2007,578900,17834
6081,31/12/2007,843100,9738
6083,31/12/2007,641800,31946
6085,31/12/2007,758100,10263
6087,31/12/2007,756800,24612
6089,31/12/2007,255500,14718
6095,31/12/2007,479500,8150
6097,31/12/2007,613900,9422
6099,31/12/2007,358500,5446
6101,31/12/2007,292700,13489
6107,31/12/2007,235100,5032
6111,31/12/2007,641300,5755
6113,31/12/2007,444100,17487
6115,31/12/2007,284100,31517
6001,31/12/2008,606700,6830
6007,31/12/2008,276900,9881
6013,31/12/2008,548600,12083
6017,31/12/2008,446600,16055
6019,31/12/2008,261900,6243
6023,31/12/2008,321200,13900
6025,31/12/2008,214100,11203
6029,31/12/2008,222400,5012
6031,31/12/2008,226300,6347
6033,31/12/2008,256600,33577
6037,31/12/2008,525100,5088
6039,31/12/2008,292500,16865
6041,31/12/2008,922600,24573
6045,31/12/2008,414000,31896
6047,31/12/2008,239800,12349
6053,31/12/2008,535700,24130
6055,31/12/2008,608100,25756
6057,31/12/2008,450000,20671
6059,31/12/2008,616400,5783
6061,31/12/2008,416700,11164
6065,31/12/2008,329600,4045
6067,31/12/2008,312400,4636
6071,31/12/2008,331400,4309
6073,31/12/2008,482900,4201
6075,31/12/2008,824300,16575
6077,31/12/2008,311300,7529
6079,31/12/2008,532600,22682
6081,31/12/2008,820400,11824
6083,31/12/2008,557400,41308
6085,31/12/2008,729000,8336
6087,31/12/2008,660400,19283
6089,31/12/2008,279400,11669
6095,31/12/2008,388800,7908
6097,31/12/2008,518700,17517
6099,31/12/2008,276100,7322
6101,31/12/2008,265700,12519
6107,31/12/2008,223700,4783
6111,31/12/2008,566200,7783
6113,31/12/2008,388200,15972
6115,31/12/2008,219700,20572
6001,31/12/2009,507400,9129
6007,31/12/2009,245100,10270
6013,31/12/2009,424500,11329
6017,31/12/2009,399800,18740
6019,31/12/2009,221700,4976
6023,31/12/2009,303900,15732
6025,31/12/2009,160300,6058
6029,31/12/2009,177800,5779
6031,31/12/2009,204800,8985
6033,31/12/2009,252500,41247
6037,31/12/2009,441400,3174
6039,31/12/2009,226500,14811
6041,31/12/2009,820200,29698
6045,31/12/2009,369800,20046
6047,31/12/2009,157500,6833
6053,31/12/2009,402700,24708
6055,31/12/2009,456100,22904
6057,31/12/2009,413900,23583
6059,31/12/2009,530400,6682
6061,31/12/2009,369400,6041
6065,31/12/2009,247200,3965
6067,31/12/2009,257800,4613
6071,31/12/2009,242000,4294
6073,31/12/2009,417700,5353
6075,31/12/2009,751600,18304
6077,31/12/2009,221600,5918
6079,31/12/2009,460300,16340
6081,31/12/2009,731800,13314
6083,31/12/2009,553900,31245
6085,31/12/2009,645500,7430
6087,31/12/2009,590800,18184
6089,31/12/2009,243300,7596
6095,31/12/2009,297300,7687
6097,31/12/2009,446700,10646
6099,31/12/2009,196800,7736
6101,31/12/2009,199600,13724
6107,31/12/2009,175400,8073
6111,31/12/2009,475900,8890
6113,31/12/2009,337700,13687
6115,31/12/2009,180700,23655
6001,31/12/2010,497200,8918
6007,31/12/2010,233800,10826
6013,31/12/2010,416000,17153
6017,31/12/2010,376600,13964
6019,31/12/2010,212500,4546
6023,31/12/2010,294100,12602
6025,31/12/2010,154100,5495
6029,31/12/2010,164200,3666
6031,31/12/2010,184600,9771
6033,31/12/2010,196200,23892
6037,31/12/2010,429500,4088
6039,31/12/2010,203900,20534
6041,31/12/2010,775200,25501
6045,31/12/2010,360200,22336
6047,31/12/2010,146100,10127
6053,31/12/2010,381700,12839
6055,31/12/2010,424100,34194
6057,31/12/2010,369300,14132
6059,31/12/2010,528200,6500
6061,31/12/2010,344100,8339
6065,31/12/2010,227900,2802
6067,31/12/2010,240200,3460
6071,31/12/2010,221700,5300
6073,31/12/2010,407000,5547
6075,31/12/2010,768000,19204
6077,31/12/2010,213400,4739
6079,31/12/2010,425200,16140
6081,31/12/2010,729500,14036
6083,31/12/2010,446800,28795
6085,31/12/2010,639400,8631
6087,31/12/2010,558000,16351
6089,31/12/2010,225600,11214
6095,31/12/2010,262600,9034
6097,31/12/2010,414000,11680
6099,31/12/2010,176800,5404
6101,31/12/2010,206600,11044
6107,31/12/2010,170300,4846
6111,31/12/2010,458200,8696
6113,31/12/2010,324800,19017
6115,31/12/2010,173700,11509
6001,31/12/2011,480700,8458
6007,31/12/2011,226600,12429
6013,31/12/2011,391400,9627
6017,31/12/2011,337900,13234
6019,31/12/2011,184300,6726
6023,31/12/2011,304900,16135
6025,31/12/2011,130800,11389
6029,31/12/2011,155900,3998
