GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
6001,31/12/2005,298774,6294,233793,5811,71729,3852,15029,2304,56700,3263,4360,959,157704,5766,64981,3550
6007,31/12/2005,47434,2224,30634,2022,9241,1191,1451,532,7790,1136,388,267,21005,2066,16800,1439
6013,31/12/2005,256205,5089,203039,5033,70057,3847,16159,2793,53898,3239,2996,745,129986,5433,53166,2614
6017,31/12/2005,47998,2135,35737,1876,11243,1513,2479,908,8764,1173,381,235,24113,1749,12261,1554
6019,31/12/2005,157789,4439,115773,4375,26775,2279,7813,1660,18962,1863,2026,859,86972,4355,42016,2940
6023,31/12/2005,29520,1528,17660,1381,4818,946,736,327,4082,834,703,506,12139,1408,11860,1154
6025,31/12/2005,26044,1778,17252,1457,1873,570,926,365,947,401,461,426,14918,1457,8792,1159
6029,31/12/2005,145321,4991,106031,4141,21900,2130,6657,1442,15243,1541,798,439,83333,4092,39290,2831
6031,31/12/2005,21101,1317,14741,1504,2649,770,837,393,1812,647,127,136,11965,1434,6360,878
6033,31/12/2005,19164,1732,11467,1618,1541,646,472,318,1069,547,406,474,9520,1405,7697,1367
6037,31/12/2005,1562853,17727,1208550,16837,314847,9956,76950,5726,237897,7336,25544,2794,868159,15626,354303,8676
6039,31/12/2005,28120,1934,19777,1852,5051,1077,1525,564,3526,993,212,241,14514,1527,8343,996
6041,31/12/2005,67253,2696,49829,2500,17994,1923,1439,538,16555,1883,640,538,31195,2311,17424,1862
6045,31/12/2005,21238,1711,11933,1406,3123,1032,798,459,2325,883,212,178,8598,1257,9305,1196
6047,31/12/2005,42329,2309,30228,2123,5355,1027,1567,541,3788,797,825,570,24048,1991,12101,1222
6053,31/12/2005,68664,2945,50422,2852,14516,1931,2145,694,12371,1759,837,515,35069,2970,18242,1488
6055,31/12/2005,32323,1865,22802,1753,7530,1103,1280,627,6250,1105,160,205,15112,1726,9521,1164
6057,31/12/2005,28888,1824,19332,1609,7006,1144,1008,501,5998,960,150,166,12176,1520,9556,1250
6059,31/12/2005,601038,8161,470919,7972,140793,5129,24039,2466,116754,4881,7540,1463,322586,7971,130119,4367
6061,31/12/2005,85499,3359,65895,3447,24891,2134,5151,1048,19740,2033,1054,460,39950,3183,19604,1714
6065,31/12/2005,434872,8719,333623,8818,94617,5437,29508,3507,65109,4170,6087,1409,232919,8376,101249,3844
6067,31/12/2005,300975,6108,233524,5941,70602,4510,17279,2064,53323,4290,4694,1184,158228,5874,67451,3333
6071,31/12/2005,383061,8033,301738,7455,62947,3961,17595,2769,45352,3002,5327,1256,233464,7754,81323,3896
6073,31/12/2005,605855,9464,463882,9150,141796,5292,24878,2758,116918,4393,7045,1397,315041,8678,141973,4737
6075,31/12/2005,122603,4341,85560,3739,22937,2479,3028,806,19909,2221,913,443,61710,3262,37043,2675
6077,31/12/2005,129522,3815,101175,3727,25476,2271,7433,1458,18043,1839,1428,529,74271,3878,28347,2069
6079,31/12/2005,64077,2752,45652,2747,13907,1682,2741,1031,11166,1489,647,424,31098,2420,18425,1919
6081,31/12/2005,158672,4079,117527,4386,40732,3344,6476,1342,34256,2879,1602,465,75193,4263,41145,2394
6083,31/12/2005,79553,2759,56337,2735,19207,2408,2265,703,16942,2217,945,554,36185,2424,23216,1692
6085,31/12/2005,349388,7404,269769,7539,83850,4626,15662,2038,68188,4008,6554,1426,179365,6791,79619,3588
6087,31/12/2005,55676,2686,40302,2662,15495,1739,1941,647,13554,1678,665,292,24142,2381,15374,1558
6089,31/12/2005,44986,1865,30074,1970,8473,1027,2156,688,6317,839,539,308,21062,1847,14912,1367
6095,31/12/2005,90074,2954,73478,2885,23313,2118,6425,1119,16888,1876,884,479,49281,2693,16596,1704
6097,31/12/2005,113484,3889,84766,3400,28348,2418,5642,1190,22706,2102,962,460,55456,2889,28718,2388
6099,31/12/2005,100836,3462,76698,3154,20435,2214,6170,1250,14265,1743,1136,547,55127,3005,24138,1818
6101,31/12/2005,19429,1224,13638,1138,4531,1068,1581,721,2950,822,67,106,9040,1085,5791,901
6107,31/12/2005,71243,2497,51118,2458,11423,1308,3926,922,7497,1050,1219,546,38476,2326,20125,1598
6111,31/12/2005,174154,4423,138637,4436,45156,2678,8594,1543,36562,2432,3442,1206,90039,4014,35517,2251
6113,31/12/2005,36348,1829,26625,1797,8994,1264,2549,822,6445,1118,625,511,17006,1740,9723,1114
6115,31/12/2005,12909,1449,8372,1367,1854,548,562,356,1292,472,49,84,6469,1198,4537,782
6001,31/12/2006,296733,4773,232569,4679,81602,3348,15012,1689,66590,3212,5195,1072,145772,4821,64164,3152
6007,31/12/2006,51211,1957,32678,2233,9851,1336,2074,603,7777,1211,253,195,22574,1993,18533,1599
6013,31/12/2006,258877,4662,207360,4511,73416,3613,15234,2022,58182,3268,4076,1101,129868,4486,51517,2743
6017,31/12/2006,49224,1868,38404,1930,14231,1446,3263,886,10968,1390,531,402,23642,1669,10820,1171
6019,31/12/2006,152363,3959,114231,3551,28920,1979,6737,1249,22183,1890,3068,896,82243,3423,38132,2339
6023,31/12/2006,28751,1568,17197,1467,4787,814,800,350,3987,774,298,220,12112,1314,11554,1266
6025,31/12/2006,27196,2081,19212,1873,2668,708,1269,493,1399,544,426,355,16118,1795,7984,1214
6029,31/12/2006,147483,4000,111990,3877,29710,2005,9788,1355,19922,1539,1086,515,81194,3509,35493,2362
6031,31/12/2006,22372,1540,16676,1396,4723,932,1559,692,3164,688,520,439,11433,1237,5696,921
6033,31/12/2006,16167,1927,9512,1542,1893,727,695,509,1198,548,135,158,7484,1330,6655,1365
6037,31/12/2006,1564640,11710,1219070,12583,348744,8973,86729,4507,262015,7562,29187,2645,841139,10563,345570,6915
6039,31/12/2006,25064,1844,18093,1715,3631,975,1098,628,2533,662,353,324,14109,1587,6971,986
6041,31/12/2006,65129,2319,47367,2297,17764,2048,3177,1060,14587,1818,1011,523,28592,2456,17762,1815
6045,31/12/2006,21429,1452,12592,1397,2096,505,570,299,1526,443,205,337,10291,1275,8837,1224
6047,31/12/2006,38913,2209,27288,2296,5425,936,1462,391,3963,790,1132,742,20731,2223,11625,1291
6053,31/12/2006,68716,2531,50021,2789,16973,1816,3582,951,13391,1526,1254,658,31794,2081,18695,1647
6055,31/12/2006,29915,1619,20706,1694,7243,1239,1847,776,5396,1021,130,141,13333,1606,9209,1100
6057,31/12/2006,29191,1931,19643,1657,7042,1234,310,276,6732,1154,43,78,12558,1461,9548,1296
6059,31/12/2006,605615,6967,474101,7649,152238,5213,29823,2695,122415,4568,9438,1757,312425,7190,131514,4485
6061,31/12/2006,89272,2523,68151,2502,24504,2047,4620,1080,19884,1835,1211,482,42436,2331,21121,1735
6065,31/12/2006,444836,6011,338553,6134,99120,4217,33432,2586,65688,3362,5251,1263,234182,6502,106283,3679
6067,31/12/2006,306047,6029,244003,6011,81834,4319,22807,2247,59027,3364,4891,1030,157278,5176,62044,3047
6071,31/12/2006,393257,6526,311681,6264,75492,3136,28508,2192,46984,2450,6503,1693,229686,6120,81576,3953
6073,31/12/2006,599242,8305,460541,8017,154751,5400,38518,3246,116233,4140,9918,1723,295872,6963,138701,4039
6075,31/12/2006,126712,4349,87731,3812,23472,2222,3860,874,19612,2119,1082,422,63177,3562,38981,2330
6077,31/12/2006,132481,3772,101335,3950,28394,2343,8337,1228,20057,1925,1752,730,71189,3592,31146,2155
6079,31/12/2006,60654,2209,42695,2256,11997,1144,2047,646,9950,1099,758,437,29940,2088,17959,1608
6081,31/12/2006,159025,3815,118743,3870,42652,2761,6781,1197,35871,2473,2145,780,73946,3591,40282,2749
6083,31/12/2006,75011,2009,51465,2401,15499,1820,2963,1022,12536,1421,790,427,35176,2477,23546,1786
6085,31/12/2006,354810,6056,275979,5947,86701,3698,17589,2423,69112,3267,6138,1497,183140,5548,78831,3241
6087,31/12/2006,55666,2221,41706,2288,17128,1720,2912,759,14216,1556,663,447,23915,2091,13960,1319
6089,31/12/2006,44889,2165,29380,1966,8598,1306,2062,670,6536,1120,624,336,20158,1826,15509,1434
6095,31/12/2006,90468,3012,76112,3038,25241,2272,8032,1543,17209,1786,1197,539,49674,2739,14356,1372
6097,31/12/2006,114133,3091,83329,3106,26498,2182,5546,1004,20952,2014,2168,897,54663,3070,30804,2310
6099,31/12/2006,102731,3409,79838,3013,22488,1990,9130,1551,13358,1565,907,488,56443,3026,22893,1962
6101,31/12/2006,19526,1348,15127,1457,4337,923,1114,460,3223,861,196,164,10594,1266,4399,690
