GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
6001,31/12/2005,84733,2176,94195,2735,50156,3325
6007,31/12/2005,54360,2994,65598,3555,33533,3170
6013,31/12/2005,87265,2538,95661,2740,50202,3048
6017,31/12/2005,72402,4451,85465,6829,42382,9281
6019,31/12/2005,58268,2914,65372,2611,36411,4107
6023,31/12/2005,50477,3225,65627,7554,30493,3837
6025,31/12/2005,51898,4735,60583,4384,32466,7024
6029,31/12/2005,51474,2311,61353,2135,30819,2084
6031,31/12/2005,50735,4805,55002,4379,40854,6005
6033,31/12/2005,44490,5111,54467,9126,27609,3372
6037,31/12/2005,70200,935,78623,1249,42928,1375
6039,31/12/2005,58237,5201,65379,5346,40606,6757
6041,31/12/2005,98921,5502,112627,7438,60535,13314
6045,31/12/2005,48631,3442,69102,9863,32588,7152
6047,31/12/2005,52513,3833,58909,5188,34543,4796
6053,31/12/2005,73368,5334,81651,3585,52700,12053
6055,31/12/2005,73669,3986,87347,10220,37368,6212
6057,31/12/2005,60524,4634,73056,6359,36591,11968
6059,31/12/2005,84248,1912,94101,2080,48516,2252
6061,31/12/2005,76076,3337,87541,4052,44271,6403
6065,31/12/2005,65103,1633,73177,2060,36310,2349
6067,31/12/2005,67613,1745,74470,1893,40500,2203
6071,31/12/2005,62198,1551,69072,2247,32128,2637
6073,31/12/2005,75947,1420,85612,1650,42510,1916
6075,31/12/2005,83778,3503,101613,5257,50291,5359
6077,31/12/2005,65777,2345,73523,3122,38508,2412
6079,31/12/2005,62338,3233,71225,4920,37187,9520
6081,31/12/2005,93079,3990,105715,3367,53482,2959
6083,31/12/2005,74189,3871,87975,5011,43043,4674
6085,31/12/2005,100705,1974,109495,2590,58073,3976
6087,31/12/2005,83696,5419,96554,6210,45295,6683
6089,31/12/2005,54867,2969,65694,4356,35983,4056
6095,31/12/2005,78227,3792,84768,3661,40036,3965
6097,31/12/2005,72036,3154,84787,3918,41641,3128
6099,31/12/2005,59695,2714,66137,2405,35937,2887
6101,31/12/2005,61055,4976,72567,10780,40095,7910
6107,31/12/2005,50510,2425,56206,3666,33806,3364
6111,31/12/2005,81320,2284,91707,2870,40822,4584
6113,31/12/2005,71205,4155,82526,5902,43044,6426
6115,31/12/2005,51254,4143,58537,6630,40640,12683
6001,31/12/2006,88984,2400,100887,2053,50579,2615
6007,31/12/2006,54449,4096,65352,4134,33110,3895
6013,31/12/2006,89500,2371,97856,2597,51615,3039
6017,31/12/2006,83557,4118,93750,3064,45367,4910
6019,31/12/2006,61567,1614,69418,1756,39927,3860
6023,31/12/2006,54448,4463,60709,3548,41452,4361
6025,31/12/2006,49787,3658,54197,6156,35676,6734
6029,31/12/2006,57885,3637,67682,2661,35493,2362
6031,31/12/2006,60337,6097,67133,10814,43788,21075
6033,31/12/2006,45299,8645,53968,3072,30484,9161
6037,31/12/2006,74725,875,83015,890,44450,1137
6039,31/12/2006,51159,2926,58205,5032,28454,3827
6041,31/12/2006,101121,4219,112738,5670,61472,4643
6045,31/12/2006,44551,3643,60079,11986,31901,4509
6047,31/12/2006,54255,3501,60505,3590,37703,5220
6053,31/12/2006,74248,4009,81589,3179,47102,3962
6055,31/12/2006,79775,4489,91214,7891,48930,15821
6057,31/12/2006,58609,4019,74412,8580,35391,7048
6059,31/12/2006,89191,1559,99375,1584,51121,2332
6061,31/12/2006,84678,2709,95419,4028,50531,6752
6065,31/12/2006,64536,1570,74286,1741,37320,1888
6067,31/12/2006,71721,1446,78479,1888,44497,3551
6071,31/12/2006,64559,1722,72264,1437,34564,1919
6073,31/12/2006,78150,1222,87826,1775,42999,2402
6075,31/12/2006,98054,3884,113920,4629,56529,5358
6077,31/12/2006,68878,3827,78635,2956,39741,3618
6079,31/12/2006,65603,3692,75841,7011,46486,6067
6081,31/12/2006,98236,3023,110594,2616,55065,5771
6083,31/12/2006,71105,3112,84100,4259,44588,3671
6085,31/12/2006,102579,1898,113554,2618,57633,2539
6087,31/12/2006,85000,4879,99096,6243,48445,7111
6089,31/12/2006,53730,2490,63302,3967,35684,3616
6095,31/12/2006,78816,2733,83451,2435,47485,5263
6097,31/12/2006,78200,3328,87131,2919,44674,4080
6099,31/12/2006,62625,3163,68182,2319,40044,3651
6101,31/12/2006,67165,4280,73862,4402,34024,4163
6107,31/12/2006,54256,2005,60964,1626,40012,4591
6111,31/12/2006,86626,2289,96304,3096,45533,5273
6113,31/12/2006,78200,4726,86301,7679,55144,17647
6115,31/12/2006,57193,7221,69924,10023,23160,9710
6001,31/12/2007,94228,2456,103188,2576,52080,3912
6007,31/12/2007,51852,4238,63336,2473,31825,3671
6013,31/12/2007,93160,2414,102029,2487,52279,2724
6017,31/12/2007,81115,6291,92040,5050,46312,6937
6019,31/12/2007,66070,2880,73569,2909,44137,3443
6023,31/12/2007,47852,5046,63064,9083,31765,4760
6025,31/12/2007,53606,4718,62841,7391,29571,8169
6029,31/12/2007,60623,2108,67189,3095,36573,3613
6031,31/12/2007,62490,5255,70953,6732,30004,6044
6033,31/12/2007,46915,8128,67464,15205,30370,5849
6037,31/12/2007,78567,956,86738,1110,48684,1295
6039,31/12/2007,63552,5522,70184,7294,39756,6685
6041,31/12/2007,107269,5634,122288,8073,66434,10440
6045,31/12/2007,54257,6309,74268,7696,35809,5694
6047,31/12/2007,61400,4527,68564,5729,40611,9912
6053,31/12/2007,75745,3390,82993,5238,56501,6900
6055,31/12/2007,80089,9693,99889,7597,42492,7159
6057,31/12/2007,63752,4062,71212,7077,52692,9958
6059,31/12/2007,93249,1514,104361,1411,53416,2592
6061,31/12/2007,84236,3514,94030,2835,46324,5242
6065,31/12/2007,70155,1276,79552,1557,39221,1960
6067,31/12/2007,75367,1691,82837,1995,47087,2828
6071,31/12/2007,69297,1917,76758,1843,38539,3315
6073,31/12/2007,82944,1155,92965,1649,46100,2149
6075,31/12/2007,101558,4175,123915,5716,51348,4475
6077,31/12/2007,69290,3792,79794,2987,42163,3449
6079,31/12/2007,78792,4417,90715,5990,47308,6488
6081,31/12/2007,102243,2927,115394,4070,62313,3555
6083,31/12/2007,80274,4409,92996,5055,50065,5179
6085,31/12/2007,108924,2169,119383,2980,68930,3694
6087,31/12/2007,81888,4443,95010,6417,54156,4554
6089,31/12/2007,53687,5010,62443,4178,35008,4743
6095,31/12/2007,84374,3065,92043,2740,49861,3929
6097,31/12/2007,78768,2547,89610,3374,47528,3755
6099,31/12/2007,65061,2662,72618,3268,33721,3227
6101,31/12/2007,65899,7618,73781,6725,34346,6224
6107,31/12/2007,50790,2988,59514,4244,36242,4224
6111,31/12/2007,87583,2668,96658,2879,48878,3656
6113,31/12/2007,85029,6298,100313,5836,48401,7222
6115,31/12/2007,66665,7669,72236,6505,38860,9829
6001,31/12/2008,98064,2474,107661,2287,57739,3367
6007,31/12/2008,52461,3832,68197,5136,35165,2883
6013,31/12/2008,98909,2594,106325,2314,59926,4007
6017,31/12/2008,80286,5645,92761,7376,53997,5417
6019,31/12/2008,66321,2265,73609,2884,42409,3421
6023,31/12/2008,55801,3460,63960,4546,31388,7002
6025,31/12/2008,54509,7059,66650,8414,31351,7348
6029,31/12/2008,59006,3315,67006,3039,36986,3660
6031,31/12/2008,62141,4585,70459,7298,37632,5661
6033,31/12/2008,50956,5776,58740,6478,36704,7382
6037,31/12/2008,81778,982,90248,1139,51229,1176
